[15:51:38.725] |I| [config::init_config]: backend-renderer: Vulkan
[15:51:38.726] |I| [config::init_config]: log-level: 0
[15:51:38.799] |I| [SDL_main]: Vita3K v0.1.8 3194-ca92b35e
[15:51:38.800] |I| [SDL_main]: Number of logical CPU cores: 12
[15:51:38.800] |I| [SDL_main]: Available ram memory: 6005 MiB
[15:51:38.886] |I| [renderer::vulkan::VKState::create]: Vulkan device: AMD Radeon(TM) Graphics
[15:51:38.886] |I| [renderer::vulkan::VKState::create]: Driver version: 2.0.262
[15:51:38.887] |I| [renderer::vulkan::VKState::create]: Memory mapping is enabled
[15:51:38.903] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: FifoRelaxed
[15:51:39.338] |W| [compat::load_compat_app_db]: App with Title ID PCSG00605 has an issue but no status label. Please check GitHub issue 1584 and request a status label be added.
[15:51:39.338] |W| [compat::load_compat_app_db]: App with Title ID PCSG00485 has an issue but no status label. Please check GitHub issue 1583 and request a status label be added.
[15:51:39.339] |W| [compat::load_compat_app_db]: App with Title ID PCSE00620 has an issue but no status label. Please check GitHub issue 1582 and request a status label be added.
[15:51:39.339] |W| [compat::load_compat_app_db]: App with Title ID PCSG00930 has an issue but no status label. Please check GitHub issue 1581 and request a status label be added.
[15:51:39.339] |W| [compat::load_compat_app_db]: App with Title ID PCSE00460 has an issue but no status label. Please check GitHub issue 1580 and request a status label be added.
[15:51:39.339] |W| [compat::load_compat_app_db]: App with Title ID PCSE00406 has an issue but no status label. Please check GitHub issue 1579 and request a status label be added.
[15:51:39.340] |W| [compat::load_compat_app_db]: App with Title ID PCSA00127 has an issue but no status label. Please check GitHub issue 1578 and request a status label be added.
[15:51:39.340] |W| [compat::load_compat_app_db]: App with Title ID PCSA00138 has an issue but no status label. Please check GitHub issue 1577 and request a status label be added.
[15:51:39.340] |W| [compat::load_compat_app_db]: App with Title ID PCSE00092 has an issue but no status label. Please check GitHub issue 1576 and request a status label be added.
[15:51:39.340] |W| [compat::load_compat_app_db]: App with Title ID PCSE00268 has an issue but no status label. Please check GitHub issue 1575 and request a status label be added.
[15:51:39.504] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[15:52:04.806] |I| [gui::delete_app]: Application successfully deleted 'PCSE00686 [Nova-111]'.
[15:53:20.411] |I| [load_app_impl]: cpu-backend: Dynarmic
[15:53:20.412] |I| [load_app_impl]: CPU Optimisation state: true
[15:53:20.413] |I| [load_app_impl]: ngs state: true
[15:53:20.414] |I| [load_app_impl]: Resolution multiplier: 2
[15:53:20.418] |I| [load_app_impl]: 1 Controllers Connected
[15:53:20.418] |I| [load_app_impl]: Controller 0: Controller (Wireless Gamepad F710)
[15:53:20.419] |I| [load_app_impl]: modules mode: Automatic
[15:53:20.420] |I| [load_app_impl]: Title: Nuclear Throne
[15:53:20.421] |I| [load_app_impl]: Serial: PCSE00828
[15:53:20.422] |I| [load_app_impl]: Version: 1.00
[15:53:20.423] |I| [load_app_impl]: Category: gd
[15:53:20.444] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[15:53:20.445] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000568A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[15:53:20.447] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x000598A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[15:53:20.448] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[15:53:20.450] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4c314
[15:53:20.451] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x414dc
[15:53:20.452] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[15:53:20.466] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[15:53:20.467] |I| [load_self]: Loaded module segment 0 @ [0x0005A000 - 0x00086CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[15:53:20.469] |I| [load_self]: Loaded module segment 1 @ [0x00087000 - 0x0008C255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[15:53:20.470] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[15:53:20.471] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x86bc8
[15:53:20.472] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x7df08
[15:53:20.473] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[15:53:20.484] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6fffff01...
[15:53:20.484] |I| [load_self]: Loaded module segment 0 @ [0x0008D000 - 0x000A09BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[15:53:20.486] |I| [load_self]: Loaded module segment 1 @ [0x000A1000 - 0x000A1814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[15:53:20.488] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[15:53:20.489] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x9f2e8
[15:53:20.489] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x9c870
[15:53:20.490] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[15:53:20.499] |I| [load_self]: Loaded module segment 0 @ [0x000A2000 - 0x000F2F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[15:53:20.500] |I| [load_self]: Loaded module segment 1 @ [0x000F3000 - 0x000F32F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[15:53:20.502] |I| [load_self]: Linking SELF vs0:sys/external/libSceFt2.suprx...
[15:53:20.503] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xde7dc
[15:53:20.503] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xddf10
[15:53:20.504] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[15:53:20.508] |I| [load_self]: Loaded module segment 0 @ [0x000F4000 - 0x00103F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[15:53:20.509] |I| [load_self]: Loaded module segment 1 @ [0x00104000 - 0x00104008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[15:53:20.511] |I| [load_self]: Linking SELF vs0:sys/external/libpvf.suprx...
[15:53:20.514] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x102710
[15:53:20.515] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x102300
[15:53:20.516] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[15:53:20.699] |I| [load_self]: app0:eboot.bin: Skipping special segment 0x6fffff01...
[15:53:20.699] |I| [load_self]: Loaded module segment 0 @ [0x00105000 - 0x007C1150 / 0x81000000] (size: 0x006BC150) of module app0:eboot.bin
