[14:56:17.196] |I| [config::init_config]: backend-renderer: OpenGL
[14:56:17.197] |I| [config::init_config]: log-level: 0
[14:56:17.263] |I| [SDL_main]: Vita3K v0.1.5 2663-e8151664
[14:56:17.263] |I| [SDL_main]: Number of logical CPU cores: 16
[14:56:17.263] |I| [SDL_main]: Available ram memory: 14198 mo
[14:56:17.566] |I| [renderer::gl::create]: Swap interval = 0
[14:56:17.568] |I| [renderer::gl::create]: GPU = AMD Radeon(TM) Graphics
[14:56:17.568] |I| [renderer::gl::create]: GL_VERSION = 4.6.14761 Core Profile Context 21.10.2 30.0.13025.5005
[14:56:17.568] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[14:56:17.568] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[14:56:17.568] |W| [renderer::gl::create]: Consider updating to GPU that has shader interlock.
[14:56:42.914] |I| [load_app_impl]: cpu-backend: Dynarmic
[14:56:42.914] |I| [load_app_impl]: CPU Optimisation state: true
[14:56:42.914] |I| [load_app_impl]: ngs state: true
[14:56:42.914] |I| [load_app_impl]: Resolution multiplier: 2
[14:56:42.917] |I| [load_app_impl]: 1 Controllers Connected
[14:56:42.917] |I| [load_app_impl]: Controller 0: Controller (Gamepad F310)
[14:56:42.917] |I| [load_app_impl]: modules mode: Automatic
[14:56:42.917] |I| [load_app_impl]: Title: orgarhythm
[14:56:42.918] |I| [load_app_impl]: Serial: PCSE00116
[14:56:42.918] |I| [load_app_impl]: Version: 1.00
[14:56:42.918] |I| [load_app_impl]: Category: gd
[14:56:42.926] |C| [load_self]: Unknown segment type 0x6FFFFF01
[14:56:42.926] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x0004323C / 0x81000000] (size: 0x0003C23C) of module app0:sce_module/libc.suprx
[14:56:42.926] |I| [load_self]: Loaded module segment 1 @ [0x00044000 - 0x00046344 / 0x8103D000] (size: 0x00002344) of module app0:sce_module/libc.suprx
[14:56:42.926] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[14:56:42.927] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x34D1C
[14:56:42.927] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x384D4, setting to stub value 0xDEADBEEF
[14:56:42.928] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[14:56:42.934] |C| [load_self]: Unknown segment type 0x6FFFFF01
[14:56:42.934] |I| [load_self]: Loaded module segment 0 @ [0x00048000 - 0x00069DB8 / 0x81000000] (size: 0x00021DB8) of module app0:sce_module/libfios2.suprx
[14:56:42.934] |I| [load_self]: Loaded module segment 1 @ [0x0006A000 - 0x0006F1B4 / 0x81022000] (size: 0x000051B4) of module app0:sce_module/libfios2.suprx
[14:56:42.935] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[14:56:42.935] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x638B8
[14:56:42.936] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[14:56:42.940] |C| [load_self]: Unknown segment type 0x6FFFFF01
[14:56:42.940] |I| [load_self]: Loaded module segment 0 @ [0x00070000 - 0x00084044 / 0x81000000] (size: 0x00014044) of module app0:sce_module/libult.suprx
[14:56:42.940] |I| [load_self]: Loaded module segment 1 @ [0x00085000 - 0x00085814 / 0x81015000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[14:56:42.941] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[14:56:42.941] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x80B40
[14:56:42.942] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
