[05:10:53.155] |I| [config::init_config]: backend-renderer: OpenGL
[05:10:53.165] |I| [config::init_config]: hardware-flip: enabled
[05:10:53.165] |I| [config::init_config]: lle-modules: libpgf,libpvf,libsas,libatrac
[05:10:53.166] |I| [config::init_config]: log-level: 0
[05:10:53.170] |I| [SDL_main]: Vita3K v0.1 1395-76189aa5
[05:10:55.432] |I| [renderer::gl::create]: Swap interval = -1
[05:10:55.435] |I| [renderer::gl::create]: GPU = Radeon (TM) 520
[05:10:55.435] |I| [renderer::gl::create]: GL_VERSION = 4.5.13587 Core Profile Context 20.4.1 26.20.15029.20013
[05:10:55.435] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[05:10:55.436] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[05:10:55.436] |W| [renderer::gl::create]: Consider updating to GPU that has shader interlock.
[05:10:55.984] |I| [gui::init_icons]: Default icon found for title TESTEEEEE, TESTEEEEE.
[05:12:50.149] |I| [load_app_impl]: Title: POLARA
[05:12:50.149] |I| [load_app_impl]: Serial: PCSG00672
[05:12:50.150] |I| [load_app_impl]: Version: 01.00
[05:12:50.151] |I| [load_app_impl]: Category: gd
[05:12:50.205] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:12:50.206] |I| [load_self]: Loaded module segment 0 @ [0x00001000 - 0x00052814] (size: 0x00051814) of module app0:sce_module/libc.suprx
[05:12:50.206] |I| [load_self]: Loaded module segment 1 @ [0x00053000 - 0x000558A0] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[05:12:50.206] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[05:12:50.207] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x48284
[05:12:50.207] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3D44C
[05:12:50.208] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x415AC, setting to stub value 0xDEADBEEF
[05:12:50.208] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x43140, setting to stub value 0xDEADBEEF
[05:12:50.208] |I| [load_app_impl]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[05:12:50.226] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:12:50.226] |I| [load_self]: Loaded module segment 0 @ [0x00058000 - 0x00084CBF] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[05:12:50.230] |I| [load_self]: Loaded module segment 1 @ [0x00085000 - 0x0008A255] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[05:12:50.232] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[05:12:50.233] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x84BC8
[05:12:50.234] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7BF08
[05:12:50.235] |I| [load_app_impl]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[05:12:50.256] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:12:50.257] |I| [load_self]: Loaded module segment 0 @ [0x0008B000 - 0x0009E9A4] (size: 0x000139A4) of module app0:sce_module/libult.suprx
[05:12:50.259] |I| [load_self]: Loaded module segment 1 @ [0x0009F000 - 0x0009F814] (size: 0x00000814) of module app0:sce_module/libult.suprx
[05:12:50.260] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[05:12:50.261] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9D2D0
[05:12:50.261] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x9A858
[05:12:50.262] |W| [load_var_imports]: 	NID NOT FOUND 0x936A5F31 (_pLibPerfCaptureFlagPtr) at 0x9B0A4, setting to stub value 0xDEADBEEF
[05:12:50.264] |I| [load_app_impl]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[05:12:50.426] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:12:50.427] |I| [load_self]: Loaded module segment 0 @ [0x000A1000 - 0x002898DC] (size: 0x001E88DC) of module app0:eboot.bin
[05:12:50.428] |I| [load_self]: Loaded module segment 1 @ [0x0028A000 - 0x0047FDE8] (size: 0x001F5DE8) of module app0:eboot.bin
[05:12:50.429] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[05:12:50.430] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x2178D4
[05:12:50.431] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x2932D0
[05:12:50.432] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x277D00
[05:12:50.433] |I| [load_app_impl]: Main executable CatsBlock (eboot.bin) loaded
[05:12:50.473] |D| [run_app]: Running module_start of library: SceLibc at address 0x1871
[05:12:50.516] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[05:12:50.516] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[05:12:50.517] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[05:12:50.525] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[05:12:50.527] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x58001
[05:12:50.535] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[05:12:50.536] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[05:12:50.536] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[05:12:50.541] |D| [run_app]: Running module_start of library: SceUlt at address 0x8E769
[05:12:50.546] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[05:12:50.546] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[05:12:50.742] |W| [unimplemented_impl]: Unimplemented sceKernelChangeThreadVfpException import called.
[05:12:50.742] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayThreadSetDisabled02 import called.
[05:12:50.785] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetRecommendedScheduler02 import called.
[05:12:50.789] |I| [export_sceIoOpen]: Opening file: app0:/data.psarc
[05:12:50.838] |T| [open_file]: sceIoOpen: Opening file app0:/data.psarc (ux0:/app/PCSG00672/data.psarc), fd: 0x3
[05:12:50.839] |T| [stat_file]: sceIoGetstat: Statting file: app0:/data.psarc (ux0:/app/PCSG00672/data.psarc)
[05:12:50.843] |T| [seek_file]: sceIoPread: Seeking fd: 0x3, offset: 0x0, whence: SCE_SEEK_SET
[05:12:50.843] |T| [read_file]: sceIoPread: Reading 48 bytes of fd 0x3
[05:12:50.844] |T| [seek_file]: sceIoPread: Seeking fd: 0x3, offset: 0x0, whence: SCE_SEEK_SET
[05:12:50.855] |T| [seek_file]: sceIoPread: Seeking fd: 0x3, offset: 0x20, whence: SCE_SEEK_SET
[05:12:50.856] |T| [read_file]: sceIoPread: Reading 30 bytes of fd 0x3
