[04:59:54.572] |I| [config::init_config]: backend-renderer: OpenGL
[04:59:54.573] |I| [config::init_config]: hardware-flip: enabled
[04:59:54.574] |I| [config::init_config]: lle-modules: libpgf,libpvf,libsas,libatrac
[04:59:54.574] |I| [config::init_config]: log-level: 0
[04:59:54.577] |I| [SDL_main]: Vita3K v0.1 1395-76189aa5
[04:59:55.871] |I| [renderer::gl::create]: Swap interval = -1
[04:59:55.873] |I| [renderer::gl::create]: GPU = Radeon (TM) 520
[04:59:55.874] |I| [renderer::gl::create]: GL_VERSION = 4.5.13587 Core Profile Context 20.4.1 26.20.15029.20013
[04:59:55.874] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[04:59:55.875] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[04:59:55.875] |W| [renderer::gl::create]: Consider updating to GPU that has shader interlock.
[04:59:56.099] |I| [gui::init_icons]: Default icon found for title TESTEEEEE, TESTEEEEE.
[05:01:13.833] |I| [load_app_impl]: Title: Paradox Soul
[05:01:13.833] |I| [load_app_impl]: Serial: PCSE01401
[05:01:13.834] |I| [load_app_impl]: Version: 01.00
[05:01:13.834] |I| [load_app_impl]: Category: gd
[05:01:13.892] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:01:13.893] |I| [load_self]: Loaded module segment 0 @ [0x00001000 - 0x0005291C] (size: 0x0005191C) of module app0:sce_module/libc.suprx
[05:01:13.894] |I| [load_self]: Loaded module segment 1 @ [0x00053000 - 0x000558A0] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[05:01:13.894] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[05:01:13.895] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4838C
[05:01:13.895] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3D550
[05:01:13.895] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x416B0, setting to stub value 0xDEADBEEF
[05:01:13.895] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x43244, setting to stub value 0xDEADBEEF
[05:01:13.896] |I| [load_app_impl]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[05:01:13.954] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:01:13.955] |I| [load_self]: Loaded module segment 0 @ [0x00058000 - 0x00084CBF] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[05:01:13.956] |I| [load_self]: Loaded module segment 1 @ [0x00085000 - 0x0008A255] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[05:01:13.957] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[05:01:13.958] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x84BC8
[05:01:13.959] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7BF08
[05:01:13.960] |I| [load_app_impl]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[05:01:13.992] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:01:13.993] |I| [load_self]: Loaded module segment 0 @ [0x0008B000 - 0x0009E9BC] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[05:01:13.994] |I| [load_self]: Loaded module segment 1 @ [0x0009F000 - 0x0009F814] (size: 0x00000814) of module app0:sce_module/libult.suprx
[05:01:13.995] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[05:01:13.996] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9D2E8
[05:01:13.997] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x9A870
[05:01:13.997] |W| [load_var_imports]: 	NID NOT FOUND 0x936A5F31 (_pLibPerfCaptureFlagPtr) at 0x9B0BC, setting to stub value 0xDEADBEEF
[05:01:13.999] |I| [load_app_impl]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[05:01:14.245] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:01:14.245] |I| [load_self]: Loaded module segment 0 @ [0x000A1000 - 0x0045BAC4] (size: 0x003BAAC4) of module app0:eboot.bin
[05:01:14.247] |I| [load_self]: Loaded module segment 1 @ [0x0045C000 - 0x00836940] (size: 0x003DA940) of module app0:eboot.bin
[05:01:14.248] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[05:01:14.250] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3717DC
[05:01:14.251] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x45F840
[05:01:14.251] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x3988E4
[05:01:14.252] |I| [load_app_impl]: Main executable rgpluginsgm_psvita (eboot.bin) loaded
[05:01:14.285] |D| [run_app]: Running module_start of library: SceLibc at address 0x1871
[05:01:14.293] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[05:01:14.293] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[05:01:14.295] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[05:01:14.304] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[05:01:14.305] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x58001
[05:01:14.312] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[05:01:14.313] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[05:01:14.318] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[05:01:14.319] |D| [run_app]: Running module_start of library: SceUlt at address 0x8E771
[05:01:14.326] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[05:01:14.326] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[05:01:14.369] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[05:01:14.420] |W| [unimplemented_impl]: Unimplemented sceNetCtlInit import called.
[05:01:14.426] |W| [unimplemented_impl]: Unimplemented sceSslInit import called.
