[20:33:05.986] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[20:33:06.000] |I| [config::init_config]: backend-renderer: OpenGL
[20:33:06.000] |I| [config::init_config]: log-level: 0
[20:33:06.036] |I| [SDL_main]: Vita3K v0.1.8 3203-2101d1ea
[20:33:06.036] |I| [SDL_main]: Number of logical CPU cores: 4
[20:33:06.037] |I| [SDL_main]: Available ram memory: 16312 MiB
[20:33:06.647] |I| [renderer::gl::create]: GPU = AMD Radeon HD 8500M
[20:33:06.647] |I| [renderer::gl::create]: GL_VERSION = 4.6.13587 Core Profile Context 0
[20:33:06.647] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[20:33:06.647] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[20:33:06.648] |W| [renderer::gl::create]: Consider upgrading to a GPU that has shader interlock.
[20:33:07.903] |W| [compat::load_compat_app_db]: App with Title ID PCSG01238 has an issue but no status label. Please check GitHub issue 1633 and request a status label be added.
[20:33:07.903] |W| [compat::load_compat_app_db]: App with Title ID PCSH00236 has an issue but no status label. Please check GitHub issue 1632 and request a status label be added.
[20:33:07.904] |W| [compat::load_compat_app_db]: App with Title ID PCSG00652 has an issue but no status label. Please check GitHub issue 1631 and request a status label be added.
[20:33:07.904] |W| [compat::load_compat_app_db]: App with Title ID PCSG00384 has an issue but no status label. Please check GitHub issue 1628 and request a status label be added.
[20:33:07.905] |W| [compat::load_compat_app_db]: App with Title ID PCSA00127 has an issue but no status label. Please check GitHub issue 1578 and request a status label be added.
[20:33:08.295] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[20:33:29.701] |I| [gui::set_vsync_state]: V-Sync state: true
[20:33:29.746] |I| [load_app_impl]: cpu-backend: Dynarmic
[20:33:29.747] |I| [load_app_impl]: CPU Optimisation state: true
[20:33:29.747] |I| [load_app_impl]: ngs state: true
[20:33:29.749] |I| [load_app_impl]: Resolution multiplier: 1
[20:33:29.749] |I| [load_app_impl]: modules mode: Automatic
[20:33:29.750] |I| [load_app_impl]: Title: Period Cube ~Shackles of Amadeus~
[20:33:29.751] |I| [load_app_impl]: Serial: PCSE01012
[20:33:29.752] |I| [load_app_impl]: Version: 1.00
[20:33:29.753] |I| [load_app_impl]: Category: gd
[20:33:29.869] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[20:33:29.870] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000568A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[20:33:29.873] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x000598A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[20:33:29.875] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[20:33:29.875] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4c314
[20:33:29.876] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x414dc
[20:33:29.879] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[20:33:29.922] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[20:33:29.923] |I| [load_self]: Loaded module segment 0 @ [0x0005A000 - 0x00086CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[20:33:29.926] |I| [load_self]: Loaded module segment 1 @ [0x00087000 - 0x0008C255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[20:33:29.926] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[20:33:29.929] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x86bc8
[20:33:29.930] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x7df08
[20:33:29.930] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[20:33:29.992] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6fffff01...
[20:33:29.993] |I| [load_self]: Loaded module segment 0 @ [0x0008D000 - 0x000A09BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[20:33:29.995] |I| [load_self]: Loaded module segment 1 @ [0x000A1000 - 0x000A1814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[20:33:29.996] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[20:33:29.997] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x9f2e8
[20:33:29.998] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x9c870
[20:33:30.000] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[20:33:30.018] |I| [load_self]: Loaded module segment 0 @ [0x000A2000 - 0x000F2F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[20:33:30.019] |I| [load_self]: Loaded module segment 1 @ [0x000F3000 - 0x000F32F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[20:33:30.021] |I| [load_self]: Linking SELF vs0:sys/external/libSceFt2.suprx...
[20:33:30.023] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xde7dc
[20:33:30.024] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xddf10
[20:33:30.026] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[20:33:30.031] |I| [load_self]: Loaded module segment 0 @ [0x000F4000 - 0x00103F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[20:33:30.032] |I| [load_self]: Loaded module segment 1 @ [0x00104000 - 0x00104008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[20:33:30.033] |I| [load_self]: Linking SELF vs0:sys/external/libpvf.suprx...
[20:33:30.033] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x102710
[20:33:30.035] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x102300
[20:33:30.036] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[20:33:30.151] |I| [load_self]: app0:eboot.bin: Skipping special segment 0x6fffff01...
[20:33:30.152] |I| [load_self]: Loaded module segment 0 @ [0x00105000 - 0x002E51E0 / 0x81000000] (size: 0x001E01E0) of module app0:eboot.bin
[20:33:30.154] |I| [load_self]: Loaded module segment 1 @ [0x002E6000 - 0x00300E90 / 0x811E1000] (size: 0x0001AE90) of module app0:eboot.bin
[20:33:30.154] |I| [load_self]: Linking SELF app0:eboot.bin...
[20:33:30.156] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x2854b8
[20:33:30.157] |D| [load_var_exports]: 	NID 0x70fba1e7 (SCE_PROC_PARAMS) at 0x2e6f14
[20:33:30.159] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x2ad354
[20:33:30.159] |I| [load_app_impl]: Main executable eboot (eboot.bin) loaded
[20:33:30.244] |D| [run_app]: Running module_start of library: SceLibc at address 0x5871
[20:33:30.291] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[20:33:30.291] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[20:33:30.292] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[20:33:30.306] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[20:33:30.309] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x5a001
[20:33:30.330] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[20:33:30.331] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[20:33:30.335] |D| [run_app]: Running module_start of library: SceUlt at address 0x90771
[20:33:30.354] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[20:33:30.355] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[20:33:30.375] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[20:33:30.454] |W| [stubbed_impl]: Stubbed _sceKernelGetThreadInfo import called. (STUB)
[20:33:30.496] |E| [call_import]: Import function for NID 0xd7f0f610 not found (thread name: PCSE01012, thread ID: 7)
[20:33:30.499] |W| [stubbed_impl]: Stubbed _sceKernelWaitSignal import called. (sceKernelWaitSignal)
[20:33:30.512] |I| [load_module]: Loading module ID: 0x13
[20:33:30.545] |I| [load_self]: sys/external/libsystemgesture.suprx: Skipping special segment 0x6fffff01...
[20:33:30.546] |I| [load_self]: Loaded module segment 0 @ [0x07D61000 - 0x07D6408C / 0x81000000] (size: 0x0000308C) of module sys/external/libsystemgesture.suprx
