[22:02:35.280] |I| [config::init_config]: backend-renderer: OpenGL
[22:02:35.281] |I| [config::init_config]: log-level: 0
[22:02:35.646] |I| [SDL_main]: Vita3K v0.1.3 2265-bf29a917
[22:02:35.831] |I| [renderer::gl::create]: Swap interval = -1
[22:02:35.833] |I| [renderer::gl::create]: GPU = AMD Radeon RX 7900 XTX
[22:02:35.833] |I| [renderer::gl::create]: GL_VERSION = 4.5.0 Core Profile Context 23.4.3.230420
[22:02:35.833] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[22:02:35.834] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[22:02:35.834] |W| [renderer::gl::create]: Consider updating to GPU that has shader interlock.
[22:02:57.817] |I| [gui::change_emulator_path]: Successfully moved Vita3K path to: L:\Emulator\Vita3K/
[22:02:57.817] |I| [gui::init_user_apps::<lambda_f9feab74f02639ba170f82fe14106977>::operator ()]: 10 new application(s) added
[22:03:19.028] |I| [load_app_impl]: cpu-backend: Dynarmic
[22:03:19.028] |I| [load_app_impl]: CPU Optimisation state: true
[22:03:19.028] |I| [load_app_impl]: at9 audio decoder state: true
[22:03:19.028] |I| [load_app_impl]: ngs experimental state: true
[22:03:19.028] |I| [load_app_impl]: video player state: true
[22:03:19.029] |I| [load_app_impl]: Title: フォトカノ Kiss
[22:03:19.029] |I| [load_app_impl]: Serial: PCSG00139
[22:03:19.029] |I| [load_app_impl]: Version: 1.04
[22:03:19.029] |I| [load_app_impl]: Category: gp
[22:03:19.035] |C| [load_self]: Unknown segment type 0x6FFFFF01
[22:03:19.035] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000514B0 / 0x81000000] (size: 0x0004A4B0) of module app0:sce_module/libc.suprx
[22:03:19.035] |I| [load_self]: Loaded module segment 1 @ [0x00052000 - 0x000546F4 / 0x8104B000] (size: 0x000026F4) of module app0:sce_module/libc.suprx
[22:03:19.035] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[22:03:19.035] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3DF30
[22:03:19.036] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x41DF0, setting to stub value 0xDEADBEEF
[22:03:19.036] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x434A4, setting to stub value 0xDEADBEEF
