[18:49:38.233] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[18:49:38.249] |I| [config::init_config]: backend-renderer: OpenGL
[18:49:38.249] |I| [config::init_config]: log-level: 0
[18:49:38.285] |I| [SDL_main]: Vita3K v0.1.8 3173-42d6b4ef
[18:49:38.285] |I| [SDL_main]: Number of logical CPU cores: 4
[18:49:38.286] |I| [SDL_main]: Available ram memory: 16312 MiB
[18:49:38.862] |I| [renderer::gl::create]: GPU = AMD Radeon HD 8500M
[18:49:38.862] |I| [renderer::gl::create]: GL_VERSION = 4.6.13587 Core Profile Context 0
[18:49:38.862] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[18:49:38.862] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[18:49:38.862] |W| [renderer::gl::create]: Consider upgrading to a GPU that has shader interlock.
[18:49:40.553] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[18:49:45.674] |I| [gui::set_vsync_state]: V-Sync state: true
[18:49:45.690] |I| [load_app_impl]: cpu-backend: Dynarmic
[18:49:45.690] |I| [load_app_impl]: CPU Optimisation state: true
[18:49:45.690] |I| [load_app_impl]: ngs state: true
[18:49:45.691] |I| [load_app_impl]: Resolution multiplier: 1
[18:49:45.691] |I| [load_app_impl]: modules mode: Automatic
[18:49:45.691] |I| [load_app_impl]: Title: PsychicEmotion6
[18:49:45.691] |I| [load_app_impl]: Serial: PCSG00815
[18:49:45.692] |I| [load_app_impl]: Version: 1.00
[18:49:45.693] |I| [load_app_impl]: Category: gd
[18:49:45.713] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[18:49:45.716] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000568A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[18:49:45.718] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x000598A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[18:49:45.719] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[18:49:45.720] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4c314
[18:49:45.721] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x414dc
[18:49:45.723] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[18:49:45.735] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[18:49:45.737] |I| [load_self]: Loaded module segment 0 @ [0x0005A000 - 0x00086CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[18:49:45.738] |I| [load_self]: Loaded module segment 1 @ [0x00087000 - 0x0008C255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[18:49:45.739] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[18:49:45.740] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x86bc8
[18:49:45.741] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x7df08
[18:49:45.743] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[18:49:45.751] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6fffff01...
