[03:10:09.004] |I| [config::init_config]: backend-renderer: OpenGL
[03:10:09.005] |I| [config::init_config]: log-level: 0
[03:10:09.053] |I| [SDL_main]: Vita3K v0.1.3 2265-bf29a917
[03:10:09.128] |I| [renderer::gl::create]: Swap interval = -1
[03:10:09.130] |I| [renderer::gl::create]: GPU = GeForce GTX 1080/PCIe/SSE2
[03:10:09.130] |I| [renderer::gl::create]: GL_VERSION = 4.5.0 NVIDIA 460.89
[03:10:09.131] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.50 NVIDIA
[03:10:09.131] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[03:10:46.614] |I| [load_app_impl]: cpu-backend: Dynarmic
[03:10:46.615] |I| [load_app_impl]: CPU Optimisation state: true
[03:10:46.616] |I| [load_app_impl]: at9 audio decoder state: true
[03:10:46.616] |I| [load_app_impl]: ngs experimental state: true
[03:10:46.616] |I| [load_app_impl]: video player state: true
[03:10:46.616] |I| [load_app_impl]: Title: ぷよぷよテトリス
[03:10:46.616] |I| [load_app_impl]: Serial: PCSG00224
[03:10:46.616] |I| [load_app_impl]: Version: 1.00
[03:10:46.617] |I| [load_app_impl]: Category: gd
[03:10:46.630] |C| [load_self]: Unknown segment type 0x6FFFFF01
[03:10:46.631] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000543BC / 0x81000000] (size: 0x0004D3BC) of module app0:sce_module/libc.suprx
[03:10:46.631] |I| [load_self]: Loaded module segment 1 @ [0x00055000 - 0x000576F0 / 0x8104E000] (size: 0x000026F0) of module app0:sce_module/libc.suprx
[03:10:46.632] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[03:10:46.633] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4A164
[03:10:46.633] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x400FC
[03:10:46.633] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x440BC, setting to stub value 0xDEADBEEF
[03:10:46.634] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x45B70, setting to stub value 0xDEADBEEF
[03:10:46.636] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[03:10:46.644] |C| [load_self]: Unknown segment type 0x6FFFFF01
[03:10:46.645] |I| [load_self]: Loaded module segment 0 @ [0x0005A000 - 0x0008512C / 0x81000000] (size: 0x0002B12C) of module app0:sce_module/libfios2.suprx
[03:10:46.646] |I| [load_self]: Loaded module segment 1 @ [0x00086000 - 0x0008B23D / 0x8102C000] (size: 0x0000523D) of module app0:sce_module/libfios2.suprx
[03:10:46.646] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[03:10:46.647] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x85034
[03:10:46.647] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7C548
[03:10:46.647] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[03:10:46.653] |C| [load_self]: Unknown segment type 0x6FFFFF01
[03:10:46.653] |I| [load_self]: Loaded module segment 0 @ [0x0008C000 - 0x0009F84C / 0x81000000] (size: 0x0001384C) of module app0:sce_module/libult.suprx
[03:10:46.653] |I| [load_self]: Loaded module segment 1 @ [0x000A0000 - 0x000A0814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[03:10:46.654] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[03:10:46.654] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9E1A8
[03:10:46.655] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x9B738
[03:10:46.655] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[03:10:46.665] |I| [load_self]: Loaded module segment 0 @ [0x000A1000 - 0x000F1F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[03:10:46.665] |I| [load_self]: Loaded module segment 1 @ [0x000F2000 - 0x000F22F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[03:10:46.666] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[03:10:46.667] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xDD7DC
[03:10:46.667] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xDCF10
