[23:54:12.191] |I| [config::init_config]: backend-renderer: OpenGL
[23:54:12.192] |I| [config::init_config]: log-level: 0
[23:54:12.272] |I| [SDL_main]: Vita3K v0.1.5 2731-d1fc0dbd
[23:54:12.272] |I| [SDL_main]: Number of logical CPU cores: 16
[23:54:12.272] |I| [SDL_main]: Available ram memory: 14198 mo
[23:54:12.625] |I| [renderer::gl::create]: GPU = AMD Radeon(TM) Graphics
[23:54:12.625] |I| [renderer::gl::create]: GL_VERSION = 4.6.14761 Core Profile Context 21.10.2 30.0.13025.5005
[23:54:12.626] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[23:54:12.626] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[23:54:12.626] |W| [renderer::gl::create]: Consider updating to GPU that has shader interlock.
[23:54:22.927] |I| [gui::set_vsync_state]: V-Sync state: true
[23:54:22.962] |I| [load_app_impl]: cpu-backend: Dynarmic
[23:54:22.962] |I| [load_app_impl]: CPU Optimisation state: true
[23:54:22.963] |I| [load_app_impl]: ngs state: true
[23:54:22.963] |I| [load_app_impl]: Resolution multiplier: 2
[23:54:22.965] |I| [load_app_impl]: 1 Controllers Connected
[23:54:22.965] |I| [load_app_impl]: Controller 0: Xbox 360 Controller
[23:54:22.965] |I| [load_app_impl]: modules mode: Auto & Manual
[23:54:22.965] |I| [load_app_impl]: lle-modules: libhttp
[23:54:22.965] |I| [load_app_impl]: Title: Ragnarok Odyssey ACE
[23:54:22.966] |I| [load_app_impl]: Serial: PCSE00300
[23:54:22.966] |I| [load_app_impl]: Version: 1.00
[23:54:22.966] |I| [load_app_impl]: Category: gd
[23:54:22.977] |C| [load_self]: Unknown segment type 0x6FFFFF01
[23:54:22.977] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x00054A2C / 0x81000000] (size: 0x0004DA2C) of module app0:sce_module/libc.suprx
[23:54:22.977] |I| [load_self]: Loaded module segment 1 @ [0x00055000 - 0x000576F8 / 0x8104E000] (size: 0x000026F8) of module app0:sce_module/libc.suprx
[23:54:22.977] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[23:54:22.978] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x40798
[23:54:22.978] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4A7D4
[23:54:22.978] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x44758, setting to stub value 0xDEADBEEF
[23:54:22.980] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x4621C, setting to stub value 0xDEADBEEF
[23:54:22.982] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[23:54:22.988] |C| [load_self]: Unknown segment type 0x6FFFFF01
[23:54:22.988] |I| [load_self]: Loaded module segment 0 @ [0x0005A000 - 0x00082928 / 0x81000000] (size: 0x00028928) of module app0:sce_module/libfios2.suprx
[23:54:22.989] |I| [load_self]: Loaded module segment 1 @ [0x00083000 - 0x000881FD / 0x81029000] (size: 0x000051FD) of module app0:sce_module/libfios2.suprx
[23:54:22.990] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[23:54:22.990] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7A6A8
[23:54:22.990] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x82810
[23:54:22.991] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[23:54:22.995] |C| [load_self]: Unknown segment type 0x6FFFFF01
[23:54:22.996] |I| [load_self]: Loaded module segment 0 @ [0x00089000 - 0x0009D744 / 0x81000000] (size: 0x00014744) of module app0:sce_module/libult.suprx
[23:54:22.996] |I| [load_self]: Loaded module segment 1 @ [0x0009E000 - 0x0009E814 / 0x81015000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[23:54:22.997] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[23:54:22.997] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x99658
[23:54:22.998] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9C0A0
[23:54:22.998] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[23:54:23.006] |I| [load_self]: Loaded module segment 0 @ [0x0009F000 - 0x000EFF04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[23:54:23.007] |I| [load_self]: Loaded module segment 1 @ [0x000F0000 - 0x000F02F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[23:54:23.008] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[23:54:23.008] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xDB7DC
[23:54:23.008] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xDAF10
[23:54:23.009] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[23:54:23.012] |I| [load_self]: Loaded module segment 0 @ [0x000F1000 - 0x00100F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[23:54:23.013] |I| [load_self]: Loaded module segment 1 @ [0x00101000 - 0x00101008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[23:54:23.014] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[23:54:23.014] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xFF710
[23:54:23.014] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xFF300
[23:54:23.015] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[23:54:23.242] |C| [load_self]: Unknown segment type 0x6FFFFF01
[23:54:23.242] |I| [load_self]: Loaded module segment 0 @ [0x81000000 - 0x8190B7AC / 0x81000000] (size: 0x0090B7AC) of module app0:eboot.bin
[23:54:23.243] |I| [load_self]: Loaded module segment 1 @ [0x8190C000 - 0x81C80B40 / 0x8190C000] (size: 0x00374B40) of module app0:eboot.bin
[23:54:23.244] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[23:54:23.244] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x8171DE08
[23:54:23.245] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x8191FAE4
[23:54:23.245] |I| [load_app_impl]: Main executable rh (eboot.bin) loaded
[23:54:23.259] |D| [run_app]: Running module_start of library: SceLibc at address 0x7809
[23:54:23.276] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[23:54:23.276] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[23:54:23.276] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[23:54:23.283] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[23:54:23.286] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x5A001
[23:54:23.300] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[23:54:23.301] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[23:54:23.302] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[23:54:23.305] |D| [run_app]: Running module_start of library: SceUlt at address 0x8C5ED
[23:54:23.318] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[23:54:23.318] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[23:54:23.607] |W| [stubbed_impl]: Stubbed sceKernelGetFreeMemorySize import called. (Single pool)
[23:54:23.612] |T| [write_file]: *** TTY: size 16, sizeCdram 1426747392, sizeMain 1426747392, sizePhycont 1426747392, 
[23:54:23.771] |W| [stubbed_impl]: Stubbed sceGxmMapFragmentUsseMemory import called. (always return success)
[23:54:23.772] |W| [stubbed_impl]: Stubbed sceGxmMapVertexUsseMemory import called. (always return success)
[23:54:23.774] |W| [stubbed_impl]: Stubbed sceGxmGetRenderTargetMemSize import called. (2MB emuenv mem)
[23:54:23.926] |I| [load_module]: Loading module ID: 0xE
[23:54:23.931] |I| [load_self]: Loaded module segment 0 @ [0x0BF11000 - 0x0BF16CB4 / 0x81000000] (size: 0x00005CB4) of module sys/external/libpgf.suprx
[23:54:23.932] |I| [load_self]: Loaded module segment 1 @ [0x00F06000 - 0x00F06FE8 / 0x81006000] (size: 0x00000FE8) of module sys/external/libpgf.suprx
[23:54:23.932] |I| [load_self]: Loading symbols for SELF: sys/external/libpgf.suprx
[23:54:23.933] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xBF16A64
[23:54:23.933] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xBF16810
[23:54:23.934] |I| [load_module]: Module SceLibPgf (at "sys/external/libpgf.suprx") loaded
[23:54:23.935] |T| [write_file]: *** TTY: available os memory 4ed1d000 
[23:54:23.936] |T| [write_file]: *** TTY: os module loaded. [SCE_SYSMODULE_PGF] size:00002000 
[23:54:23.936] |T| [log_import_call]: [LLE] TID: 8   FUNC: 0x1055ABA3 sceFontNewLib at 0x8171C25C
[23:54:23.942] |I| [export_sceIoOpen]: Opening file: sa0:data/font/pvf/jpn0.pvf
[23:54:23.942] |T| [open_file]: sceIoOpen: Opening file sa0:data/font/pvf/jpn0.pvf (sa0:/data/font/pvf/jpn0.pvf), fd: 0x3
[23:54:23.943] |W| [unimplemented_impl]: Unimplemented sceIoIoctl import called.
[23:54:23.988] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[23:54:23.989] |T| [write_file]: *** TTY: available os memory 4ed1d000 
[23:54:23.989] |T| [write_file]: *** TTY: os module loaded. [SCE_SYSMODULE_SCREEN_SHOT] size:00000000 
[23:54:23.989] |W| [unimplemented_impl]: Unimplemented sceScreenShotDisable import called.
[23:54:23.989] |W| [unimplemented_impl]: Unimplemented sceScreenShotSetOverlayImage import called.
[23:54:23.990] |W| [unimplemented_impl]: Unimplemented sceScreenShotEnable import called.
[23:54:23.991] |T| [write_file]: *** TTY: available os memory 4ed1d000 
