[16:08:19.669] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[16:08:19.678] |I| [config::init_config]: backend-renderer: Vulkan
[16:08:19.678] |I| [config::init_config]: log-level: 0
[16:08:19.833] |I| [SDL_main]: Vita3K v0.1.9 3466-0edae4cd
[16:08:19.833] |I| [SDL_main]: Number of logical CPU cores: 12
[16:08:19.833] |I| [SDL_main]: Available ram memory: 16308 MiB
[16:08:19.835] |I| [app::init]: Base path: D:/Video Game/Emulator/Vita3k/
[16:08:19.836] |I| [app::init]: Shared assets path: D:/Video Game/Emulator/Vita3k/
[16:08:19.836] |I| [app::init]: Log path: D:/Video Game/Emulator/Vita3k/
[16:08:19.836] |I| [app::init]: User config path: D:/Video Game/Emulator/Vita3k/
[16:08:19.836] |I| [app::init]: User pref path: C:/Users/Administrator/AppData/Roaming/Vita3K/Vita3K/
[16:08:19.836] |I| [app::init]: User cache path: D:/Video Game/Emulator/Vita3k/cache/
[16:08:19.956] |I| [renderer::vulkan::VKState::create]: Vulkan device: NVIDIA GeForce RTX 3070
[16:08:19.956] |I| [renderer::vulkan::VKState::create]: Driver version: 537.42.0.0
[16:08:19.956] |I| [renderer::vulkan::VKState::create]: Memory mapping is enabled
[16:08:20.338] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Mailbox
[16:08:20.680] |I| [compat::update_app_compat_db]: Applications compatibility database is up to date.
[16:08:22.727] |I| [renderer::vulkan::VKState::late_init]: Using shader interlock for accurate framebuffer fetch emulation
[16:08:22.729] |I| [load_app_impl]: cpu-backend: Dynarmic
[16:08:22.729] |I| [load_app_impl]: CPU Optimisation state: true
[16:08:22.729] |I| [load_app_impl]: ngs state: true
[16:08:22.729] |I| [load_app_impl]: Resolution multiplier: 1
[16:08:22.729] |I| [load_app_impl]: modules mode: Automatic
[16:08:22.729] |I| [load_app_impl]: Title: レコラヴ Blue Ocean
[16:08:22.729] |I| [load_app_impl]: Serial: PCSG00781
[16:08:22.730] |I| [load_app_impl]: Version: 1.07
[16:08:22.730] |I| [load_app_impl]: Category: gp
[16:08:22.731] |I| [load_module]: Loading module "app0:eboot.bin"
[16:08:22.794] |I| [load_self]: app0:eboot.bin: Skipping special segment 0x6fffff01...
[16:08:22.794] |I| [load_self]: Loaded module segment 0 @ [0x80004000 - 0x80234628 / 0x81000000] (size: 0x00230628) of module app0:eboot.bin
[16:08:22.795] |I| [load_self]: Loaded module segment 1 @ [0x80235000 - 0x8059AE48 / 0x81231000] (size: 0x00365E48) of module app0:eboot.bin
[16:08:22.795] |I| [load_self]: Linking SELF app0:eboot.bin...
[16:08:22.796] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x801dad40
[16:08:22.796] |D| [load_var_exports]: 	NID 0x70fba1e7 (SCE_PROC_PARAMS) at 0x80246bd8
[16:08:22.796] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x802106c0
[16:08:22.797] |W| [load_var_imports]: 	NID NOT FOUND 0xddf9bb09 (UNRECOGNISED) at 0x801e5ff8, setting to stub value 0xdeadbeef
[16:08:22.798] |I| [load_module]: Module eco_Master (at "app0:eboot.bin") loaded
[16:08:22.798] |I| [load_app_impl]: Main executable eco_Master (eboot.bin) loaded
[16:08:22.798] |I| [load_module]: Loading module "app0:sce_module/libc.suprx"
[16:08:22.809] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[16:08:22.809] |I| [load_self]: Loaded module segment 0 @ [0x8059C000 - 0x805ED8A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[16:08:22.810] |I| [load_self]: Loaded module segment 1 @ [0x805EE000 - 0x805F08A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[16:08:22.810] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[16:08:22.811] |D| [load_var_exports]: Found previously not found variable. nid:0xddf9bb09, new_entry_point:0x805ee5b0
[16:08:22.811] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x805e3314
[16:08:22.811] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x805d84dc
[16:08:22.812] |I| [load_module]: Module SceLibc (at "app0:sce_module/libc.suprx") loaded
[16:08:22.812] |I| [load_module]: Loading module "app0:sce_module/libfios2.suprx"
[16:08:22.819] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[16:08:22.819] |I| [load_self]: Loaded module segment 0 @ [0x805F1000 - 0x8061DCBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
