[01:20:14.606] |I| [config::init_config]: backend-renderer: OpenGL
[01:20:14.608] |I| [config::init_config]: log-level: 0
[01:20:14.889] |I| [SDL_main]: Vita3K v0.1.3 2236-b80fa650
[01:20:16.582] |I| [renderer::gl::create]: Swap interval = -1
[01:20:16.590] |I| [renderer::gl::create]: GPU = NVIDIA GeForce GTX 1660 Ti/PCIe/SSE2
[01:20:16.590] |I| [renderer::gl::create]: GL_VERSION = 4.5.0 NVIDIA 466.77
[01:20:16.590] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.50 NVIDIA
[01:20:16.593] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[01:20:28.240] |I| [load_app_impl]: cpu-backend: Dynarmic
[01:20:28.241] |I| [load_app_impl]: CPU Optimisation state: true
[01:20:28.241] |I| [load_app_impl]: at9 audio decoder state: true
[01:20:28.241] |I| [load_app_impl]: ngs experimental state: true
[01:20:28.242] |I| [load_app_impl]: video player state: true
[01:20:28.242] |I| [load_app_impl]: lle-modules: libpgf,libsas,libatrac,libpvf
[01:20:28.242] |I| [load_app_impl]: Title: Risk of Rain
[01:20:28.242] |I| [load_app_impl]: Serial: PCSE00850
[01:20:28.243] |I| [load_app_impl]: Version: 1.00
[01:20:28.243] |I| [load_app_impl]: Category: gd
[01:20:28.278] |C| [load_self]: Unknown segment type 0x6FFFFF01
[01:20:28.279] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000588A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[01:20:28.280] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[01:20:28.280] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[01:20:28.282] |D| [load_var_exports]:  NID 0x936C8A78 (SYSLYB) at 0x4E314
[01:20:28.282] |D| [load_var_exports]:  NID 0x6C2224BA (NID_MODULE_INFO) at 0x434DC
[01:20:28.283] |W| [load_var_imports]:  NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x4763C, setting to stub value 0xDEADBEEF
[01:20:28.284] |W| [load_var_imports]:  NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x491D0, setting to stub value 0xDEADBEEF
[01:20:28.290] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[01:20:28.321] |C| [load_self]: Unknown segment type 0x6FFFFF01
[01:20:28.322] |I| [load_self]: Loaded module segment 0 @ [0x0005E000 - 0x0008ACBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[01:20:28.330] |I| [load_self]: Loaded module segment 1 @ [0x0008B000 - 0x00090255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[01:20:28.334] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[01:20:28.336] |D| [load_var_exports]:  NID 0x936C8A78 (SYSLYB) at 0x8ABC8
[01:20:28.337] |D| [load_var_exports]:  NID 0x6C2224BA (NID_MODULE_INFO) at 0x81F08
[01:20:28.339] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[01:20:28.355] |C| [load_self]: Unknown segment type 0x6FFFFF01
[01:20:28.356] |I| [load_self]: Loaded module segment 0 @ [0x00091000 - 0x000A49BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[01:20:28.359] |I| [load_self]: Loaded module segment 1 @ [0x000A5000 - 0x000A5814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[01:20:28.361] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[01:20:28.363] |D| [load_var_exports]:  NID 0x936C8A78 (SYSLYB) at 0xA32E8
[01:20:28.367] |D| [load_var_exports]:  NID 0x6C2224BA (NID_MODULE_INFO) at 0xA0870
[01:20:28.369] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[01:20:28.398] |I| [load_self]: Loaded module segment 0 @ [0x000A6000 - 0x000F6F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
