[01:42:04.261] |I| [config::init_config]: backend-renderer: OpenGL
[01:42:04.262] |I| [config::init_config]: lle-modules: libsas,libatrac,libsystemgesture,libSceJson,libssl,libhttp
[01:42:04.262] |I| [config::init_config]: log-level: 0
[01:42:04.263] |I| [SDL_main]: Vita3K v0.1 1333-47bc370b
[01:42:05.388] |I| [renderer::gl::create]: Swap interval = -1
[01:42:05.399] |I| [renderer::gl::create]: GPU = GeForce RTX 2070 SUPER/PCIe/SSE2
[01:42:05.399] |I| [renderer::gl::create]: GL_VERSION = 4.5.0 NVIDIA 441.87
[01:42:05.399] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.50 NVIDIA
[01:42:05.404] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[01:42:05.404] |W| [renderer::gl::create]: Shader interlock on GeForce RTX GPU driver is disabled due to a bug in the driver pending to be fixed.
[01:42:05.544] |I| [gui::init_icons]: Default icon found for title AVCDEC001, AVCDEC001.
[01:42:05.555] |I| [gui::init_icons]: Default icon found for title GXMFUN001, GXMFUN001.
[01:42:05.563] |I| [gui::init_icons]: Default icon found for title MP4PLAYER, Mp4 Pl.
[01:42:05.991] |I| [gui::init_icons]: Default icon found for title PCSH00281_dec, PCSH00281_dec.
[01:42:06.001] |I| [gui::init_icons]: Default icon found for title SKGCBSMGR, Custom Boot Splash Manager.
[01:42:06.002] |I| [gui::init_icons]: Default icon found for title SKGTLSE12, iTLS-Enso.
[01:42:06.002] |I| [gui::init_icons]: Default icon found for title SKOG00001, Snes9xVITA.
[01:42:06.008] |I| [gui::init_icons]: Default icon found for title VCID00001, VitaCID.
[01:42:06.010] |I| [gui::init_icons]: Default icon found for title VITATESTR, VitaTester.
[01:42:06.011] |I| [gui::init_icons]: Default icon found for title VSDK00009, Microphone Sample.
[01:42:16.337] |I| [load_app_impl]: Title: Run Sackboy! Run!
[01:42:16.337] |I| [load_app_impl]: Serial: PCSF00562
[01:42:16.337] |I| [load_app_impl]: Version: 01.01
[01:42:16.338] |I| [load_app_impl]: Category: gp
[01:42:16.375] |C| [load_self]: Unknown segment type 0x6FFFFF01
[01:42:16.375] |I| [load_self]: Loaded module segment 0 @ [0x00001000 - 0x00050C54] (size: 0x0004FC54) of module app0:sce_module/libc.suprx
[01:42:16.376] |I| [load_self]: Loaded module segment 1 @ [0x00051000 - 0x00053688] (size: 0x00002688) of module app0:sce_module/libc.suprx
[01:42:16.377] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[01:42:16.378] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x46744
[01:42:16.379] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3C4F8
[01:42:16.379] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x40520, setting to stub value 0xDEADBEEF
[01:42:16.381] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x420A4, setting to stub value 0xDEADBEEF
[01:42:16.383] |I| [load_app_impl]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[01:42:16.405] |C| [load_self]: Unknown segment type 0x6FFFFF01
[01:42:16.406] |I| [load_self]: Loaded module segment 0 @ [0x00056000 - 0x0008133C] (size: 0x0002B33C) of module app0:sce_module/libfios2.suprx
[01:42:16.407] |I| [load_self]: Loaded module segment 1 @ [0x00082000 - 0x0008723D] (size: 0x0000523D) of module app0:sce_module/libfios2.suprx
[01:42:16.409] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[01:42:16.410] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x81244
[01:42:16.411] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x78878
[01:42:16.412] |I| [load_app_impl]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[01:42:16.433] |C| [load_self]: Unknown segment type 0x6FFFFF01
[01:42:16.433] |I| [load_self]: Loaded module segment 0 @ [0x00088000 - 0x0009B9A4] (size: 0x000139A4) of module app0:sce_module/libult.suprx
[01:42:16.435] |I| [load_self]: Loaded module segment 1 @ [0x0009C000 - 0x0009C814] (size: 0x00000814) of module app0:sce_module/libult.suprx
[01:42:16.438] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[01:42:16.439] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9A2D0
[01:42:16.441] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x97858
[01:42:16.442] |W| [load_var_imports]: 	NID NOT FOUND 0x936A5F31 (_pLibPerfCaptureFlagPtr) at 0x980A4, setting to stub value 0xDEADBEEF
[01:42:16.445] |I| [load_app_impl]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[01:42:16.507] |C| [load_self]: Unknown segment type 0x6FFFFF01
[01:42:16.508] |I| [load_self]: Loaded module segment 0 @ [0x0009E000 - 0x002A8A60] (size: 0x0020AA60) of module app0:eboot.bin
[01:42:16.509] |I| [load_self]: Loaded module segment 1 @ [0x002A9000 - 0x00574460] (size: 0x002CB460) of module app0:eboot.bin
[01:42:16.511] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[01:42:16.512] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x267820
[01:42:16.513] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x2AC86C
[01:42:16.514] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x296188
[01:42:16.515] |I| [load_app_impl]: Main executable RSBR (eboot.bin) loaded
[01:42:16.520] |D| [run_app]: Running module_start of library: SceLibc at address 0x1871
[01:42:16.582] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[01:42:16.583] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[01:42:16.584] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[01:42:16.588] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[01:42:16.589] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x56001
[01:42:16.593] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[01:42:16.593] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[01:42:16.594] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[01:42:16.595] |D| [run_app]: Running module_start of library: SceUlt at address 0x8B769
[01:42:16.599] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[01:42:16.599] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[01:42:16.624] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[01:42:16.626] |I| [export_sceIoOpen]: Opening file: app0:/regionus
[01:42:16.626] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[01:42:16.632] |I| [export_sceIoOpen]: Opening file: app0:/regionas
[01:42:16.632] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[01:42:16.637] |I| [export_sceIoOpen]: Opening file: app0:/regionjp
[01:42:16.637] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[01:42:16.896] |I| [load_module]: Loading module ID: 0x4
[01:42:16.907] |I| [load_self]: Loaded module segment 0 @ [0x134C4000 - 0x1352AEA4] (size: 0x00066EA4) of module sys/external/libssl.suprx
[01:42:16.907] |I| [load_self]: Loaded module segment 1 @ [0x1352B000 - 0x1352FFA8] (size: 0x00004FA8) of module sys/external/libssl.suprx
[01:42:16.909] |I| [load_self]: Loading symbols for SELF: sys/external/libssl.suprx
[01:42:16.910] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x135169E0
[01:42:16.911] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x13510CA0
[01:42:16.911] |I| [load_module]: Module SceLibSsl (at "sys/external/libssl.suprx") loaded
[01:42:16.912] |W| [unimplemented_impl]: Unimplemented sceNpSnsFacebookInit import called.
[01:42:16.914] |W| [unimplemented_impl]: Unimplemented sceNetCtlInit import called.
[01:42:16.915] |W| [unimplemented_impl]: Unimplemented sceHttpInit import called.
[01:42:16.924] |E| [logging::ret_error_impl]: sceNetInit returned SCE_NET_ERROR_EINTERNAL (0x804101CC)
[01:42:16.925] |W| [unimplemented_impl]: Unimplemented sceKernelGetThreadExitStatus import called.
