[01:46:04.711] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[01:46:04.720] |I| [config::init_config]: backend-renderer: Vulkan
[01:46:04.720] |I| [config::init_config]: log-level: 0
[01:46:04.830] |I| [SDL_main]: Vita3K v0.1.8 3194-ca92b35e
[01:46:04.830] |I| [SDL_main]: Number of logical CPU cores: 32
[01:46:04.830] |I| [SDL_main]: Available ram memory: 65455 MiB
[01:46:04.959] |I| [renderer::vulkan::VKState::create]: Vulkan device: NVIDIA GeForce RTX 3070
[01:46:04.960] |I| [renderer::vulkan::VKState::create]: Driver version: 531.41.0.0
[01:46:04.960] |I| [renderer::vulkan::VKState::create]: Memory mapping is enabled
[01:46:05.433] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Mailbox
[01:46:06.099] |W| [compat::load_compat_app_db]: App with Title ID PCSA00014 has an issue but no status label. Please check GitHub issue 1559 and request a status label be added.
[01:46:06.100] |W| [compat::load_compat_app_db]: App with Title ID PCSA00083 has an issue but no status label. Please check GitHub issue 1558 and request a status label be added.
[01:46:06.100] |W| [compat::load_compat_app_db]: App with Title ID PCSA00029 has an issue but no status label. Please check GitHub issue 1557 and request a status label be added.
[01:46:06.100] |W| [compat::load_compat_app_db]: App with Title ID PCSE00623 has an issue but no status label. Please check GitHub issue 1556 and request a status label be added.
[01:46:06.100] |W| [compat::load_compat_app_db]: App with Title ID PCSA00010 has an issue but no status label. Please check GitHub issue 1555 and request a status label be added.
[01:46:06.100] |W| [compat::load_compat_app_db]: App with Title ID PCSE00271 has an issue but no status label. Please check GitHub issue 1554 and request a status label be added.
[01:46:06.543] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[01:46:11.758] |I| [load_app_impl]: cpu-backend: Dynarmic
[01:46:11.758] |I| [load_app_impl]: CPU Optimisation state: true
[01:46:11.758] |I| [load_app_impl]: ngs state: true
[01:46:11.758] |I| [load_app_impl]: Resolution multiplier: 4
[01:46:11.758] |I| [load_app_impl]: modules mode: Automatic
[01:46:11.759] |I| [load_app_impl]: Title: SD GUNDAM G GENERATION GENESIS
[01:46:11.759] |I| [load_app_impl]: Serial: PCSH00242
[01:46:11.759] |I| [load_app_impl]: Version: 1.00
[01:46:11.761] |I| [load_app_impl]: Category: gd
[01:46:11.773] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[01:46:11.773] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000568A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[01:46:11.774] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x000598A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[01:46:11.778] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[01:46:11.779] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4c314
[01:46:11.780] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x414dc
[01:46:11.780] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[01:46:11.787] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[01:46:11.787] |I| [load_self]: Loaded module segment 0 @ [0x0005A000 - 0x00086CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[01:46:11.788] |I| [load_self]: Loaded module segment 1 @ [0x00087000 - 0x0008C255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[01:46:11.793] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[01:46:11.794] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x86bc8
[01:46:11.794] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x7df08
