[11:23:33.702] |I| [config::init_config]: backend-renderer: Vulkan
[11:23:33.706] |I| [config::init_config]: log-level: 0
[11:23:33.874] |I| [SDL_main]: Vita3K v0.1.6 3039-92524b65
[11:23:33.875] |I| [SDL_main]: Number of logical CPU cores: 2
[11:23:33.876] |I| [SDL_main]: Available ram memory: 3959 MiB
[11:23:34.130] |I| [renderer::vulkan::VKState::create]: Enabling vulkan validation layers (has a performance impact but allows better error messages)
[11:23:34.316] |I| [renderer::vulkan::VKState::create]: Vulkan device: Intel(R) HD Graphics 500
[11:23:34.322] |I| [renderer::vulkan::VKState::create]: Driver version: 101.2111
[11:23:34.323] |I| [renderer::vulkan::VKState::create]: Memory mapping is enabled
[11:23:34.363] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Fifo
[11:23:35.331] |W| [compat::load_compat_app_db]: App with title ID PCSF00482 has an issue but no status label. Please check GitHub issue 1324 and request a status label to be added.
[11:23:35.342] |W| [compat::load_compat_app_db]: App with title ID PCSE00250 has an issue but no status label. Please check GitHub issue 1252 and request a status label to be added.
[11:23:35.930] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[11:25:10.232] |I| [load_app_impl]: cpu-backend: Dynarmic
[11:25:10.233] |I| [load_app_impl]: CPU Optimisation state: true
[11:25:10.233] |I| [load_app_impl]: ngs state: true
[11:25:10.234] |I| [load_app_impl]: Resolution multiplier: 1
[11:25:10.234] |I| [load_app_impl]: modules mode: Automatic
[11:25:10.234] |I| [load_app_impl]: Title: SUPERBEAT XONiC
[11:25:10.234] |I| [load_app_impl]: Serial: PCSE00717
[11:25:10.234] |I| [load_app_impl]: Version: 1.00
[11:25:10.234] |I| [load_app_impl]: Category: gd
[11:25:10.375] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6FFFFF01...
[11:25:10.376] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x00056814 / 0x81000000] (size: 0x00051814) of module app0:sce_module/libc.suprx
[11:25:10.378] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x000598A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[11:25:10.381] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[11:25:10.384] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4C284
[11:25:10.386] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x4144C
[11:25:10.388] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[11:25:10.589] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6FFFFF01...
[11:25:10.591] |I| [load_self]: Loaded module segment 0 @ [0x0005A000 - 0x00086CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[11:25:10.596] |I| [load_self]: Loaded module segment 1 @ [0x00087000 - 0x0008C255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[11:25:10.599] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[11:25:10.600] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x86BC8
[11:25:10.602] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7DF08
