[18:35:42.224] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[18:35:42.274] |I| [config::init_config]: backend-renderer: Vulkan
[18:35:42.274] |I| [config::init_config]: log-level: 0
[18:35:42.309] |I| [SDL_main]: Vita3K v0.1.8 3209-22ea4f03
[18:35:42.309] |I| [SDL_main]: Number of logical CPU cores: 4
[18:35:42.310] |I| [SDL_main]: Available ram memory: 16312 MiB
[18:35:42.720] |I| [renderer::vulkan::VKState::create]: Vulkan device: AMD Radeon HD 8500M
[18:35:42.720] |I| [renderer::vulkan::VKState::create]: Driver version: 2.0.116
[18:35:42.746] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Fifo
[18:35:44.778] |W| [compat::load_compat_app_db]: App with Title ID PCSE00915 has an issue but no status label. Please check GitHub issue 1647 and request a status label be added.
[18:35:44.779] |W| [compat::load_compat_app_db]: App with Title ID PCSE00398 has an issue but no status label. Please check GitHub issue 1646 and request a status label be added.
[18:35:44.779] |W| [compat::load_compat_app_db]: App with Title ID PCSE00909 has an issue but no status label. Please check GitHub issue 1645 and request a status label be added.
[18:35:44.780] |W| [compat::load_compat_app_db]: App with Title ID PCSE00896 has an issue but no status label. Please check GitHub issue 1644 and request a status label be added.
[18:35:44.780] |W| [compat::load_compat_app_db]: App with Title ID PCSE00449 has an issue but no status label. Please check GitHub issue 1643 and request a status label be added.
[18:35:44.784] |W| [compat::load_compat_app_db]: App with Title ID PCSG01238 has an issue but no status label. Please check GitHub issue 1633 and request a status label be added.
[18:35:44.797] |W| [compat::load_compat_app_db]: App with Title ID PCSA00127 has an issue but no status label. Please check GitHub issue 1578 and request a status label be added.
[18:35:44.801] |W| [compat::load_compat_app_db]: App with Title ID PCSE00915 already exists in compatibility database. Please check and close GitHub issue 1647.
[18:35:45.701] |I| [compat::update_compat_app_db]: Applications compatibility database is outdated, attempting to download latest updated at: 06-17-2023 09:10:24
[18:35:47.324] |W| [compat::load_compat_app_db]: App with Title ID PCSA00133 has an issue but no status label. Please check GitHub issue 1649 and request a status label be added.
[18:35:47.328] |W| [compat::load_compat_app_db]: App with Title ID PCSA00127 has an issue but no status label. Please check GitHub issue 1578 and request a status label be added.
[18:38:10.794] |I| [load_app_impl]: cpu-backend: Dynarmic
[18:38:10.795] |I| [load_app_impl]: CPU Optimisation state: true
[18:38:10.795] |I| [load_app_impl]: ngs state: true
[18:38:10.795] |I| [load_app_impl]: Resolution multiplier: 1
[18:38:10.795] |I| [load_app_impl]: modules mode: Automatic
[18:38:10.795] |I| [load_app_impl]: Title: 緋色の欠片 ～おもいいろの記憶～
[18:38:10.796] |I| [load_app_impl]: Serial: PCSG01036
[18:38:10.796] |I| [load_app_impl]: Version: 1.00
[18:38:10.796] |I| [load_app_impl]: Category: gd
[18:38:10.981] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[18:38:10.982] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000568A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[18:38:10.983] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x000598A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[18:38:10.983] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[18:38:10.984] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4c314
[18:38:10.984] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x414dc
[18:38:10.984] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[18:38:11.077] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[18:38:11.078] |I| [load_self]: Loaded module segment 0 @ [0x0005A000 - 0x00086CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[18:38:11.079] |I| [load_self]: Loaded module segment 1 @ [0x00087000 - 0x0008C255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[18:38:11.080] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[18:38:11.080] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x86bc8
[18:38:11.081] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x7df08
[18:38:11.081] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
