[12:40:49.863] |I| [config::init_config]: backend-renderer: Vulkan
[12:40:49.865] |I| [config::init_config]: log-level: 0
[12:40:49.939] |I| [SDL_main]: Vita3K v0.1.6 2858-ad2e287f
[12:40:49.939] |I| [SDL_main]: Number of logical CPU cores: 8
[12:40:49.940] |I| [SDL_main]: Available ram memory: 16215 MiB
[12:40:50.301] |I| [renderer::vulkan::VKState::create]: Enabling vulkan validation layers (has a performance impact but allows better error messages)
[12:40:50.452] |I| [renderer::vulkan::VKState::create]: Vulkan device: NVIDIA GeForce RTX 3060 Laptop GPU
[12:40:50.453] |I| [renderer::vulkan::VKState::create]: Driver version: 516.94.0.0
[12:40:51.011] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Mailbox
[12:41:00.307] |I| [load_app_impl]: cpu-backend: Dynarmic
[12:41:00.308] |I| [load_app_impl]: CPU Optimisation state: true
[12:41:00.308] |I| [load_app_impl]: ngs state: true
[12:41:00.308] |I| [load_app_impl]: Resolution multiplier: 1
[12:41:00.308] |I| [load_app_impl]: modules mode: Automatic
[12:41:00.309] |I| [load_app_impl]: Title: Secret of Mana
[12:41:00.309] |I| [load_app_impl]: Serial: PCSB01163
[12:41:00.309] |I| [load_app_impl]: Version: 1.00
[12:41:00.309] |I| [load_app_impl]: Category: gd
[12:41:00.329] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6FFFFF01...
[12:41:00.330] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x0005591C / 0x81000000] (size: 0x0005191C) of module app0:sce_module/libc.suprx
[12:41:00.330] |I| [load_self]: Loaded module segment 1 @ [0x00056000 - 0x000588A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[12:41:00.332] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[12:41:00.333] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4B38C
[12:41:00.334] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x40550
[12:41:00.334] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x446B0, setting to stub value 0xDEADBEEF
[12:41:00.336] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x46244, setting to stub value 0xDEADBEEF
[12:41:00.341] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[12:41:00.355] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6FFFFF01...
[12:41:00.355] |I| [load_self]: Loaded module segment 0 @ [0x0005B000 - 0x00087CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[12:41:00.361] |I| [load_self]: Loaded module segment 1 @ [0x00088000 - 0x0008D255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[12:41:00.364] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[12:41:00.364] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x87BC8
[12:41:00.365] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7EF08
[12:41:00.367] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[12:41:00.376] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6FFFFF01...
[12:41:00.377] |I| [load_self]: Loaded module segment 0 @ [0x0008E000 - 0x000A19BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[12:41:00.378] |I| [load_self]: Loaded module segment 1 @ [0x000A2000 - 0x000A2814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[12:41:00.379] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[12:41:00.382] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xA02E8
[12:41:00.385] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x9D870
[12:41:00.385] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[12:41:00.404] |I| [load_self]: Loaded module segment 0 @ [0x000A3000 - 0x000F3F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[12:41:00.406] |I| [load_self]: Loaded module segment 1 @ [0x000F4000 - 0x000F42F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[12:41:00.409] |I| [load_self]: Linking SELF vs0:sys/external/libSceFt2.suprx...
[12:41:00.410] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xDF7DC
[12:41:00.412] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xDEF10
[12:41:00.413] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[12:41:00.422] |I| [load_self]: Loaded module segment 0 @ [0x000F5000 - 0x00104F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[12:41:00.424] |I| [load_self]: Loaded module segment 1 @ [0x00105000 - 0x00105008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[12:41:00.424] |I| [load_self]: Linking SELF vs0:sys/external/libpvf.suprx...
[12:41:00.425] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x103710
[12:41:00.426] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x103300
