[18:56:04.972] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[18:56:04.995] |I| [config::init_config]: backend-renderer: Vulkan
[18:56:04.995] |I| [config::init_config]: log-level: 0
[18:56:05.042] |I| [SDL_main]: Vita3K v0.1.8 3209-22ea4f03
[18:56:05.043] |I| [SDL_main]: Number of logical CPU cores: 4
[18:56:05.043] |I| [SDL_main]: Available ram memory: 16312 MiB
[18:56:05.445] |I| [renderer::vulkan::VKState::create]: Vulkan device: AMD Radeon HD 8500M
[18:56:05.446] |I| [renderer::vulkan::VKState::create]: Driver version: 2.0.116
[18:56:05.472] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Fifo
[18:56:07.031] |W| [compat::load_compat_app_db]: App with Title ID PCSG01036 has an issue but no status label. Please check GitHub issue 1651 and request a status label be added.
[18:56:07.033] |W| [compat::load_compat_app_db]: App with Title ID PCSA00133 has an issue but no status label. Please check GitHub issue 1649 and request a status label be added.
[18:56:07.033] |W| [compat::load_compat_app_db]: App with Title ID PCSA00127 has an issue but no status label. Please check GitHub issue 1578 and request a status label be added.
[18:56:07.442] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[18:56:13.033] |I| [load_app_impl]: cpu-backend: Dynarmic
[18:56:13.035] |I| [load_app_impl]: CPU Optimisation state: true
[18:56:13.035] |I| [load_app_impl]: ngs state: true
[18:56:13.035] |I| [load_app_impl]: Resolution multiplier: 1
[18:56:13.036] |I| [load_app_impl]: modules mode: Automatic
[18:56:13.036] |I| [load_app_impl]: Title: 白と黒のアリス -Twilight line-
[18:56:13.036] |I| [load_app_impl]: Serial: PCSG01192
[18:56:13.036] |I| [load_app_impl]: Version: 1.00
[18:56:13.037] |I| [load_app_impl]: Category: gd
[18:56:13.058] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[18:56:13.059] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000568A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[18:56:13.059] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x000598A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[18:56:13.059] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[18:56:13.060] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4c314
[18:56:13.061] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x414dc
[18:56:13.061] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[18:56:13.074] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[18:56:13.074] |I| [load_self]: Loaded module segment 0 @ [0x0005A000 - 0x00086CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[18:56:13.075] |I| [load_self]: Loaded module segment 1 @ [0x00087000 - 0x0008C255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[18:56:13.075] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[18:56:13.076] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x86bc8
[18:56:13.076] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x7df08
[18:56:13.077] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[18:56:13.084] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6fffff01...
[18:56:13.085] |I| [load_self]: Loaded module segment 0 @ [0x0008D000 - 0x000A09BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[18:56:13.085] |I| [load_self]: Loaded module segment 1 @ [0x000A1000 - 0x000A1814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
