[01:05:41.394] |I| [config::init_config]: backend-renderer: OpenGL
[01:05:41.396] |I| [config::init_config]: log-level: 0
[01:05:41.590] |I| [SDL_main]: Vita3K v0.1 1683-5d0939b8
[01:05:42.166] |I| [renderer::gl::create]: Swap interval = -1
[01:05:42.171] |I| [renderer::gl::create]: GPU = Radeon (TM) 520
[01:05:42.171] |I| [renderer::gl::create]: GL_VERSION = 4.5.13587 Core Profile Context 20.4.2 26.20.15029.27016
[01:05:42.172] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[01:05:42.172] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[01:05:42.172] |W| [renderer::gl::create]: Consider updating to GPU that has shader interlock.
[01:05:42.329] |I| [gui::init_apps_icon]: Default icon found for title BARR00001, BARR00001.
[01:05:42.333] |I| [gui::init_apps_icon]: Default icon found for title DEFLATEIO, DEFLATEIO.
[01:05:42.338] |I| [gui::init_apps_icon]: Default icon found for title MSGERROR, MSGERROR.
[01:05:42.338] |I| [gui::init_apps_icon]: Default icon found for title MSGSYSTE, MSGSYSTE.
[01:05:42.339] |I| [gui::init_apps_icon]: Default icon found for title MSGUSER0, MSGUSER0.
[01:05:42.417] |I| [gui::init_apps_icon]: Default icon found for title SCEIME000, SCEIME000.
[01:05:42.418] |I| [gui::init_apps_icon]: Default icon found for title SCREENSHO, SCREENSHO.
[01:05:42.421] |I| [gui::init_apps_icon]: Default icon found for title TESTEEEEE, TESTEEEEE.
[01:05:48.878] |I| [load_app_impl]: hardware-flip: enabled
[01:05:48.879] |I| [load_app_impl]: Title: Silent Hill: Book of Memories
[01:05:48.880] |I| [load_app_impl]: Serial: PCSE00011
[01:05:48.880] |I| [load_app_impl]: Version: 01.00
[01:05:48.881] |I| [load_app_impl]: Category: gd
[01:05:48.932] |C| [load_self]: Unknown segment type 0x6FFFFF01
[01:05:48.932] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x000401CC / 0x81000000] (size: 0x0003C1CC) of module app0:sce_module/libc.suprx
[01:05:48.933] |I| [load_self]: Loaded module segment 1 @ [0x00041000 - 0x0004333C / 0x8103D000] (size: 0x0000233C) of module app0:sce_module/libc.suprx
[01:05:48.934] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[01:05:48.934] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x31CE4
[01:05:48.935] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x3549C, setting to stub value 0xDEADBEEF
[01:05:48.936] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[01:05:48.965] |C| [load_self]: Unknown segment type 0x6FFFFF01
[01:05:48.965] |I| [load_self]: Loaded module segment 0 @ [0x00045000 - 0x00066B7C / 0x81000000] (size: 0x00021B7C) of module app0:sce_module/libfios2.suprx
[01:05:48.967] |I| [load_self]: Loaded module segment 1 @ [0x00067000 - 0x0006C194 / 0x81022000] (size: 0x00005194) of module app0:sce_module/libfios2.suprx
[01:05:48.968] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[01:05:48.969] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x606CC
[01:05:48.970] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[01:05:49.032] |C| [load_self]: Unknown segment type 0x6FFFFF01
[01:05:49.033] |I| [load_self]: Loaded module segment 0 @ [0x0006D000 - 0x00080B0C / 0x81000000] (size: 0x00013B0C) of module app0:sce_module/libult.suprx
[01:05:49.034] |I| [load_self]: Loaded module segment 1 @ [0x00081000 - 0x00081810 / 0x81014000] (size: 0x00000810) of module app0:sce_module/libult.suprx
[01:05:49.036] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[01:05:49.037] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7D7F0
[01:05:49.038] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[01:05:49.053] |I| [load_self]: Loaded module segment 0 @ [0x00082000 - 0x000D2F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[01:05:49.054] |I| [load_self]: Loaded module segment 1 @ [0x000D3000 - 0x000D32F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[01:05:49.055] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[01:05:49.059] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xBE7DC
[01:05:49.062] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xBDF10
[01:05:49.062] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0xD2EE0, setting to stub value 0xDEADBEEF
[01:05:49.064] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[01:05:49.068] |I| [load_self]: Loaded module segment 0 @ [0x000D5000 - 0x000E4F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[01:05:49.069] |I| [load_self]: Loaded module segment 1 @ [0x000E5000 - 0x000E5008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[01:05:49.073] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[01:05:49.075] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xE3710
[01:05:49.078] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xE3300
[01:05:49.080] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[01:05:49.646] |C| [load_self]: Unknown segment type 0x6FFFFF01
[01:05:49.647] |I| [load_self]: Loaded module segment 0 @ [0x81000000 - 0x816A7288 / 0x81000000] (size: 0x006A7288) of module app0:eboot.bin
[01:05:49.648] |I| [load_self]: Loaded module segment 1 @ [0x816A8000 - 0x823078BC / 0x816A8000] (size: 0x00C5F8BC) of module app0:eboot.bin
[01:05:49.650] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[01:05:49.651] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x81567D64
[01:05:49.652] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x816AA638
[01:05:49.653] |I| [load_app_impl]: Main executable sh_psp2_final (eboot.bin) loaded
[01:05:49.664] |D| [run_app]: Running module_start of library: SceLibc at address 0x45E5
[01:05:49.672] |I| [export_sceIoOpen]: Opening file: tty0:
[01:05:49.673] |T| [open_file]: sceIoOpen: Opening terminal tty0:
[01:05:49.675] |I| [export_sceIoOpen]: Opening file: tty0:
[01:05:49.677] |T| [open_file]: sceIoOpen: Opening terminal tty0:
[01:05:49.681] |I| [export_sceIoOpen]: Opening file: tty1:
[01:05:49.682] |T| [open_file]: sceIoOpen: Opening terminal tty1:
