[13:25:55.944] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[13:25:56.335] |I| [config::init_config]: backend-renderer: Vulkan
[13:25:56.335] |I| [config::init_config]: log-level: 0
[13:25:56.503] |I| [SDL_main]: Vita3K v0.1.8 3157-4280bea5
[13:25:56.503] |I| [SDL_main]: Number of logical CPU cores: 12
[13:25:56.504] |I| [SDL_main]: Available ram memory: 16147 MiB
[13:25:56.702] |I| [renderer::vulkan::VKState::create]: Vulkan device: NVIDIA GeForce RTX 3060 Laptop GPU
[13:25:56.702] |I| [renderer::vulkan::VKState::create]: Driver version: 531.79.0.0
[13:25:56.703] |I| [renderer::vulkan::VKState::create]: Memory mapping is enabled
[13:25:57.013] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Mailbox
[13:25:58.120] |W| [compat::load_compat_app_db]: Title ID hy proble is invalid. Please check GitHub issue 1468 and verify it!
[13:25:58.120] |W| [compat::load_compat_app_db]: App with Title ID PCSF00069 has an issue but no status label. Please check GitHub issue 1467 and request a status label be added.
[13:25:58.121] |W| [compat::load_compat_app_db]: App with Title ID PCSE00963 has an issue but no status label. Please check GitHub issue 1466 and request a status label be added.
[13:26:01.298] |I| [compat::update_compat_app_db]: Applications compatibility database is outdated, attempting to download latest updated at: 05-13-2023 10:43:18
[13:26:01.789] |W| [compat::load_compat_app_db]: App with Title ID PCSE00963 has an issue but no status label. Please check GitHub issue 1466 and request a status label be added.
[13:26:21.198] |I| [load_app_impl]: cpu-backend: Dynarmic
[13:26:21.198] |I| [load_app_impl]: CPU Optimisation state: true
[13:26:21.198] |I| [load_app_impl]: ngs state: true
[13:26:21.198] |I| [load_app_impl]: Resolution multiplier: 5
[13:26:21.198] |I| [load_app_impl]: 1 Controllers Connected
[13:26:21.198] |I| [load_app_impl]: Controller 0: PS5 Controller
[13:26:21.199] |I| [load_app_impl]: modules mode: Automatic
[13:26:21.199] |I| [load_app_impl]: Title: Sine Mora
[13:26:21.199] |I| [load_app_impl]: Serial: PCSE00090
[13:26:21.199] |I| [load_app_impl]: Version: 1.00
[13:26:21.199] |I| [load_app_impl]: Category: gd
[13:26:21.261] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[13:26:21.261] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000417DC / 0x81000000] (size: 0x0003C7DC) of module app0:sce_module/libc.suprx
[13:26:21.262] |I| [load_self]: Loaded module segment 1 @ [0x00042000 - 0x00044374 / 0x8103D000] (size: 0x00002374) of module app0:sce_module/libc.suprx
[13:26:21.262] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[13:26:21.263] |D| [load_var_exports]:  NID 0x6c2224ba (NID_MODULE_INFO) at 0x33220
[13:26:21.263] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[13:26:21.283] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[13:26:21.285] |I| [load_self]: Loaded module segment 0 @ [0x00045000 - 0x000671B0 / 0x81000000] (size: 0x000221B0) of module app0:sce_module/libfios2.suprx
[13:26:21.286] |I| [load_self]: Loaded module segment 1 @ [0x00068000 - 0x0006D1B8 / 0x81023000] (size: 0x000051B8) of module app0:sce_module/libfios2.suprx
[13:26:21.287] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[13:26:21.287] |D| [load_var_exports]:  NID 0x6c2224ba (NID_MODULE_INFO) at 0x60cb0
[13:26:21.287] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[13:26:21.297] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6fffff01...
[13:26:21.297] |I| [load_self]: Loaded module segment 0 @ [0x0006E000 - 0x0008206C / 0x81000000] (size: 0x0001406C) of module app0:sce_module/libult.suprx
[13:26:21.297] |I| [load_self]: Loaded module segment 1 @ [0x00083000 - 0x00083814 / 0x81015000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[13:26:21.298] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[13:26:21.298] |D| [load_var_exports]:  NID 0x6c2224ba (NID_MODULE_INFO) at 0x7eb68
[13:26:21.299] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[13:26:21.359] |I| [load_self]: Loaded module segment 0 @ [0x00084000 - 0x000D4F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[13:26:21.360] |I| [load_self]: Loaded module segment 1 @ [0x000D5000 - 0x000D52F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[13:26:21.361] |I| [load_self]: Linking SELF vs0:sys/external/libSceFt2.suprx...
[13:26:21.361] |D| [load_var_exports]:  NID 0x936c8a78 (SYSLYB) at 0xc07dc
