[20:30:05.062] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[20:30:05.072] |I| [config::init_config]: backend-renderer: OpenGL
[20:30:05.072] |I| [config::init_config]: log-level: 0
[20:30:05.109] |I| [SDL_main]: Vita3K v0.1.8 3209-22ea4f03
[20:30:05.109] |I| [SDL_main]: Number of logical CPU cores: 4
[20:30:05.110] |I| [SDL_main]: Available ram memory: 16312 MiB
[20:30:05.710] |I| [renderer::gl::create]: GPU = AMD Radeon HD 8500M
[20:30:05.710] |I| [renderer::gl::create]: GL_VERSION = 4.6.13587 Core Profile Context 0
[20:30:05.710] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[20:30:05.710] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[20:30:05.710] |W| [renderer::gl::create]: Consider upgrading to a GPU that has shader interlock.
[20:30:07.455] |W| [compat::load_compat_app_db]: App with Title ID PCSA00158 has an issue but no status label. Please check GitHub issue 1659 and request a status label be added.
[20:30:07.455] |W| [compat::load_compat_app_db]: App with Title ID PCSA00133 has an issue but no status label. Please check GitHub issue 1649 and request a status label be added.
[20:30:07.813] |E| [https::get_web_response]: 404 Not Found
[20:30:14.916] |I| [gui::set_vsync_state]: V-Sync state: true
[20:30:14.933] |I| [load_app_impl]: cpu-backend: Dynarmic
[20:30:14.934] |I| [load_app_impl]: CPU Optimisation state: true
[20:30:14.934] |I| [load_app_impl]: ngs state: true
[20:30:14.934] |I| [load_app_impl]: Resolution multiplier: 1
[20:30:14.934] |I| [load_app_impl]: modules mode: Automatic
[20:30:14.935] |I| [load_app_impl]: Title: 鏡界の白雪
[20:30:14.935] |I| [load_app_impl]: Serial: PCSG00787
[20:30:14.935] |I| [load_app_impl]: Version: 1.00
[20:30:14.936] |I| [load_app_impl]: Category: gd
[20:30:14.957] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[20:30:14.958] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000568A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[20:30:14.958] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x000598A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[20:30:14.959] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[20:30:14.960] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4c314
[20:30:14.961] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x414dc
[20:30:14.961] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[20:30:14.973] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[20:30:14.974] |I| [load_self]: Loaded module segment 0 @ [0x0005A000 - 0x00086CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[20:30:14.974] |I| [load_self]: Loaded module segment 1 @ [0x00087000 - 0x0008C255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[20:30:14.975] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[20:30:14.976] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x86bc8
[20:30:14.977] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x7df08
[20:30:14.977] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[20:30:14.984] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6fffff01...
[20:30:14.985] |I| [load_self]: Loaded module segment 0 @ [0x0008D000 - 0x000A09BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[20:30:14.985] |I| [load_self]: Loaded module segment 1 @ [0x000A1000 - 0x000A1814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[20:30:14.986] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[20:30:14.986] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x9f2e8
