[22:39:18.929] |I| [load_app_impl]: cpu-backend: Dynarmic
[22:39:18.929] |I| [load_app_impl]: CPU Optimisation state: true
[22:39:18.929] |I| [load_app_impl]: ngs state: true
[22:39:18.929] |I| [load_app_impl]: Resolution multiplier: 2
[22:39:18.929] |I| [load_app_impl]: modules mode: Automatic
[22:39:18.930] |I| [load_app_impl]: Title: 双星の陰陽師
[22:39:18.930] |I| [load_app_impl]: Serial: PCSG00993
[22:39:18.930] |I| [load_app_impl]: Version: 1.00
[22:39:18.930] |I| [load_app_impl]: Category: gd
[22:39:18.939] |C| [load_self]: Unknown segment type 0x6FFFFF01
[22:39:18.939] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000588A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[22:39:18.939] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[22:39:18.939] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[22:39:18.942] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E314
[22:39:18.942] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x434DC
[22:39:18.942] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x4763C, setting to stub value 0xDEADBEEF
[22:39:18.942] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x491D0, setting to stub value 0xDEADBEEF
[22:39:18.943] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[22:39:18.948] |C| [load_self]: Unknown segment type 0x6FFFFF01
[22:39:18.948] |I| [load_self]: Loaded module segment 0 @ [0x0005E000 - 0x0008ACBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[22:39:18.948] |I| [load_self]: Loaded module segment 1 @ [0x0008B000 - 0x00090255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[22:39:18.948] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[22:39:18.948] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x8ABC8
[22:39:18.948] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x81F08
[22:39:18.948] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[22:39:18.952] |C| [load_self]: Unknown segment type 0x6FFFFF01
[22:39:18.952] |I| [load_self]: Loaded module segment 0 @ [0x00091000 - 0x000A49BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[22:39:18.952] |I| [load_self]: Loaded module segment 1 @ [0x000A5000 - 0x000A5814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[22:39:18.953] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[22:39:18.953] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xA32E8
[22:39:18.954] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xA0870
[22:39:18.954] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[22:39:18.961] |I| [load_self]: Loaded module segment 0 @ [0x000A6000 - 0x000F6F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[22:39:18.961] |I| [load_self]: Loaded module segment 1 @ [0x000F7000 - 0x000F72F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[22:39:18.962] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[22:39:18.962] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xE27DC
[22:39:18.962] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xE1F10
[22:39:18.963] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[22:39:18.965] |I| [load_self]: Loaded module segment 0 @ [0x000F8000 - 0x00107F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[22:39:18.965] |I| [load_self]: Loaded module segment 1 @ [0x00108000 - 0x00108008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[22:39:18.966] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[22:39:18.966] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x106710
[22:39:18.967] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x106300
[22:39:18.967] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[22:39:19.100] |C| [load_self]: Unknown segment type 0x6FFFFF01
[22:39:19.101] |I| [load_self]: Loaded module segment 0 @ [0x00109000 - 0x005D9954 / 0x81000000] (size: 0x004D0954) of module app0:eboot.bin
[22:39:19.101] |I| [load_self]: Loaded module segment 1 @ [0x005DA000 - 0x006E61A8 / 0x814D1000] (size: 0x0010C1A8) of module app0:eboot.bin
[22:39:19.102] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[22:39:19.102] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x4C1464
[22:39:19.103] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x5DA478
[22:39:19.103] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x513378
[22:39:19.104] |I| [load_app_impl]: Main executable souseiPSP2 (eboot.bin) loaded
[22:39:19.114] |I| [renderer::gl::compile_shader]: frag shader compiled: 645c7b5aad53a7800a0fb58f6fe5d328e714bc08fb219e96c365c46fbc79a04e
[22:39:19.117] |I| [renderer::gl::compile_shader]: vert shader compiled: 87944d7185f57185ab26ddb4662b8976133d6788e7747d150eb60abcf98c9255
