[11:01:27.912] |I| [config::init_config]: backend-renderer: Vulkan
[11:01:27.914] |I| [config::init_config]: log-level: 0
[11:01:27.987] |I| [SDL_main]: Vita3K v0.1.6 2858-ad2e287f
[11:01:27.988] |I| [SDL_main]: Number of logical CPU cores: 8
[11:01:27.988] |I| [SDL_main]: Available ram memory: 16215 MiB
[11:01:28.657] |I| [renderer::vulkan::VKState::create]: Enabling vulkan validation layers (has a performance impact but allows better error messages)
[11:01:28.798] |I| [renderer::vulkan::VKState::create]: Vulkan device: NVIDIA GeForce RTX 3060 Laptop GPU
[11:01:28.804] |I| [renderer::vulkan::VKState::create]: Driver version: 516.94.0.0
[11:01:29.347] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Mailbox
[11:01:40.232] |I| [load_app_impl]: cpu-backend: Dynarmic
[11:01:40.233] |I| [load_app_impl]: CPU Optimisation state: true
[11:01:40.234] |I| [load_app_impl]: ngs state: true
[11:01:40.234] |I| [load_app_impl]: Resolution multiplier: 1
[11:01:40.235] |I| [load_app_impl]: modules mode: Auto & Manual
[11:01:40.235] |I| [load_app_impl]: lle-modules: libhttp
[11:01:40.235] |I| [load_app_impl]: Title: StarDrone Extreme
[11:01:40.235] |I| [load_app_impl]: Serial: PCSE00029
[11:01:40.236] |I| [load_app_impl]: Version: 1.00
[11:01:40.236] |I| [load_app_impl]: Category: gd
[11:01:40.273] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6FFFFF01...
[11:01:40.274] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x000401CC / 0x81000000] (size: 0x0003C1CC) of module app0:sce_module/libc.suprx
[11:01:40.275] |I| [load_self]: Loaded module segment 1 @ [0x00041000 - 0x0004333C / 0x8103D000] (size: 0x0000233C) of module app0:sce_module/libc.suprx
[11:01:40.275] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[11:01:40.277] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x31CE4
[11:01:40.277] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x3549C, setting to stub value 0xDEADBEEF
[11:01:40.280] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[11:01:40.307] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6FFFFF01...
[11:01:40.308] |I| [load_self]: Loaded module segment 0 @ [0x00045000 - 0x00066B7C / 0x81000000] (size: 0x00021B7C) of module app0:sce_module/libfios2.suprx
[11:01:40.312] |I| [load_self]: Loaded module segment 1 @ [0x00067000 - 0x0006C194 / 0x81022000] (size: 0x00005194) of module app0:sce_module/libfios2.suprx
[11:01:40.318] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[11:01:40.325] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x606CC
[11:01:40.327] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[11:01:40.351] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6FFFFF01...
[11:01:40.352] |I| [load_self]: Loaded module segment 0 @ [0x0006D000 - 0x00080B0C / 0x81000000] (size: 0x00013B0C) of module app0:sce_module/libult.suprx
[11:01:40.356] |I| [load_self]: Loaded module segment 1 @ [0x00081000 - 0x00081810 / 0x81014000] (size: 0x00000810) of module app0:sce_module/libult.suprx
[11:01:40.364] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[11:01:40.365] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7D7F0
[11:01:40.370] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
