[01:16:27.741] |I| [config::init_config]: backend-renderer: OpenGL
[01:16:27.744] |I| [config::init_config]: lle-modules: libsas,libatrac,libsystemgesture
[01:16:27.745] |I| [config::init_config]: log-level: 0
[01:16:27.746] |I| [SDL_main]: Vita3K v0.1 1333-47bc370b
[01:16:29.024] |I| [renderer::gl::create]: Swap interval = -1
[01:16:30.720] |I| [renderer::gl::create]: GPU = GeForce RTX 2070 SUPER/PCIe/SSE2
[01:16:30.721] |I| [renderer::gl::create]: GL_VERSION = 4.5.0 NVIDIA 441.87
[01:16:30.721] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.50 NVIDIA
[01:16:30.725] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[01:16:30.726] |W| [renderer::gl::create]: Shader interlock on GeForce RTX GPU driver is disabled due to a bug in the driver pending to be fixed.
[01:16:40.744] |I| [gui::init_icons]: Default icon found for title AVCDEC001, AVCDEC001.
[01:16:41.036] |I| [gui::init_icons]: Default icon found for title GXMFUN001, GXMFUN001.
[01:16:41.175] |I| [gui::init_icons]: Default icon found for title MP4PLAYER, Mp4 Pl.
[01:16:50.230] |I| [gui::init_icons]: Default icon found for title SKGCBSMGR, Custom Boot Splash Manager.
[01:16:50.231] |I| [gui::init_icons]: Default icon found for title SKGTLSE12, iTLS-Enso.
[01:16:50.232] |I| [gui::init_icons]: Default icon found for title SKOG00001, Snes9xVITA.
[01:16:50.334] |I| [gui::init_icons]: Default icon found for title VCID00001, VitaCID.
[01:16:50.377] |I| [gui::init_icons]: Default icon found for title VITATESTR, VitaTester.
[01:16:50.388] |I| [gui::init_icons]: Default icon found for title VSDK00009, Microphone Sample.
[01:17:24.252] |I| [load_app_impl]: Title: Stardew Valley
[01:17:24.252] |I| [load_app_impl]: Serial: PCSB01226
[01:17:24.252] |I| [load_app_impl]: Version: 01.02
[01:17:24.253] |I| [load_app_impl]: Category: gp
[01:17:24.263] |C| [load_self]: Unknown segment type 0x6FFFFF01
[01:17:24.263] |I| [load_self]: Loaded module segment 0 @ [0x00001000 - 0x0005291C] (size: 0x0005191C) of module app0:sce_module/libc.suprx
[01:17:24.263] |I| [load_self]: Loaded module segment 1 @ [0x00053000 - 0x000558A0] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[01:17:24.263] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[01:17:24.265] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4838C
[01:17:24.265] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3D550
[01:17:24.268] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x416B0, setting to stub value 0xDEADBEEF
[01:17:24.269] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x43244, setting to stub value 0xDEADBEEF
[01:17:24.270] |I| [load_app_impl]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[01:17:24.276] |C| [load_self]: Unknown segment type 0x6FFFFF01
[01:17:24.277] |I| [load_self]: Loaded module segment 0 @ [0x00058000 - 0x00084CBF] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[01:17:24.278] |I| [load_self]: Loaded module segment 1 @ [0x00085000 - 0x0008A255] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[01:17:24.280] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[01:17:24.281] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x84BC8
[01:17:24.281] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7BF08
[01:17:24.282] |I| [load_app_impl]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[01:17:24.286] |C| [load_self]: Unknown segment type 0x6FFFFF01
[01:17:24.286] |I| [load_self]: Loaded module segment 0 @ [0x0008B000 - 0x0009E9BC] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[01:17:24.287] |I| [load_self]: Loaded module segment 1 @ [0x0009F000 - 0x0009F814] (size: 0x00000814) of module app0:sce_module/libult.suprx
[01:17:24.291] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[01:17:24.292] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9D2E8
[01:17:24.292] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x9A870
[01:17:24.294] |W| [load_var_imports]: 	NID NOT FOUND 0x936A5F31 (_pLibPerfCaptureFlagPtr) at 0x9B0BC, setting to stub value 0xDEADBEEF
[01:17:24.295] |I| [load_app_impl]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[01:17:25.792] |C| [load_self]: Unknown segment type 0x6FFFFF01
[01:17:25.793] |I| [load_self]: Loaded module segment 0 @ [0x000A1000 - 0x0356FD14] (size: 0x034CED14) of module app0:eboot.bin
[01:17:25.794] |I| [load_self]: Loaded module segment 1 @ [0x03570000 - 0x0388C860] (size: 0x0031C860) of module app0:eboot.bin
[01:17:25.796] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[01:17:25.797] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x245C18C
[01:17:25.798] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x371A548
[01:17:25.799] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x3563F70
[01:17:25.802] |I| [load_app_impl]: Main executable eboot (eboot.bin) loaded
[01:17:25.816] |D| [run_app]: Running module_start of library: SceLibc at address 0x1871
