[01:48:46.706] |I| [config::init_config]: backend-renderer: OpenGL
[01:48:46.708] |I| [config::init_config]: hardware-flip: enabled
[01:48:46.708] |I| [config::init_config]: lle-modules: libpgf,libpvf
[01:48:46.708] |I| [config::init_config]: log-level: 0
[01:48:46.710] |I| [SDL_main]: Vita3K v0.1 1332-4f8142de
[01:48:47.163] |I| [renderer::gl::create]: Swap interval = -1
[01:48:47.167] |I| [renderer::gl::create]: GPU = GeForce GTX 1050 Ti/PCIe/SSE2
[01:48:47.167] |I| [renderer::gl::create]: GL_VERSION = 4.5.0 NVIDIA 436.48
[01:48:47.167] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.50 NVIDIA
[01:48:47.168] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[01:48:47.288] |I| [gui::init_icons]: Default icon found for title ABCD00002, Test Application Season 2.
[01:48:47.290] |I| [gui::init_icons]: Default icon found for title ACTI00000, Vita Activator.
[01:48:47.297] |I| [gui::init_icons]: Default icon found for title BARR00111, BARR00111.
[01:48:47.299] |I| [gui::init_icons]: Default icon found for title BIRD00000, flappybird.
[01:48:47.301] |I| [gui::init_icons]: Default icon found for title BUBBLE000, bubbleride.
[01:48:47.302] |I| [gui::init_icons]: Default icon found for title bubbles, bubbles.
[01:48:47.312] |I| [gui::init_icons]: Default icon found for title dumper_e, イースVIII -Lacrimosa of DANA-.
[01:48:47.320] |I| [gui::init_icons]: Default icon found for title git, git.
[01:48:47.328] |I| [gui::init_icons]: Default icon found for title mai_moe, mai_moe.
[01:48:47.329] |I| [gui::init_icons]: Default icon found for title mai_vv, mai_vv.
[01:48:47.446] |I| [gui::init_icons]: Default icon found for title PSPEMUXXX, PSPEMUXXX.
[01:48:47.450] |I| [gui::init_icons]: Default icon found for title resources, resources.
[01:48:47.455] |I| [gui::init_icons]: Default icon found for title sce_module, sce_module.
[01:48:47.455] |I| [gui::init_icons]: Default icon found for title sce_sys, sce_sys.
[01:48:47.457] |I| [gui::init_icons]: Default icon found for title SHDW00001, advremap.
[01:48:47.458] |I| [gui::init_icons]: Default icon found for title SKOG00001, Snes9xVITA.
[01:48:47.466] |I| [gui::init_icons]: Default icon found for title system, system.
[01:48:47.473] |I| [gui::init_icons]: Default icon found for title VDEC00001, French American Games Decrypter.
[01:48:47.480] |I| [gui::init_icons]: Default icon found for title VITATESTR, VitaTester.
[01:48:47.488] |I| [gui::init_icons]: Default icon found for title XYZZ00001, button-swapper.
[01:49:13.662] |I| [load_app_impl]: Title: Stardew Valley
[01:49:13.662] |I| [load_app_impl]: Serial: PCSE01235
[01:49:13.663] |I| [load_app_impl]: Version: 01.00
[01:49:13.663] |I| [load_app_impl]: Category: gd
[01:49:13.698] |I| [load_self]: Loaded module segment 0 @ [0x00001000 - 0x0005291C] (size: 0x0005191C) of module app0:sce_module/libc.suprx
[01:49:13.700] |I| [load_self]: Loaded module segment 1 @ [0x00053000 - 0x000558A0] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[01:49:13.700] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[01:49:13.701] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4838C
[01:49:13.701] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3D550
[01:49:13.702] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x416B0, setting to stub value 0xDEADBEEF
[01:49:13.702] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x43244, setting to stub value 0xDEADBEEF
[01:49:13.703] |I| [load_app_impl]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[01:49:13.719] |I| [load_self]: Loaded module segment 0 @ [0x00058000 - 0x00084CBF] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[01:49:13.720] |I| [load_self]: Loaded module segment 1 @ [0x00085000 - 0x0008A255] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[01:49:13.721] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[01:49:13.722] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x84BC8
[01:49:13.722] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7BF08
[01:49:13.722] |I| [load_app_impl]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[01:49:13.732] |I| [load_self]: Loaded module segment 0 @ [0x0008B000 - 0x0009E9BC] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[01:49:13.733] |I| [load_self]: Loaded module segment 1 @ [0x0009F000 - 0x0009F814] (size: 0x00000814) of module app0:sce_module/libult.suprx
[01:49:13.734] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[01:49:13.734] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9D2E8
[01:49:13.735] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x9A870
[01:49:13.735] |W| [load_var_imports]: 	NID NOT FOUND 0x936A5F31 (_pLibPerfCaptureFlagPtr) at 0x9B0BC, setting to stub value 0xDEADBEEF
[01:49:13.736] |I| [load_app_impl]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[01:49:15.384] |I| [load_self]: Loaded module segment 0 @ [0x84C00540 - 0x880CC120] (size: 0x034CBBE0) of module app0:eboot.bin
[01:49:15.386] |I| [load_self]: Loaded module segment 1 @ [0x88100580 - 0x8841CD10] (size: 0x0031C790) of module app0:eboot.bin
[01:49:15.386] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[01:49:15.387] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x86FB9524
[01:49:15.387] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x882AAA78
[01:49:15.387] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x880C03FC
