[11:06:53.914] |I| [config::init_config]: backend-renderer: Vulkan
[11:06:53.915] |I| [config::init_config]: log-level: 0
[11:06:54.004] |I| [SDL_main]: Vita3K v0.1.6 3020-a4ded14b
[11:06:54.005] |I| [SDL_main]: Number of logical CPU cores: 4
[11:06:54.005] |I| [SDL_main]: Available ram memory: 8077 MiB
[11:06:54.140] |I| [renderer::vulkan::VKState::create]: Vulkan device: NVIDIA GeForce GTX 650
[11:06:54.141] |I| [renderer::vulkan::VKState::create]: Driver version: 472.98.0.0
[11:06:54.141] |I| [renderer::vulkan::VKState::create]: Memory mapping is enabled
[11:06:54.472] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Mailbox
[11:06:55.062] |W| [compat::load_compat_app_db]: App with title ID PCSG00600 has an issue but no status label. Please check GitHub issue 1210 and request a status label to be added.
[11:06:55.094] |I| [gui::load_app_icon]: Default icon found for App Sound backup neptune, [Sound backup neptune] in path Sound backup neptune.
[11:06:55.763] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[11:07:16.216] |I| [load_app_impl]: cpu-backend: Dynarmic
[11:07:16.217] |I| [load_app_impl]: CPU Optimisation state: true
[11:07:16.217] |I| [load_app_impl]: ngs state: true
[11:07:16.218] |I| [load_app_impl]: Resolution multiplier: 2
[11:07:16.218] |I| [load_app_impl]: 1 Controllers Connected
[11:07:16.219] |I| [load_app_impl]: Controller 0: PS4 Controller
[11:07:16.219] |I| [load_app_impl]: modules mode: Automatic
[11:07:16.219] |I| [load_app_impl]: Title: SteamWorld Heist
[11:07:16.220] |I| [load_app_impl]: Serial: PCSE00583
[11:07:16.220] |I| [load_app_impl]: Version: 1.00
[11:07:16.220] |I| [load_app_impl]: Category: gd
[11:07:16.238] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6FFFFF01...
[11:07:16.239] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000568A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[11:07:16.239] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x000598A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[11:07:16.240] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[11:07:16.242] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4C314
[11:07:16.242] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x414DC
[11:07:16.243] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[11:07:16.254] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6FFFFF01...
[11:07:16.254] |I| [load_self]: Loaded module segment 0 @ [0x0005A000 - 0x00086CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[11:07:16.256] |I| [load_self]: Loaded module segment 1 @ [0x00087000 - 0x0008C255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[11:07:16.257] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[11:07:16.258] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x86BC8
[11:07:16.259] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7DF08
[11:07:16.259] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[11:07:16.267] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6FFFFF01...
[11:07:16.268] |I| [load_self]: Loaded module segment 0 @ [0x0008D000 - 0x000A09BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[11:07:16.269] |I| [load_self]: Loaded module segment 1 @ [0x000A1000 - 0x000A1814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[11:07:16.270] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[11:07:16.271] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9F2E8
[11:07:16.272] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x9C870
[11:07:16.272] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[11:07:16.286] |I| [load_self]: Loaded module segment 0 @ [0x000A2000 - 0x000F2F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[11:07:16.287] |I| [load_self]: Loaded module segment 1 @ [0x000F3000 - 0x000F32F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
