[14:42:10.352] |I| [SDL_main]:  Vita3K v0.1 597-5b97fe1
[14:42:10.652] |I| [init]:  Swap interval = -1
[14:42:12.613] |I| [install_vpk]:  PCSE00949 already installed, launching application...
[14:42:12.614] |I| [load_app_impl]:  Title: STEINS;GATE 0
[14:42:12.614] |I| [load_app_impl]:  Serial: PCSE00949
[14:42:12.615] |I| [load_app_impl]:  Category: gd
[14:42:12.697] |I| [load_self]:  Loading symbols for SELF: app0:sce_module/libc.suprx
[14:42:12.697] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x48314
[14:42:12.698] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3D4DC
[14:42:12.698] |E| [load_var_imports]:  	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x431D0: 0x140
[14:42:12.699] |I| [load_app_impl]:  Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[14:42:12.710] |I| [load_self]:  Loading symbols for SELF: app0:sce_module/libfios2.suprx
[14:42:12.711] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x82BC8
[14:42:12.712] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x79F08
[14:42:12.712] |I| [load_app_impl]:  Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[14:42:12.723] |I| [load_self]:  Loading symbols for SELF: app0:sce_module/libult.suprx
[14:42:12.723] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x9B2E8
[14:42:12.724] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x98870
[14:42:12.724] |E| [load_var_imports]:  	NID NOT FOUND 0x936A5F31 (_pLibPerfCaptureFlagPtr) at 0x990BC: 0x1040
[14:42:12.725] |I| [load_app_impl]:  Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[14:42:12.987] |I| [load_self]:  Loading symbols for SELF: app0:eboot.bin
[14:42:12.987] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x10800C
[14:42:12.988] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x57F3F8
[14:42:12.988] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x15248C
[14:42:12.988] |I| [load_app_impl]:  Main executable Game (eboot.bin) loaded
[14:42:12.993] |D| [run_app]:  Running module_start of library: SceLibc
[14:42:13.001] |T| [open_file]:  sceKernelGetStdin: Opening file tty0: (tty0:)
[14:42:13.002] |T| [open_file]:  sceKernelGetStdout: Opening file tty0: (tty0:)
[14:42:13.002] |T| [open_file]:  sceKernelGetStderr: Opening file tty0: (tty0:)
[14:42:13.010] |I| [run_app]:  Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[14:42:13.011] |D| [run_app]:  Running module_start of library: SceLibFios2
[14:42:13.016] |W| [stubbed_impl]:  Stubbed sceKernelGetProcessId import called. (pid: 0)
[14:42:13.016] |W| [unimplemented_impl]:  Unimplemented sceFiosOverlayGetList02 import called.
[14:42:13.017] |I| [run_app]:  Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[14:42:13.018] |D| [run_app]:  Running module_start of library: SceUlt
[14:42:13.022] |E| [call_import]:  Import function for NID 0x50F2F2AA not found (thread ID: 36)
[14:42:13.022] |I| [run_app]:  Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[14:42:13.024] |T| [open_file]:  sceKernelLoadStartModule: Opening file app0:mai_moe/mai.suprx (ux0:/app/PCSE00949/mai_moe/mai.suprx)
[14:42:13.025] |T| [seek_file]:  sceKernelLoadStartModule: Seeking file: fd: 0x3 at offset: 0x0, whence: SCE_SEEK_END
[14:42:13.026] |T| [seek_file]:  sceKernelLoadStartModule: Seeking file: fd: 0x3 at offset: 0x0, whence: SCE_SEEK_SET
[14:42:13.026] |T| [read_file]:  sceKernelLoadStartModule: Reading file: fd: 0x3, size: 87866
[14:42:13.032] |I| [load_self]:  Loading symbols for SELF: app0:mai_moe/mai.suprx
[14:42:13.033] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x20F97E4
[14:42:13.033] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x20F9840
[14:42:13.033] |T| [close_file]:  sceKernelLoadStartModule: Closing file: fd: 0x3
