[07:15:03.100] |I| [config::init_config]: input-vpk-path: games\PCSE00949_SteinsGate0.zip
[07:15:03.102] |I| [config::init_config]: backend-renderer: OpenGL
[07:15:03.102] |I| [config::init_config]: log-level: 0
[07:15:03.103] |I| [SDL_main]: Vita3K v0.1 1315-5b070aac
[07:15:03.495] |I| [renderer::gl::create]: Swap interval = -1
[07:15:03.497] |I| [renderer::gl::create]: GPU = AMD Radeon HD 6700 Series
[07:15:03.497] |I| [renderer::gl::create]: GL_VERSION = 4.5.13399 Core Profile Context 15.200.1062.1004
[07:15:03.497] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.40
[07:15:03.498] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[07:15:03.498] |W| [renderer::gl::create]: Consider updating to GPU that has shader interlock.
[07:15:03.596] |I| [gui::init_icons]: Default icon found for title PETTANKO0, Pettanko Test.
[07:15:03.599] |I| [gui::init_icons]: Default icon found for title VITA2DTST, vita2dsample.
[07:15:03.601] |I| [gui::init_icons]: Default icon found for title VITATESTR, VitaTester.
[07:15:03.602] |I| [gui::init_icons]: Default icon found for title VSDK01337, SoLoud example.
[07:15:03.603] |I| [gui::init_icons]: Default icon found for title WF0000000, Test.
[07:15:03.604] |I| [gui::init_icons]: Default icon found for title WF0000011, Test.
[07:15:03.605] |I| [gui::init_icons]: Default icon found for title WF0000099, Tank test.
[07:15:07.501] |I| [install_vpk]: PCSE00949 already installed, launching application...
[07:15:07.502] |I| [load_app_impl]: Title: STEINS;GATE 0
[07:15:07.502] |I| [load_app_impl]: Serial: PCSE00949
[07:15:07.503] |I| [load_app_impl]: Version: 01.00
[07:15:07.503] |I| [load_app_impl]: Category: gd
[07:15:07.603] |I| [load_self]: Loaded module segment 0 @ [0x00001000 - 0x000528A4] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[07:15:07.604] |I| [load_self]: Loaded module segment 1 @ [0x00053000 - 0x000558A0] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[07:15:07.605] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[07:15:07.605] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x48314
[07:15:07.605] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3D4DC
[07:15:07.606] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x4163C, setting to stub value 0xDEADBEEF
[07:15:07.606] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x431D0, setting to stub value 0xDEADBEEF
[07:15:07.606] |I| [load_app_impl]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[07:15:07.654] |I| [load_self]: Loaded module segment 0 @ [0x00058000 - 0x00084CBF] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[07:15:07.656] |I| [load_self]: Loaded module segment 1 @ [0x00085000 - 0x0008A255] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[07:15:07.656] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[07:15:07.656] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x84BC8
[07:15:07.657] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7BF08
[07:15:07.657] |I| [load_app_impl]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[07:15:07.708] |I| [load_self]: Loaded module segment 0 @ [0x0008B000 - 0x0009E9BC] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[07:15:07.709] |I| [load_self]: Loaded module segment 1 @ [0x0009F000 - 0x0009F814] (size: 0x00000814) of module app0:sce_module/libult.suprx
[07:15:07.709] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[07:15:07.710] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9D2E8
[07:15:07.710] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x9A870
[07:15:07.710] |W| [load_var_imports]: 	NID NOT FOUND 0x936A5F31 (_pLibPerfCaptureFlagPtr) at 0x9B0BC, setting to stub value 0xDEADBEEF
[07:15:07.711] |I| [load_app_impl]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[07:15:07.948] |I| [load_self]: Loaded module segment 0 @ [0x000A1000 - 0x00167BA0] (size: 0x000C6BA0) of module app0:eboot.bin
[07:15:07.948] |I| [load_self]: Loaded module segment 1 @ [0x00168000 - 0x01CB7B48] (size: 0x01B4FB48) of module app0:eboot.bin
[07:15:07.949] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[07:15:07.949] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x10B00C
