[17:27:28.819] |I| [config::init_config]: backend-renderer: OpenGL
[17:27:28.821] |I| [config::init_config]: log-level: 0
[17:27:28.950] |I| [SDL_main]: Vita3K v0.1.4 2457-931bbe41
[17:27:28.950] |I| [SDL_main]: Number of logical CPU cores: 8
[17:27:28.951] |I| [SDL_main]: Available ram memory: 32652 mo
[17:27:29.320] |I| [renderer::gl::create]: Swap interval = -1
[17:27:29.326] |I| [renderer::gl::create]: GPU = NVIDIA GeForce GTX 1050/PCIe/SSE2
[17:27:29.327] |I| [renderer::gl::create]: GL_VERSION = 4.5.0 NVIDIA 511.65
[17:27:29.328] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.50 NVIDIA
[17:27:29.330] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[17:27:29.332] |W| [gui::init_font]: Could not find firmware font file at "C:/Users/s_lam/AppData/Roaming/Vita3K/Vita3K/sa0/data/font/pvf\ltn0.pvf", install firmware fonts package to fix this.
[17:27:29.404] |I| [gui::init_font]: Using default Vita3K font.
[17:27:30.720] |I| [gui::init_theme]: Default icon found for system App NPXS10003.
[17:27:30.730] |I| [gui::init_theme]: Default icon found for system App NPXS10008.
[17:27:30.732] |I| [gui::init_theme]: Default icon found for system App NPXS10015.
[17:27:30.733] |I| [gui::init_theme]: Default icon found for system App NPXS10026.
[17:27:30.743] |W| [gui::init_theme_start_background]: Default start background not found, install firmware for fix this.
[17:27:40.432] |I| [load_app_impl]: cpu-backend: Dynarmic
[17:27:40.433] |I| [load_app_impl]: CPU Optimisation state: true
[17:27:40.433] |I| [load_app_impl]: at9 audio decoder state: true
[17:27:40.434] |I| [load_app_impl]: ngs experimental state: true
[17:27:40.434] |I| [load_app_impl]: video player state: true
[17:27:40.438] |I| [load_app_impl]: 1 Controllers Connected
[17:27:40.438] |I| [load_app_impl]: Controller 0: Xbox 360 Controller
[17:27:40.438] |I| [load_app_impl]: modules mode: Automatic
[17:27:40.438] |I| [load_app_impl]: Title: Superfrog
[17:27:40.439] |I| [load_app_impl]: Serial: PCSB00305
[17:27:40.439] |I| [load_app_impl]: Version: 1.00
[17:27:40.440] |I| [load_app_impl]: Category: gd
[17:27:40.459] |C| [load_self]: Unknown segment type 0x6FFFFF01
[17:27:40.459] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000514B0 / 0x81000000] (size: 0x0004A4B0) of module app0:sce_module/libc.suprx
[17:27:40.461] |I| [load_self]: Loaded module segment 1 @ [0x00052000 - 0x000546F4 / 0x8104B000] (size: 0x000026F4) of module app0:sce_module/libc.suprx
