[00:02:05.197] |C| [handle_access_violation]: Unhandled write protected region was valid. Address=0x10
[00:02:06.953] |C| [export___stack_chk_fail]: Stack corruption on TID: 266
[00:02:06.954] |C| [logging::exception_handler]: Exception EXCEPTION_ACCESS_VIOLATION (0xc0000005). 
[00:02:06.954] |C| [logging::exception_handler]: Read violation at address 0x480028199.
[00:02:06.984] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:06.985] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:06.985] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:06.985] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:06.985] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:06.985] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:06.985] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:06.985] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:06.985] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:06.985] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:06.986] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:06.986] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:06.986] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:06.986] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:06.986] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:06.986] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:06.986] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.005] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.005] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.005] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.005] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.005] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.006] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.006] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.006] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.006] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.006] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.007] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.007] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.007] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.008] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.008] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.009] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.009] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.009] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.010] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.010] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.010] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.011] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.011] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.012] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.012] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
