[19:17:13.956] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[19:17:13.974] |I| [config::init_config]: backend-renderer: Vulkan
[19:17:13.974] |I| [config::init_config]: log-level: 0
[19:17:14.001] |I| [SDL_main]: Vita3K v0.1.8 3228-12224d7c
[19:17:14.001] |I| [SDL_main]: Number of logical CPU cores: 4
[19:17:14.002] |I| [SDL_main]: Available ram memory: 16312 MiB
[19:17:14.508] |I| [renderer::vulkan::VKState::create]: Vulkan device: AMD Radeon HD 8500M
[19:17:14.509] |I| [renderer::vulkan::VKState::create]: Driver version: 2.0.179
[19:17:14.509] |I| [renderer::vulkan::VKState::create]: Memory mapping is enabled
[19:17:14.531] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: FifoRelaxed
[19:17:15.705] |W| [compat::load_compat_app_db]: App with Title ID PCSE01348 has an issue but no status label. Please check GitHub issue 1704 and request a status label be added.
[19:17:15.706] |W| [compat::load_compat_app_db]: App with Title ID PCSE00640 has an issue but no status label. Please check GitHub issue 1678 and request a status label be added.
[19:17:15.706] |W| [compat::load_compat_app_db]: App with Title ID PCSA00158 has an issue but no status label. Please check GitHub issue 1659 and request a status label be added.
[19:17:15.706] |W| [compat::load_compat_app_db]: App with Title ID PCSA00133 has an issue but no status label. Please check GitHub issue 1649 and request a status label be added.
[19:17:16.099] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[19:17:21.165] |I| [load_app_impl]: cpu-backend: Dynarmic
[19:17:21.165] |I| [load_app_impl]: CPU Optimisation state: true
[19:17:21.165] |I| [load_app_impl]: ngs state: true
[19:17:21.165] |I| [load_app_impl]: Resolution multiplier: 1
[19:17:21.165] |I| [load_app_impl]: modules mode: Automatic
[19:17:21.165] |I| [load_app_impl]: Title: TOKYOヤマノテBOYS for V MAIN DISC
[19:17:21.166] |I| [load_app_impl]: Serial: PCSG01048
[19:17:21.166] |I| [load_app_impl]: Version: 1.00
[19:17:21.166] |I| [load_app_impl]: Category: gd
[19:17:21.285] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[19:17:21.285] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000568A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[19:17:21.286] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x000598A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[19:17:21.287] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[19:17:21.288] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4c314
[19:17:21.288] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x414dc
[19:17:21.288] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[19:17:21.327] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[19:17:21.328] |I| [load_self]: Loaded module segment 0 @ [0x0005A000 - 0x00086CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[19:17:21.328] |I| [load_self]: Loaded module segment 1 @ [0x00087000 - 0x0008C255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[19:17:21.329] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[19:17:21.330] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x86bc8
[19:17:21.330] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x7df08
[19:17:21.331] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[19:17:21.369] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6fffff01...
[19:17:21.370] |I| [load_self]: Loaded module segment 0 @ [0x0008D000 - 0x000A09BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[19:17:21.371] |I| [load_self]: Loaded module segment 1 @ [0x000A1000 - 0x000A1814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[19:17:21.371] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
