[12:23:53.718] |I| [config::init_config]: backend-renderer: OpenGL
[12:23:53.718] |I| [config::init_config]: log-level: 0
[12:23:53.794] |I| [SDL_main]: Vita3K v0.1 1776-146fd1c2
[12:23:54.040] |I| [renderer::gl::create]: Swap interval = -1
[12:23:54.041] |I| [renderer::gl::create]: GPU = AMD Radeon RX 5700 XT
[12:23:54.041] |I| [renderer::gl::create]: GL_VERSION = 4.5.14757 Core Profile Context 20.11.2 27.20.14501.18003
[12:23:54.042] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[12:23:54.042] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[12:23:54.042] |W| [renderer::gl::create]: Consider updating to GPU that has shader interlock.
[12:24:01.973] |I| [load_app_impl]: ngs experimental state: false
[12:24:01.973] |I| [load_app_impl]: Title: アイドルマスター マストソングス 赤盤 
[12:24:01.975] |I| [load_app_impl]: Serial: PCSG00677
[12:24:01.975] |I| [load_app_impl]: Version: 01.00
[12:24:01.975] |I| [load_app_impl]: Category: gd
[12:24:01.988] |C| [load_self]: Unknown segment type 0x6FFFFF01
[12:24:01.988] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x00055814 / 0x81000000] (size: 0x00051814) of module app0:sce_module/libc.suprx
[12:24:01.989] |I| [load_self]: Loaded module segment 1 @ [0x00056000 - 0x000588A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[12:24:01.989] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[12:24:01.990] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4B284
[12:24:01.990] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x4044C
[12:24:01.991] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x445AC, setting to stub value 0xDEADBEEF
[12:24:01.991] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x46140, setting to stub value 0xDEADBEEF
