[02:43:02.393] |I| [config::init_config]: backend-renderer: OpenGL
[02:43:02.395] |I| [config::init_config]: log-level: 0
[02:43:02.497] |I| [SDL_main]: Vita3K v0.1.5 2627-a31fd85c
[02:43:02.497] |I| [SDL_main]: Number of logical CPU cores: 8
[02:43:02.498] |I| [SDL_main]: Available ram memory: 16215 mo
[02:43:02.940] |I| [renderer::gl::create]: Swap interval = -1
[02:43:02.945] |I| [renderer::gl::create]: GPU = NVIDIA GeForce RTX 3060 Laptop GPU/PCIe/SSE2
[02:43:02.946] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 NVIDIA 512.15
[02:43:02.946] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 NVIDIA
[02:43:02.957] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[02:43:10.661] |I| [load_app_impl]: cpu-backend: Dynarmic
[02:43:10.662] |I| [load_app_impl]: CPU Optimisation state: true
[02:43:10.662] |I| [load_app_impl]: ngs state: true
[02:43:10.662] |I| [load_app_impl]: modules mode: Automatic
[02:43:10.663] |I| [load_app_impl]: Title: Total Recoil
[02:43:10.663] |I| [load_app_impl]: Serial: PCSB00355
[02:43:10.663] |I| [load_app_impl]: Version: 1.00
[02:43:10.663] |I| [load_app_impl]: Category: gd
[02:43:10.684] |C| [load_self]: Unknown segment type 0x6FFFFF01
[02:43:10.684] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000514B0 / 0x81000000] (size: 0x0004A4B0) of module app0:sce_module/libc.suprx
[02:43:10.686] |I| [load_self]: Loaded module segment 1 @ [0x00052000 - 0x000546F4 / 0x8104B000] (size: 0x000026F4) of module app0:sce_module/libc.suprx
[02:43:10.686] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[02:43:10.687] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3DF30
[02:43:10.687] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x41DF0, setting to stub value 0xDEADBEEF
[02:43:10.689] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x434A4, setting to stub value 0xDEADBEEF
[02:43:10.690] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[02:43:10.701] |C| [load_self]: Unknown segment type 0x6FFFFF01
[02:43:10.702] |I| [load_self]: Loaded module segment 0 @ [0x00057000 - 0x0007B22C / 0x81000000] (size: 0x0002422C) of module app0:sce_module/libfios2.suprx
[02:43:10.707] |I| [load_self]: Loaded module segment 1 @ [0x0007C000 - 0x000811A4 / 0x81025000] (size: 0x000051A4) of module app0:sce_module/libfios2.suprx
[02:43:10.709] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[02:43:10.709] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x73B70
[02:43:10.710] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[02:43:10.718] |C| [load_self]: Unknown segment type 0x6FFFFF01
[02:43:10.718] |I| [load_self]: Loaded module segment 0 @ [0x00082000 - 0x00096144 / 0x81000000] (size: 0x00014144) of module app0:sce_module/libult.suprx
[02:43:10.724] |I| [load_self]: Loaded module segment 1 @ [0x00097000 - 0x00097814 / 0x81015000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[02:43:10.725] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[02:43:10.726] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x921CC
[02:43:10.727] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[02:43:10.743] |I| [load_self]: Loaded module segment 0 @ [0x00098000 - 0x000E8F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[02:43:10.745] |I| [load_self]: Loaded module segment 1 @ [0x000E9000 - 0x000E92F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[02:43:10.753] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[02:43:10.756] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xD47DC
[02:43:10.756] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xD3F10
[02:43:10.757] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[02:43:10.763] |I| [load_self]: Loaded module segment 0 @ [0x000EA000 - 0x000F9F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[02:43:10.764] |I| [load_self]: Loaded module segment 1 @ [0x000FA000 - 0x000FA008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[02:43:10.768] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[02:43:10.769] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xF8710
[02:43:10.770] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xF8300
[02:43:10.771] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[02:43:10.830] |C| [load_self]: Unknown segment type 0x6FFFFF01
[02:43:10.831] |I| [load_self]: Loaded module segment 0 @ [0x81000000 - 0x81135FF0 / 0x81000000] (size: 0x00135FF0) of module app0:eboot.bin
[02:43:10.832] |I| [load_self]: Loaded module segment 1 @ [0x81136000 - 0x8123A97C / 0x81136000] (size: 0x0010497C) of module app0:eboot.bin
[02:43:10.835] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[02:43:10.837] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x8110F47C
[02:43:10.838] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x81136888
[02:43:10.839] |I| [load_app_impl]: Main executable Squaddies (eboot.bin) loaded
[02:43:10.857] |D| [run_app]: Running module_start of library: SceLibc at address 0x77F1
[02:43:10.881] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[02:43:10.882] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[02:43:10.888] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[02:43:10.901] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[02:43:10.908] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x57001
[02:43:10.924] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[02:43:10.925] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[02:43:10.926] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[02:43:10.935] |D| [run_app]: Running module_start of library: SceUlt at address 0x8584D
