[15:46:06.106] |I| [config::init_config]: backend-renderer: Vulkan
[15:46:06.107] |I| [config::init_config]: log-level: 0
[15:46:06.359] |I| [SDL_main]: Vita3K v0.1.6 3091-e3956248
[15:46:06.363] |I| [SDL_main]: Number of logical CPU cores: 32
[15:46:06.363] |I| [SDL_main]: Available ram memory: 32648 MiB
[15:46:06.469] |I| [renderer::vulkan::VKState::create]: Vulkan device: NVIDIA GeForce RTX 3060 Ti
[15:46:06.469] |I| [renderer::vulkan::VKState::create]: Driver version: 531.41.0.0
[15:46:06.470] |I| [renderer::vulkan::VKState::create]: Memory mapping is enabled
[15:46:06.808] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Mailbox
[15:46:07.731] |I| [gui::load_app_icon]: Default icon found for App RETROVITA, [RETROVITA] in path RETROVITA.
[15:46:07.732] |I| [gui::load_app_icon]: Default icon found for App SMLA00002, [SMLA00002] in path SMLA00002.
[15:46:07.733] |I| [gui::load_app_icon]: Default icon found for App VITATESTR, [VitaTester] in path VITATESTR.
[15:46:07.832] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[15:46:08.806] |I| [load_app_impl]: cpu-backend: Dynarmic
[15:46:08.806] |I| [load_app_impl]: CPU Optimisation state: true
[15:46:08.806] |I| [load_app_impl]: ngs state: true
[15:46:08.806] |I| [load_app_impl]: Resolution multiplier: 5
[15:46:08.808] |I| [load_app_impl]: 1 Controllers Connected
[15:46:08.808] |I| [load_app_impl]: Controller 0: PS4 Controller
[15:46:08.808] |I| [load_app_impl]: modules mode: Automatic
[15:46:08.808] |I| [load_app_impl]: Title: 東方紅舞闘Ｖ
[15:46:08.809] |I| [load_app_impl]: Serial: PCSG00999
[15:46:08.809] |I| [load_app_impl]: Version: 1.00
[15:46:08.809] |I| [load_app_impl]: Category: gd
[15:46:08.819] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6FFFFF01...
[15:46:08.819] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000568A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[15:46:08.819] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x000598A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[15:46:08.819] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[15:46:08.819] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4C314
[15:46:08.820] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x414DC
[15:46:08.820] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[15:46:08.826] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6FFFFF01...
[15:46:08.826] |I| [load_self]: Loaded module segment 0 @ [0x0005A000 - 0x00086CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[15:46:08.827] |I| [load_self]: Loaded module segment 1 @ [0x00087000 - 0x0008C255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[15:46:08.828] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[15:46:08.828] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x86BC8
[15:46:08.829] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7DF08
[15:46:08.829] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[15:46:08.833] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6FFFFF01...
[15:46:08.833] |I| [load_self]: Loaded module segment 0 @ [0x0008D000 - 0x000A09BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[15:46:08.834] |I| [load_self]: Loaded module segment 1 @ [0x000A1000 - 0x000A1814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[15:46:08.837] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
