[03:03:04.326] |I| [load_app_impl]: cpu-backend: Dynarmic
[03:03:04.326] |I| [load_app_impl]: CPU Optimisation state: true
[03:03:04.326] |I| [load_app_impl]: ngs state: true
[03:03:04.326] |I| [load_app_impl]: Resolution multiplier: 1
[03:03:04.379] |I| [load_app_impl]: 1 Controllers Connected
[03:03:04.379] |I| [load_app_impl]: Controller 0: PS1 Controller
[03:03:04.379] |I| [load_app_impl]: modules mode: Automatic
[03:03:04.379] |I| [load_app_impl]: Title: Toukiden: Kiwami
[03:03:04.379] |I| [load_app_impl]: Serial: PCSE00467
[03:03:04.379] |I| [load_app_impl]: Version: 1.00
[03:03:04.379] |I| [load_app_impl]: Category: gd
[03:03:04.394] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[03:03:04.394] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x00054BD4 / 0x81000000] (size: 0x0004FBD4) of module app0:sce_module/libc.suprx
[03:03:04.394] |I| [load_self]: Loaded module segment 1 @ [0x00055000 - 0x00057688 / 0x81050000] (size: 0x00002688) of module app0:sce_module/libc.suprx
[03:03:04.394] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[03:03:04.394] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4a6c4
[03:03:04.394] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x40488
[03:03:04.395] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[03:03:04.403] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[03:03:04.403] |I| [load_self]: Loaded module segment 0 @ [0x00058000 - 0x00082AA8 / 0x81000000] (size: 0x0002AAA8) of module app0:sce_module/libfios2.suprx
[03:03:04.407] |I| [load_self]: Loaded module segment 1 @ [0x00083000 - 0x0008823D / 0x8102B000] (size: 0x0000523D) of module app0:sce_module/libfios2.suprx
[03:03:04.411] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[03:03:04.412] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x829b0
[03:03:04.412] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x7a138
[03:03:04.412] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[03:03:04.417] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6fffff01...
[03:03:04.418] |I| [load_self]: Loaded module segment 0 @ [0x00089000 - 0x0009C9C4 / 0x81000000] (size: 0x000139C4) of module app0:sce_module/libult.suprx
[03:03:04.421] |I| [load_self]: Loaded module segment 1 @ [0x0009D000 - 0x0009D814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[03:03:04.422] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[03:03:04.422] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x9b2f0
[03:03:04.422] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x98874
[03:03:04.423] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[03:03:04.433] |I| [load_self]: Loaded module segment 0 @ [0x0009E000 - 0x000EEF04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
