[15:26:59.493] |I| [config::init_config]: backend-renderer: Vulkan
[15:26:59.498] |I| [config::init_config]: log-level: 0
[15:27:00.453] |I| [SDL_main]: Vita3K v0.1.6 3091-e3956248
[15:27:00.455] |I| [SDL_main]: Number of logical CPU cores: 2
[15:27:00.462] |I| [SDL_main]: Available ram memory: 3959 MiB
[15:27:01.433] |I| [renderer::vulkan::VKState::create]: Enabling vulkan validation layers (has a performance impact but allows better error messages)
[15:27:02.306] |I| [renderer::vulkan::VKState::create]: Vulkan device: Intel(R) HD Graphics 500
[15:27:02.319] |I| [renderer::vulkan::VKState::create]: Driver version: 101.2111
[15:27:02.327] |I| [renderer::vulkan::VKState::create]: Memory mapping is enabled
[15:27:02.469] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Fifo
[15:27:06.041] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[15:27:23.190] |I| [load_app_impl]: cpu-backend: Dynarmic
[15:27:23.191] |I| [load_app_impl]: CPU Optimisation state: true
[15:27:23.194] |I| [load_app_impl]: ngs state: true
[15:27:23.195] |I| [load_app_impl]: Resolution multiplier: 1
[15:27:23.197] |I| [load_app_impl]: modules mode: Automatic
[15:27:23.199] |I| [load_app_impl]: Title: Uncanny Valley
[15:27:23.203] |I| [load_app_impl]: Serial: PCSE00822
[15:27:23.204] |I| [load_app_impl]: Version: 1.00
[15:27:23.206] |I| [load_app_impl]: Category: gd
[15:27:23.273] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6FFFFF01...
[15:27:23.274] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000568A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[15:27:23.277] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x000598A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[15:27:23.279] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[15:27:23.281] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4C314
[15:27:23.282] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x414DC
