[23:10:51.826] |I| [config::init_config]: backend-renderer: OpenGL
[23:10:51.827] |I| [config::init_config]: log-level: 0
[23:10:51.907] |I| [SDL_main]: Vita3K v0.1.5 2680-6dd6576d
[23:10:51.907] |I| [SDL_main]: Number of logical CPU cores: 8
[23:10:51.907] |I| [SDL_main]: Available ram memory: 16215 mo
[23:10:52.612] |I| [renderer::gl::create]: Swap interval = -1
[23:10:52.669] |I| [renderer::gl::create]: GPU = NVIDIA GeForce RTX 3060 Laptop GPU/PCIe/SSE2
[23:10:52.670] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 NVIDIA 512.15
[23:10:52.670] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 NVIDIA
[23:10:52.670] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[23:10:56.919] |I| [load_app_impl]: cpu-backend: Dynarmic
[23:10:56.919] |I| [load_app_impl]: CPU Optimisation state: true
[23:10:56.919] |I| [load_app_impl]: ngs state: true
[23:10:56.919] |I| [load_app_impl]: Resolution multiplier: 1
[23:10:56.919] |I| [load_app_impl]: modules mode: Automatic
[23:10:56.919] |I| [load_app_impl]: Title: Undertale
[23:10:56.919] |I| [load_app_impl]: Serial: PCSB01157
[23:10:56.920] |I| [load_app_impl]: Version: 1.00
[23:10:56.920] |I| [load_app_impl]: Category: gd
[23:10:56.934] |C| [load_self]: Unknown segment type 0x6FFFFF01
[23:10:56.935] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x0005891C / 0x81000000] (size: 0x0005191C) of module app0:sce_module/libc.suprx
[23:10:56.935] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[23:10:56.935] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[23:10:56.935] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E38C
[23:10:56.935] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x43550
[23:10:56.936] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x476B0, setting to stub value 0xDEADBEEF
[23:10:56.936] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x49244, setting to stub value 0xDEADBEEF
[23:10:56.938] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[23:10:56.946] |C| [load_self]: Unknown segment type 0x6FFFFF01
[23:10:56.948] |I| [load_self]: Loaded module segment 0 @ [0x0005E000 - 0x0008ACBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[23:10:56.949] |I| [load_self]: Loaded module segment 1 @ [0x0008B000 - 0x00090255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[23:10:56.950] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[23:10:56.951] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x8ABC8
[23:10:56.951] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x81F08
[23:10:56.951] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[23:10:56.957] |C| [load_self]: Unknown segment type 0x6FFFFF01
[23:10:56.957] |I| [load_self]: Loaded module segment 0 @ [0x00091000 - 0x000A49BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[23:10:56.957] |I| [load_self]: Loaded module segment 1 @ [0x000A5000 - 0x000A5814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[23:10:56.958] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[23:10:56.959] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xA32E8
