[15:21:37.181] |I| [config::init_config]: backend-renderer: OpenGL
[15:21:37.186] |I| [config::init_config]: log-level: 0
[15:21:37.250] |I| [SDL_main]: Vita3K v0.1.5 2663-e8151664
[15:21:37.250] |I| [SDL_main]: Number of logical CPU cores: 16
[15:21:37.250] |I| [SDL_main]: Available ram memory: 14198 mo
[15:21:37.616] |I| [renderer::gl::create]: Swap interval = 0
[15:21:37.617] |I| [renderer::gl::create]: GPU = AMD Radeon(TM) Graphics
[15:21:37.617] |I| [renderer::gl::create]: GL_VERSION = 4.6.14761 Core Profile Context 21.10.2 30.0.13025.5005
[15:21:37.617] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[15:21:37.617] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[15:21:37.618] |W| [renderer::gl::create]: Consider updating to GPU that has shader interlock.
[15:21:38.181] |W| [gui::set_notice_info]: Content not found for id: JP0048-PCSG00057_00-ORGARHYTHM000000, in path: app\PCSG00057
[15:22:10.650] |I| [load_app_impl]: cpu-backend: Dynarmic
[15:22:10.650] |I| [load_app_impl]: CPU Optimisation state: true
[15:22:10.650] |I| [load_app_impl]: ngs state: true
[15:22:10.651] |I| [load_app_impl]: Resolution multiplier: 2
[15:22:10.653] |I| [load_app_impl]: 1 Controllers Connected
[15:22:10.653] |I| [load_app_impl]: Controller 0: Controller (Gamepad F310)
[15:22:10.653] |I| [load_app_impl]: modules mode: Automatic
[15:22:10.653] |I| [load_app_impl]: Title: Undertale
[15:22:10.653] |I| [load_app_impl]: Serial: PCSE01116
[15:22:10.653] |I| [load_app_impl]: Version: 1.00
[15:22:10.653] |I| [load_app_impl]: Category: gd
[15:22:10.666] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x0005891C / 0x81000000] (size: 0x0005191C) of module app0:sce_module/libc.suprx
[15:22:10.667] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[15:22:10.667] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[15:22:10.667] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E38C
[15:22:10.667] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x43550
[15:22:10.668] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x476B0, setting to stub value 0xDEADBEEF
[15:22:10.669] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x49244, setting to stub value 0xDEADBEEF
[15:22:10.669] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[15:22:10.678] |I| [load_self]: Loaded module segment 0 @ [0x0005E000 - 0x0008ACBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[15:22:10.678] |I| [load_self]: Loaded module segment 1 @ [0x0008B000 - 0x00090255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
