[10:11:09.299] |I| [config::init_config]: backend-renderer: OpenGL
[10:11:09.302] |I| [config::init_config]: log-level: 0
[10:11:09.468] |I| [SDL_main]: Vita3K v0.1.5 2619-37c9be46
[10:11:09.469] |I| [SDL_main]: Number of logical CPU cores: 2
[10:11:09.471] |I| [SDL_main]: Available ram memory: 3959 mo
[10:11:09.796] |I| [renderer::gl::create]: Swap interval = 1
[10:11:09.799] |I| [renderer::gl::create]: GPU = Intel(R) HD Graphics 500
[10:11:09.800] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 - Build 30.0.101.1960
[10:11:09.801] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 - Build 30.0.101.1960
[10:11:09.803] |I| [renderer::gl::create]: Your GPU supports direct access to last fragment color. Your performance with programmable blending games will be optimized.
[10:12:08.167] |I| [load_app_impl]: cpu-backend: Dynarmic
[10:12:08.168] |I| [load_app_impl]: CPU Optimisation state: true
[10:12:08.170] |I| [load_app_impl]: at9 audio decoder state: true
[10:12:08.172] |I| [load_app_impl]: ngs experimental state: true
[10:12:08.173] |I| [load_app_impl]: modules mode: Automatic
[10:12:08.175] |I| [load_app_impl]: Title: Unepic
[10:12:08.176] |I| [load_app_impl]: Serial: PCSB00841
[10:12:08.177] |I| [load_app_impl]: Version: 1.00
[10:12:08.179] |I| [load_app_impl]: Category: gd
[10:12:08.220] |C| [load_self]: Unknown segment type 0x6FFFFF01
[10:12:08.221] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000588A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[10:12:08.224] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[10:12:08.226] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[10:12:08.228] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E314
[10:12:08.229] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x434DC
[10:12:08.231] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x4763C, setting to stub value 0xDEADBEEF
[10:12:08.236] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x491D0, setting to stub value 0xDEADBEEF
[10:12:08.241] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[10:12:08.264] |C| [load_self]: Unknown segment type 0x6FFFFF01
[10:12:08.265] |I| [load_self]: Loaded module segment 0 @ [0x0005E000 - 0x0008ACBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[10:12:08.268] |I| [load_self]: Loaded module segment 1 @ [0x0008B000 - 0x00090255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[10:12:08.272] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[10:12:08.274] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x8ABC8
[10:12:08.275] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x81F08
[10:12:08.278] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[10:12:08.292] |C| [load_self]: Unknown segment type 0x6FFFFF01
[10:12:08.293] |I| [load_self]: Loaded module segment 0 @ [0x00091000 - 0x000A49BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[10:12:08.297] |I| [load_self]: Loaded module segment 1 @ [0x000A5000 - 0x000A5814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[10:12:08.299] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[10:12:08.301] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xA32E8
[10:12:08.304] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xA0870
[10:12:08.306] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[10:12:08.341] |I| [load_self]: Loaded module segment 0 @ [0x000A6000 - 0x000F6F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[10:12:08.344] |I| [load_self]: Loaded module segment 1 @ [0x000F7000 - 0x000F72F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[10:12:08.348] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[10:12:08.350] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xE27DC
[10:12:08.350] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xE1F10
[10:12:08.352] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[10:12:08.368] |I| [load_self]: Loaded module segment 0 @ [0x000F8000 - 0x00107F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[10:12:08.373] |I| [load_self]: Loaded module segment 1 @ [0x00108000 - 0x00108008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
