[10:24:17.986] |I| [config::init_config]: backend-renderer: OpenGL
[10:24:17.987] |I| [config::init_config]: log-level: 0
[10:24:18.071] |I| [SDL_main]: Vita3K v0.1 1776-146fd1c2
[10:24:18.412] |I| [renderer::gl::create]: Swap interval = -1
[10:24:18.413] |I| [renderer::gl::create]: GPU = AMD Radeon RX 5700 XT
[10:24:18.413] |I| [renderer::gl::create]: GL_VERSION = 4.5.14757 Core Profile Context 20.11.2 27.20.14501.18003
[10:24:18.414] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[10:24:18.414] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[10:24:18.414] |W| [renderer::gl::create]: Consider updating to GPU that has shader interlock.
[10:24:37.038] |I| [load_app_impl]: ngs experimental state: false
[10:24:37.039] |I| [load_app_impl]: Title: Unepic
[10:24:37.039] |I| [load_app_impl]: Serial: PCSE00840
[10:24:37.039] |I| [load_app_impl]: Version: 01.00
[10:24:37.039] |I| [load_app_impl]: Category: gd
[10:24:37.052] |C| [load_self]: Unknown segment type 0x6FFFFF01
[10:24:37.052] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x000558A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[10:24:37.052] |I| [load_self]: Loaded module segment 1 @ [0x00056000 - 0x000588A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[10:24:37.053] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[10:24:37.053] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4B314
[10:24:37.053] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x404DC
[10:24:37.054] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x4463C, setting to stub value 0xDEADBEEF
[10:24:37.054] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x461D0, setting to stub value 0xDEADBEEF
[10:24:37.054] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[10:24:37.062] |C| [load_self]: Unknown segment type 0x6FFFFF01
[10:24:37.062] |I| [load_self]: Loaded module segment 0 @ [0x0005B000 - 0x00087CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[10:24:37.062] |I| [load_self]: Loaded module segment 1 @ [0x00088000 - 0x0008D255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[10:24:37.063] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
