[14:10:25.151] |I| [config::init_config]: backend-renderer: OpenGL
[14:10:25.153] |I| [config::init_config]: log-level: 0
[14:10:25.155] |I| [SDL_main]: Vita3K v0.1 1366-0e17fd18
[14:10:26.052] |I| [renderer::gl::create]: Swap interval = -1
[14:10:26.057] |I| [renderer::gl::create]: GPU = GeForce GTX 1050/PCIe/SSE2
[14:10:26.057] |I| [renderer::gl::create]: GL_VERSION = 4.5.0 NVIDIA 441.87
[14:10:26.057] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.50 NVIDIA
[14:10:26.059] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[14:17:40.337] |I| [load_app_impl]: Title: VA-11 HALL-A
[14:17:40.337] |I| [load_app_impl]: Serial: PCSB01166
[14:17:40.338] |I| [load_app_impl]: Version: 01.00
[14:17:40.338] |I| [load_app_impl]: Category: gd
[14:17:40.355] |C| [load_self]: Unknown segment type 0x6FFFFF01
[14:17:40.355] |I| [load_self]: Loaded module segment 0 @ [0x00001000 - 0x0005291C] (size: 0x0005191C) of module app0:sce_module/libc.suprx
[14:17:40.355] |I| [load_self]: Loaded module segment 1 @ [0x00053000 - 0x000558A0] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[14:17:40.356] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[14:17:40.356] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4838C
[14:17:40.356] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3D550
[14:17:40.357] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x416B0, setting to stub value 0xDEADBEEF
[14:17:40.357] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x43244, setting to stub value 0xDEADBEEF
[14:17:40.357] |I| [load_app_impl]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[14:17:40.367] |C| [load_self]: Unknown segment type 0x6FFFFF01
[14:17:40.368] |I| [load_self]: Loaded module segment 0 @ [0x00058000 - 0x00084CBF] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[14:17:40.368] |I| [load_self]: Loaded module segment 1 @ [0x00085000 - 0x0008A255] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[14:17:40.369] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[14:17:40.370] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x84BC8
[14:17:40.370] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7BF08
[14:17:40.371] |I| [load_app_impl]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[14:17:40.377] |C| [load_self]: Unknown segment type 0x6FFFFF01
[14:17:40.377] |I| [load_self]: Loaded module segment 0 @ [0x0008B000 - 0x0009E9BC] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[14:17:40.378] |I| [load_self]: Loaded module segment 1 @ [0x0009F000 - 0x0009F814] (size: 0x00000814) of module app0:sce_module/libult.suprx
[14:17:40.379] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[14:17:40.380] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9D2E8
[14:17:40.380] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x9A870
[14:17:40.381] |W| [load_var_imports]: 	NID NOT FOUND 0x936A5F31 (_pLibPerfCaptureFlagPtr) at 0x9B0BC, setting to stub value 0xDEADBEEF
[14:17:40.382] |I| [load_app_impl]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[14:17:40.557] |C| [load_self]: Unknown segment type 0x6FFFFF01
[14:17:40.558] |I| [load_self]: Loaded module segment 0 @ [0x000A1000 - 0x003C39CC] (size: 0x003229CC) of module app0:eboot.bin
[14:17:40.559] |I| [load_self]: Loaded module segment 1 @ [0x003C4000 - 0x00834488] (size: 0x00470488) of module app0:eboot.bin
[14:17:40.560] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[14:17:40.561] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x2DE428
[14:17:40.562] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x44DF8C
[14:17:40.562] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x3C0E0C
[14:17:40.563] |I| [load_app_impl]: Main executable PSVitaRunner (eboot.bin) loaded
[14:17:40.571] |D| [run_app]: Running module_start of library: SceLibc at address 0x1871
[14:17:40.581] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[14:17:40.582] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[14:17:40.583] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[14:17:40.591] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[14:17:40.593] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x58001
[14:17:40.599] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[14:17:40.600] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[14:17:40.601] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[14:17:40.603] |D| [run_app]: Running module_start of library: SceUlt at address 0x8E771
[14:17:40.609] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[14:17:40.609] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[14:17:40.633] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[14:17:40.716] |W| [unimplemented_impl]: Unimplemented sceNetCtlInit import called.
[14:17:40.724] |W| [unimplemented_impl]: Unimplemented sceSslInit import called.
[14:17:40.724] |W| [unimplemented_impl]: Unimplemented sceHttpInit import called.
[14:17:40.728] |T| [write_file]: *** TTY: libnetctl event: XXX
[14:17:40.728] |W| [stubbed_impl]: Stubbed sceNetCtlInetGetState import called. (state = SCE_NETCTL_STATE_DISCONNECTED)
[14:17:40.729] |T| [write_file]: *** TTY: PLATFORM_Init!libnetctl event: XXX, state = Disconnected
[14:17:40.730] |T| [write_file]: *** TTY: 
