[23:42:55.841] |I| [SDL_main]:  Vita3K v0.1 647-42cde29
[23:42:56.258] |I| [init]:  Swap interval = -1
[23:44:40.451] |I| [load_app_impl]:  Title: VA-11 HALL-A
[23:44:40.451] |I| [load_app_impl]:  Serial: PCSE00756
[23:44:40.451] |I| [load_app_impl]:  Category: gd
[23:44:40.530] |I| [load_self]:  Loading symbols for SELF: app0:sce_module/libc.suprx
[23:44:40.531] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x4838C
[23:44:40.531] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3D550
[23:44:40.531] |E| [load_var_imports]:  	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x43244: 0x140
[23:44:40.531] |I| [load_app_impl]:  Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[23:44:40.590] |I| [load_self]:  Loading symbols for SELF: app0:sce_module/libfios2.suprx
[23:44:40.590] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x82BC8
[23:44:40.591] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x79F08
[23:44:40.591] |I| [load_app_impl]:  Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[23:44:40.620] |I| [load_self]:  Loading symbols for SELF: app0:sce_module/libult.suprx
[23:44:40.620] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x9B2E8
[23:44:40.620] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x98870
[23:44:40.620] |E| [load_var_imports]:  	NID NOT FOUND 0x936A5F31 (_pLibPerfCaptureFlagPtr) at 0x990BC: 0x1040
[23:44:40.621] |I| [load_app_impl]:  Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[23:44:40.829] |I| [load_self]:  Loading symbols for SELF: app0:eboot.bin
[23:44:40.830] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x81D3DD88
[23:44:40.830] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x81F8AE9C
[23:44:40.830] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x81E2076C
[23:44:40.831] |I| [load_app_impl]:  Main executable PSVitaRunner (eboot.bin) loaded
[23:44:40.841] |D| [run_app]:  Running module_start of library: SceLibc
