[21:23:07.287] |I| [config::init_config]: backend-renderer: OpenGL
[21:23:07.290] |I| [config::init_config]: log-level: 0
[21:23:07.559] |I| [SDL_main]: Vita3K v0.1.5 2596-50f12efe
[21:23:07.560] |I| [SDL_main]: Number of logical CPU cores: 2
[21:23:07.561] |I| [SDL_main]: Available ram memory: 3959 mo
[21:23:08.396] |I| [renderer::gl::create]: Swap interval = 1
[21:23:08.399] |I| [renderer::gl::create]: GPU = Intel(R) HD Graphics 500
[21:23:08.399] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 - Build 30.0.101.1960
[21:23:08.400] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 - Build 30.0.101.1960
[21:23:08.400] |I| [renderer::gl::create]: Your GPU supports direct access to last fragment color. Your performance with programmable blending games will be optimized.
[21:23:27.949] |I| [load_app_impl]: cpu-backend: Dynarmic
[21:23:28.008] |I| [load_app_impl]: CPU Optimisation state: true
[21:23:28.009] |I| [load_app_impl]: at9 audio decoder state: true
[21:23:28.009] |I| [load_app_impl]: ngs experimental state: true
[21:23:28.009] |I| [load_app_impl]: modules mode: Automatic
[21:23:28.009] |I| [load_app_impl]: Title: VVVVVV
[21:23:28.009] |I| [load_app_impl]: Serial: PCSB00810
[21:23:28.009] |I| [load_app_impl]: Version: 1.00
[21:23:28.010] |I| [load_app_impl]: Category: gd
[21:23:28.080] |C| [load_self]: Unknown segment type 0x6FFFFF01
[21:23:28.143] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x00058814 / 0x81000000] (size: 0x00051814) of module app0:sce_module/libc.suprx
[21:23:28.143] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[21:23:28.228] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[21:23:28.230] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E284
[21:23:28.230] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x4344C
[21:23:28.230] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x475AC, setting to stub value 0xDEADBEEF
[21:23:28.233] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x49140, setting to stub value 0xDEADBEEF
[21:23:28.297] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[21:23:28.324] |C| [load_self]: Unknown segment type 0x6FFFFF01
[21:23:28.329] |I| [load_self]: Loaded module segment 0 @ [0x0005E000 - 0x0008ACBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[21:23:28.332] |I| [load_self]: Loaded module segment 1 @ [0x0008B000 - 0x00090255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[21:23:28.337] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[21:23:28.340] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x8ABC8
[21:23:28.340] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x81F08
[21:23:28.342] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[21:23:28.377] |C| [load_self]: Unknown segment type 0x6FFFFF01
[21:23:28.406] |I| [load_self]: Loaded module segment 0 @ [0x00091000 - 0x000A49A4 / 0x81000000] (size: 0x000139A4) of module app0:sce_module/libult.suprx
[21:23:28.409] |I| [load_self]: Loaded module segment 1 @ [0x000A5000 - 0x000A5814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[21:23:28.411] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[21:23:28.413] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xA32D0
[21:23:28.415] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xA0858
[21:23:28.416] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[21:23:28.467] |I| [load_self]: Loaded module segment 0 @ [0x000A6000 - 0x000F6F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[21:23:28.480] |I| [load_self]: Loaded module segment 1 @ [0x000F7000 - 0x000F72F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[21:23:28.484] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[21:23:28.488] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xE27DC
[21:23:28.490] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xE1F10
[21:23:28.493] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[21:23:28.505] |I| [load_self]: Loaded module segment 0 @ [0x000F8000 - 0x00107F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[21:23:28.508] |I| [load_self]: Loaded module segment 1 @ [0x00108000 - 0x00108008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[21:23:28.509] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[21:23:28.511] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x106710
[21:23:28.512] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x106300
[21:23:28.514] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[21:23:28.633] |C| [load_self]: Unknown segment type 0x6FFFFF01
[21:23:28.695] |I| [load_self]: Loaded module segment 0 @ [0x00109000 - 0x001E6240 / 0x81000000] (size: 0x000DD240) of module app0:eboot.bin
[21:23:28.697] |I| [load_self]: Loaded module segment 1 @ [0x001E7000 - 0x00250BE4 / 0x810DE000] (size: 0x00069BE4) of module app0:eboot.bin
[21:23:28.700] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[21:23:28.704] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x1CDA0C
[21:23:28.705] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x1E82FC
[21:23:28.707] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x1E1CC4
[21:23:28.708] |I| [load_app_impl]: Main executable Vita (eboot.bin) loaded
[21:23:28.842] |D| [run_app]: Running module_start of library: SceLibc at address 0x7871
[21:23:29.077] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[21:23:29.104] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[21:23:29.107] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[21:23:29.158] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[21:23:29.174] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x5E001
[21:23:29.282] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[21:23:29.285] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[21:23:29.289] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[21:23:29.306] |D| [run_app]: Running module_start of library: SceUlt at address 0x94769
[21:23:29.349] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[21:23:29.351] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[21:23:29.724] |W| [stubbed_impl]: Stubbed sceGxmMapVertexUsseMemory import called. (always return success)
[21:23:29.752] |W| [stubbed_impl]: Stubbed sceGxmMapFragmentUsseMemory import called. (always return success)
[21:23:32.827] |T| [export_sceNgsPatchCreateRouting]: Patching 0x38C300:0:0 to 0x296290:0
[21:23:33.166] |T| [export_sceNgsPatchCreateRouting]: Patching 0x38C810:0:0 to 0x296290:0
[21:23:33.168] |T| [export_sceNgsPatchCreateRouting]: Patching 0x38CD20:0:0 to 0x296290:0
[21:23:33.202] |T| [export_sceNgsPatchCreateRouting]: Patching 0x38D230:0:0 to 0x296290:0
[21:23:33.211] |T| [export_sceNgsPatchCreateRouting]: Patching 0x38D740:0:0 to 0x296290:0
[21:23:33.212] |T| [export_sceNgsPatchCreateRouting]: Patching 0x38DC50:0:0 to 0x296290:0
[21:23:33.228] |T| [export_sceNgsPatchCreateRouting]: Patching 0x38E160:0:0 to 0x296290:0
[21:23:33.231] |T| [export_sceNgsPatchCreateRouting]: Patching 0x38E670:0:0 to 0x296290:0
[21:23:33.317] |T| [export_sceNgsPatchCreateRouting]: Patching 0x38EB80:0:0 to 0x296290:0
[21:23:33.319] |T| [export_sceNgsPatchCreateRouting]: Patching 0x38F090:0:0 to 0x296290:0
[21:23:33.324] |T| [export_sceNgsPatchCreateRouting]: Patching 0x38F5A0:0:0 to 0x296290:0
[21:23:33.326] |T| [export_sceNgsPatchCreateRouting]: Patching 0x38FAB0:0:0 to 0x296290:0
