[08:34:34.282] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[08:34:34.292] |I| [config::init_config]: backend-renderer: OpenGL
[08:34:34.292] |I| [config::init_config]: log-level: 0
[08:34:34.326] |I| [SDL_main]: Vita3K v0.1.8 3171-a8275855
[08:34:34.326] |I| [SDL_main]: Number of logical CPU cores: 4
[08:34:34.326] |I| [SDL_main]: Available ram memory: 16312 MiB
[08:34:34.891] |I| [renderer::gl::create]: GPU = AMD Radeon HD 8500M
[08:34:34.891] |I| [renderer::gl::create]: GL_VERSION = 4.6.13587 Core Profile Context 0
[08:34:34.891] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[08:34:34.891] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[08:34:34.891] |W| [renderer::gl::create]: Consider upgrading to a GPU that has shader interlock.
[08:34:36.597] |I| [compat::update_compat_app_db]: Applications compatibility database is outdated, attempting to download latest updated at: 05-25-2023 00:28:29
[08:34:37.992] |W| [compat::load_compat_app_db]: Title ID i Enyouta is invalid. Please check GitHub issue 1527 and verify it!
[08:35:31.534] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/0/BGM000.AT9
[08:35:31.589] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/0/BGM001.AT9
[08:35:31.606] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/0/BGM002.AT9
[08:35:31.638] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/0/BGM003.AT9
[08:35:31.668] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/0/BGM004.AT9
[08:35:31.698] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/0/BGM005.AT9
[08:35:31.763] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/0/BGM006.AT9
[08:35:31.795] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/0/BGM007.AT9
[08:35:31.860] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/0/BGM008.AT9
[08:35:31.944] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/0/BGM009.AT9
[08:35:32.025] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/0/BGM010.AT9
[08:35:32.149] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/0/BGM011.AT9
[08:35:32.153] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/0/BGM012.AT9
[08:35:32.159] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/0/BGM013.AT9
[08:35:32.167] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM100.AT9
[08:35:32.250] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM101.AT9
[08:35:32.318] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM102.AT9
[08:35:32.393] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM103.AT9
[08:35:32.467] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM104.AT9
[08:35:32.557] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM105.AT9
[08:35:32.636] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM106.AT9
[08:35:32.735] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM107.AT9
[08:35:32.792] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM108.AT9
[08:35:32.845] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM109.AT9
[08:35:32.950] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM110.AT9
[08:35:33.020] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM111.AT9
[08:35:33.138] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM112.AT9
[08:35:33.188] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM113.AT9
[08:35:33.309] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM114.AT9
[08:35:33.391] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM115.AT9
[08:35:33.471] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM116.AT9
[08:35:33.552] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM117.AT9
[08:35:33.626] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM118.AT9
[08:35:33.707] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM119.AT9
[08:35:33.763] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM120.AT9
[08:35:33.827] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM121.AT9
[08:35:33.919] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM122.AT9
[08:35:33.985] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM123.AT9
[08:35:34.055] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM124.AT9
[08:35:34.107] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM125.AT9
[08:35:34.178] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM126.AT9
[08:35:34.268] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM127.AT9
[08:35:34.378] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM128.AT9
[08:35:34.464] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM129.AT9
[08:35:34.608] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM130.AT9
[08:35:34.694] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM131.AT9
[08:35:34.759] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM132.AT9
[08:35:34.867] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM133.AT9
[08:35:34.914] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM134.AT9
[08:35:35.022] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM135.AT9
[08:35:35.182] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/copyright.png
[08:35:35.191] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/CORE.DAT
[08:35:35.318] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/DATA.PAK
[08:35:53.675] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/100100.gxt
[08:35:53.734] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/100100msk.gxt
