[17:44:09.111] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[17:44:09.127] |I| [config::init_config]: backend-renderer: OpenGL
[17:44:09.128] |I| [config::init_config]: log-level: 0
[17:44:09.163] |I| [SDL_main]: Vita3K v0.1.8 3210-da447324
[17:44:09.164] |I| [SDL_main]: Number of logical CPU cores: 4
[17:44:09.164] |I| [SDL_main]: Available ram memory: 16312 MiB
[17:44:09.748] |I| [renderer::gl::create]: GPU = AMD Radeon HD 8500M
[17:44:09.749] |I| [renderer::gl::create]: GL_VERSION = 4.6.13587 Core Profile Context 0
[17:44:09.749] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[17:44:09.749] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[17:44:09.749] |W| [renderer::gl::create]: Consider upgrading to a GPU that has shader interlock.
[17:44:11.233] |W| [compat::load_compat_app_db]: App with Title ID PCSG00787 has an issue but no status label. Please check GitHub issue 1662 and request a status label be added.
[17:44:11.234] |W| [compat::load_compat_app_db]: App with Title ID PCSA00158 has an issue but no status label. Please check GitHub issue 1659 and request a status label be added.
[17:44:11.234] |W| [compat::load_compat_app_db]: App with Title ID PCSA00133 has an issue but no status label. Please check GitHub issue 1649 and request a status label be added.
[17:44:11.605] |I| [compat::update_compat_app_db]: Applications compatibility database is outdated, attempting to download latest updated at: 06-19-2023 09:41:22
[17:44:12.233] |E| [https::get_web_response]: 404 Not Found
[17:44:12.234] |E| [https::download_file]: Failed to get header on redirected url: https://objects.githubusercontent.com/github-production-release-asset-2e65be/130765034/0136edad-80e7-48b8-b75d-db680731bd02?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIWNJYAX4CSVEH53A%2F20230619%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20230619T094235Z&X-Amz-Expires=300&X-Amz-Signature=1b3a492c296cc5cafc6def18d3f123d47a88d6f033fcd6e5fbfd95f91d61b3a8&X-Amz-SignedHeaders=host&actor_id=0&key_id=0&repo_id=130765034&response-content-disposition=attachment%3B%20filename%3Dapp_compat_db.xml&response-content-type=application%2Foctet-stream
[17:47:56.869] |I| [gui::set_vsync_state]: V-Sync state: true
[17:47:56.933] |I| [load_app_impl]: cpu-backend: Dynarmic
[17:47:56.934] |I| [load_app_impl]: CPU Optimisation state: true
[17:47:56.934] |I| [load_app_impl]: ngs state: true
[17:47:56.934] |I| [load_app_impl]: Resolution multiplier: 1
[17:47:56.934] |I| [load_app_impl]: modules mode: Automatic
[17:47:56.934] |I| [load_app_impl]: Title: 黒蝶のサイケデリカ
[17:47:56.935] |I| [load_app_impl]: Serial: PCSG00468
[17:47:56.935] |I| [load_app_impl]: Version: 1.00
[17:47:56.935] |I| [load_app_impl]: Category: gd
[17:47:57.052] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[17:47:57.053] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x00054BD4 / 0x81000000] (size: 0x0004FBD4) of module app0:sce_module/libc.suprx
[17:47:57.054] |I| [load_self]: Loaded module segment 1 @ [0x00055000 - 0x00057688 / 0x81050000] (size: 0x00002688) of module app0:sce_module/libc.suprx
[17:47:57.054] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[17:47:57.054] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4a6c4
[17:47:57.054] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x40488
[17:47:57.055] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[17:47:57.073] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[17:47:57.074] |I| [load_self]: Loaded module segment 0 @ [0x00058000 - 0x00082AA8 / 0x81000000] (size: 0x0002AAA8) of module app0:sce_module/libfios2.suprx
[17:47:57.074] |I| [load_self]: Loaded module segment 1 @ [0x00083000 - 0x0008823D / 0x8102B000] (size: 0x0000523D) of module app0:sce_module/libfios2.suprx
[17:47:57.075] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[17:47:57.075] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x829b0
[17:47:57.075] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x7a138
[17:47:57.076] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[17:47:57.087] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6fffff01...
[17:47:57.088] |I| [load_self]: Loaded module segment 0 @ [0x00089000 - 0x0009C9C4 / 0x81000000] (size: 0x000139C4) of module app0:sce_module/libult.suprx
[17:47:57.088] |I| [load_self]: Loaded module segment 1 @ [0x0009D000 - 0x0009D814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[17:47:57.089] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[17:47:57.089] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x9b2f0
[17:47:57.090] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x98874
[17:47:57.090] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[17:47:57.146] |I| [load_self]: Loaded module segment 0 @ [0x0009E000 - 0x000EEF04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[17:47:57.147] |I| [load_self]: Loaded module segment 1 @ [0x000EF000 - 0x000EF2F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[17:47:57.147] |I| [load_self]: Linking SELF vs0:sys/external/libSceFt2.suprx...
[17:47:57.148] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xda7dc
[17:47:57.148] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xd9f10
[17:47:57.148] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[17:47:57.193] |I| [load_self]: Loaded module segment 0 @ [0x000F0000 - 0x000FFF14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[17:47:57.194] |I| [load_self]: Loaded module segment 1 @ [0x00100000 - 0x00100008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[17:47:57.194] |I| [load_self]: Linking SELF vs0:sys/external/libpvf.suprx...
[17:47:57.194] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xfe710
[17:47:57.195] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xfe300
[17:47:57.195] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[17:47:57.245] |I| [load_self]: app0:eboot.bin: Skipping special segment 0x6fffff01...
[17:47:57.246] |I| [load_self]: Loaded module segment 0 @ [0x00101000 - 0x00176A7C / 0x81000000] (size: 0x00075A7C) of module app0:eboot.bin
[17:47:57.246] |I| [load_self]: Loaded module segment 1 @ [0x00177000 - 0x001B06D8 / 0x81076000] (size: 0x000396D8) of module app0:eboot.bin
[17:47:57.246] |I| [load_self]: Linking SELF app0:eboot.bin...
[17:47:57.247] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x164328
[17:47:57.247] |D| [load_var_exports]: 	NID 0x70fba1e7 (SCE_PROC_PARAMS) at 0x17fd24
[17:47:57.247] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x172334
[17:47:57.248] |I| [load_app_impl]: Main executable VitaMain (eboot.bin) loaded
[17:47:57.347] |W| [renderer::get_shaders_cache_hashs]: Current version of cache: 9, is outdated, recreate it.
[17:47:57.509] |D| [run_app]: Running module_start of library: SceLibc at address 0x5805
[17:47:57.634] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[17:47:57.634] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[17:47:57.634] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[17:47:57.646] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[17:47:57.649] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x58001
[17:47:57.669] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[17:47:57.670] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[17:47:57.673] |D| [run_app]: Running module_start of library: SceUlt at address 0x8c771
[17:47:57.692] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[17:47:57.693] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[17:47:57.704] |I| [load_module]: Loading module ID: 0x30
[17:47:57.732] |I| [load_self]: sys/external/libatrac.suprx: Skipping special segment 0x6fffff01...
[17:47:57.732] |I| [load_self]: Loaded module segment 0 @ [0x0DDF8000 - 0x0DDFB55C / 0x81000000] (size: 0x0000355C) of module sys/external/libatrac.suprx
[17:47:57.732] |I| [load_self]: Loaded module segment 1 @ [0x001F3000 - 0x001F4038 / 0x81004000] (size: 0x00001038) of module sys/external/libatrac.suprx
[17:47:57.732] |I| [load_self]: Linking SELF sys/external/libatrac.suprx...
[17:47:57.732] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xddfb558
[17:47:57.732] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xddfadb4
[17:47:57.732] |I| [load_module]: Module SceAtrac (at "sys/external/libatrac.suprx") loaded
[17:47:57.733] |D| [load_module]: Running module_start of module: SceAtrac
[17:47:57.733] |I| [load_module]: Module SceAtrac (at "sys/external/libatrac.suprx") module_start returned 0x0
[17:47:57.734] |I| [load_module]: Loading module ID: 0x4c
[17:47:57.793] |I| [load_self]: sys/external/libsceavplayer.suprx: Skipping special segment 0x6fffff01...
[17:47:57.794] |I| [load_self]: Loaded module segment 0 @ [0x0DDFC000 - 0x0DE109FC / 0x81000000] (size: 0x000149FC) of module sys/external/libsceavplayer.suprx
[17:47:57.795] |I| [load_self]: Loaded module segment 1 @ [0x001F5000 - 0x001F506C / 0x81015000] (size: 0x0000006C) of module sys/external/libsceavplayer.suprx
[17:47:57.795] |I| [load_self]: Linking SELF sys/external/libsceavplayer.suprx...
[17:47:57.795] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xde0dd40
[17:47:57.795] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xde0c548
[17:47:57.795] |I| [load_module]: Module SceAvPlayer (at "sys/external/libsceavplayer.suprx") loaded
[17:47:57.795] |D| [load_module]: Running module_start of module: SceAvPlayer
[17:47:57.796] |I| [load_module]: Module SceAvPlayer (at "sys/external/libsceavplayer.suprx") module_start returned 0x0
[17:47:57.807] |I| [load_self]: sys/external/libscemp4.suprx: Skipping special segment 0x6fffff01...
[17:47:57.808] |I| [load_self]: Loaded module segment 0 @ [0x0DE11000 - 0x0DE20D20 / 0x81000000] (size: 0x0000FD20) of module sys/external/libscemp4.suprx
[17:47:57.809] |I| [load_self]: Loaded module segment 1 @ [0x0DE21000 - 0x0DE21028 / 0x81010000] (size: 0x00000028) of module sys/external/libscemp4.suprx
[17:47:57.809] |I| [load_self]: Linking SELF sys/external/libscemp4.suprx...
[17:47:57.809] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xde209d0
[17:47:57.809] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xde1f8c4
[17:47:57.810] |I| [load_module]: Module SceMp4 (at "sys/external/libscemp4.suprx") loaded
[17:47:57.960] |E| [logging::ret_error_impl]: sceKernelTryLockLwMutex returned SCE_KERNEL_ERROR_LW_MUTEX_FAILED_TO_OWN (0x80028185)
[17:47:57.964] |W| [stubbed_impl]: Stubbed sceGxmMapFragmentUsseMemory import called. (always return success)
[17:47:57.997] |W| [unimplemented_impl]: Unimplemented sceGxmColorSurfaceSetDitherMode import called.
[17:47:58.083] |W| [unimplemented_impl]: Unimplemented sceAudioOutSetAlcMode import called.
[17:47:58.083] |T| [log_import_call]: [LLE] TID: 7   FUNC: 0x1a34b331 sceAtracQueryDecoderGroupMemSize at 0x163708
[17:47:58.084] |T| [log_import_call]: [LLE] TID: 7   FUNC: 0x1bfb98c sceAtracCreateDecoderGroup at 0x1636e8
[17:47:58.130] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[17:47:58.131] |W| [unimplemented_impl]: Unimplemented sceMotionStopSampling import called.
[17:47:58.132] |W| [unimplemented_impl]: Unimplemented sceMotionMagnetometerOff import called.
[17:47:58.245] |I| [export_sceIoOpen]: Opening file: app0:/Data/NowLoading/NowLoading001.pck
[17:47:58.294] |T| [open_file]: sceIoOpen: Opening file app0:/Data/NowLoading/NowLoading001.pck (ux0:/app/PCSG00468/Data/NowLoading/NowLoading001.pck), fd: 0x3
[17:47:58.317] |T| [close_file]: sceIoClose: Closing file fd: 0x3
[17:47:58.373] |I| [export_sceIoOpen]: Opening file: app0:/Data/Init/general.tex
[17:47:58.374] |T| [open_file]: sceIoOpen: Opening file app0:/Data/Init/general.tex (ux0:/app/PCSG00468/Data/Init/general.tex), fd: 0x4
[17:47:58.389] |T| [close_file]: sceIoClose: Closing file fd: 0x4
[17:47:58.419] |W| [unimplemented_impl]: Unimplemented sceGxmSetWBufferEnable import called.
[17:47:58.473] |E| [logging::ret_error_impl]: sceGxmPadHeartbeat returned SCE_GXM_ERROR_INVALID_POINTER (0x805b0004)
[17:47:58.482] |I| [renderer::load_shader_generic]: Generating frag shader 67e2e26a2a3c674c05a7d0e56d4efc5c3adf03d7987f9b6bd2ebc7274364804e
[17:47:58.499] |D| [shader::create_fragment_inputs]: Iterator: pa0 = (float4) v_Color0
[17:47:58.500] |T| [shader::usse::USSERecompiler::compile_code_node]: Compiling code_0, size = 2
[17:47:58.507] |I| [renderer::load_shader_generic]: Generating vert shader 476318c3e8ebf0c3ffe43e9a84262079eb45a1213eb2ef2e150c28525a1c406f
[17:47:58.508] |D| [shader::create_parameters]: [BUFFER0  + 0] pa0 = (float4) i_sIn_m_Position
[17:47:58.508] |D| [shader::create_parameters]: [BUFFER0  + 4] pa4 = (float4) i_sIn_m_Color0
[17:47:58.508] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (float4) G_ProjectionMatrix[4]
[17:47:58.509] |T| [shader::usse::USSERecompiler::compile_code_node]: Compiling code_0, size = 9
[17:47:58.549] |I| [renderer::load_shader_generic]: Generating frag shader d0146e7147bf8107dd0a1d8a6762e3b265891fa838a9e87060d870ab4c714c05
[17:47:58.553] |D| [shader::create_fragment_inputs]: Iterator: pa0 = (half4) v_Color0
[17:47:58.553] |T| [shader::create_fragment_inputs]: pa2 = tex2D<half4>(G_Sampler0, TEXCOORD0.xy)
[17:47:58.558] |T| [shader::usse::USSERecompiler::compile_code_node]: Compiling code_0, size = 2
[17:47:58.587] |I| [renderer::load_shader_generic]: Generating vert shader 0a05e5a4fb9f261c26b2c5a588687a28139213593dd098fed3fa88401870b844
[17:47:58.589] |D| [shader::create_parameters]: [BUFFER0  + 0] pa0 = (float4) i_sIn_m_Position
[17:47:58.589] |D| [shader::create_parameters]: [BUFFER0  + 4] pa4 = (float4) i_sIn_m_Color0
[17:47:58.589] |D| [shader::create_parameters]: [BUFFER0  + 8] pa8 = (float4) i_sIn_m_TexCoord0
[17:47:58.589] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (float4) G_sBuffer_m_ProjectionMatrix[4]
[17:47:58.590] |T| [shader::usse::USSERecompiler::compile_code_node]: Compiling code_0, size = 9
[17:47:59.570] |I| [export_sceIoOpen]: Opening file: app0:/Data/Menu/ADV_Parts.tex
[17:47:59.593] |T| [open_file]: sceIoOpen: Opening file app0:/Data/Menu/ADV_Parts.tex (ux0:/app/PCSG00468/Data/Menu/ADV_Parts.tex), fd: 0x5
[17:47:59.610] |T| [close_file]: sceIoClose: Closing file fd: 0x5
[17:47:59.631] |I| [export_sceIoOpen]: Opening file: app0:/Data/Menu/MENU_Parts.tex
[17:47:59.632] |T| [open_file]: sceIoOpen: Opening file app0:/Data/Menu/MENU_Parts.tex (ux0:/app/PCSG00468/Data/Menu/MENU_Parts.tex), fd: 0x6
[17:47:59.690] |T| [close_file]: sceIoClose: Closing file fd: 0x6
[17:47:59.703] |I| [export_sceIoOpen]: Opening file: app0:/Data/Menu/MsgBox_Parts.tex
[17:47:59.704] |T| [open_file]: sceIoOpen: Opening file app0:/Data/Menu/MsgBox_Parts.tex (ux0:/app/PCSG00468/Data/Menu/MsgBox_Parts.tex), fd: 0x7
[17:47:59.749] |T| [close_file]: sceIoClose: Closing file fd: 0x7
[17:47:59.766] |I| [export_sceIoOpen]: Opening file: app0:/Data/Menu/Common_Parts.tex
[17:47:59.767] |T| [open_file]: sceIoOpen: Opening file app0:/Data/Menu/Common_Parts.tex (ux0:/app/PCSG00468/Data/Menu/Common_Parts.tex), fd: 0x8
[17:47:59.820] |T| [close_file]: sceIoClose: Closing file fd: 0x8
[17:47:59.835] |I| [export_sceIoOpen]: Opening file: app0:/Data/Menu/Flowchart_Parts.tex
[17:47:59.847] |T| [open_file]: sceIoOpen: Opening file app0:/Data/Menu/Flowchart_Parts.tex (ux0:/app/PCSG00468/Data/Menu/Flowchart_Parts.tex), fd: 0x9
[17:47:59.886] |T| [close_file]: sceIoClose: Closing file fd: 0x9
[17:47:59.900] |I| [export_sceIoOpen]: Opening file: app0:/Data/Init/advframe.tex
[17:47:59.900] |T| [open_file]: sceIoOpen: Opening file app0:/Data/Init/advframe.tex (ux0:/app/PCSG00468/Data/Init/advframe.tex), fd: 0xa
[17:47:59.923] |T| [close_file]: sceIoClose: Closing file fd: 0xa
[17:47:59.924] |I| [export_sceIoOpen]: Opening file: app0:/Data/Init/advframe.bin
[17:47:59.925] |T| [open_file]: sceIoOpen: Opening file app0:/Data/Init/advframe.bin (ux0:/app/PCSG00468/Data/Init/advframe.bin), fd: 0xb
[17:47:59.926] |T| [close_file]: sceIoClose: Closing file fd: 0xb
[17:47:59.976] |I| [export_sceIoOpen]: Opening file: app0:/Script/Script.pck
[17:47:59.977] |T| [open_file]: sceIoOpen: Opening file app0:/Script/Script.pck (ux0:/app/PCSG00468/Script/Script.pck), fd: 0xc
[17:48:00.013] |T| [close_file]: sceIoClose: Closing file fd: 0xc
[17:48:00.014] |I| [export_sceIoOpen]: Opening file: app0:/Font.pck
[17:48:00.016] |T| [open_file]: sceIoOpen: Opening file app0:/Font.pck (ux0:/app/PCSG00468/Font.pck), fd: 0xd
[17:48:00.085] |T| [close_file]: sceIoClose: Closing file fd: 0xd
[17:48:00.105] |I| [export_sceIoOpen]: Opening file: app0:/PatternFade.pck
[17:48:00.106] |T| [open_file]: sceIoOpen: Opening file app0:/PatternFade.pck (ux0:/app/PCSG00468/PatternFade.pck), fd: 0xe
[17:48:00.127] |T| [close_file]: sceIoClose: Closing file fd: 0xe
[17:48:00.129] |I| [export_sceIoOpen]: Opening file: app0:/Bust.pck
[17:48:00.146] |T| [open_file]: sceIoOpen: Opening file app0:/Bust.pck (ux0:/app/PCSG00468/Bust.pck), fd: 0xf
[17:48:00.170] |I| [export_sceIoOpen]: Opening file: app0:/Exi_KP.pck
[17:48:00.171] |T| [open_file]: sceIoOpen: Opening file app0:/Exi_KP.pck (ux0:/app/PCSG00468/Exi_KP.pck), fd: 0x10
[17:48:00.205] |T| [close_file]: sceIoClose: Closing file fd: 0x10
[17:48:00.211] |W| [stubbed_impl]: Stubbed sceGxmMapVertexUsseMemory import called. (always return success)
[17:48:00.253] |I| [export_sceIoOpen]: Opening file: app0:/Script/database.bin
[17:48:00.254] |T| [open_file]: sceIoOpen: Opening file app0:/Script/database.bin (ux0:/app/PCSG00468/Script/database.bin), fd: 0x11
[17:48:00.280] |T| [close_file]: sceIoClose: Closing file fd: 0x11
[17:48:00.290] |I| [export_sceIoOpen]: Opening file: app0:/Data/Menu/FC_Line0.tex
[17:48:00.291] |T| [open_file]: sceIoOpen: Opening file app0:/Data/Menu/FC_Line0.tex (ux0:/app/PCSG00468/Data/Menu/FC_Line0.tex), fd: 0x12
[17:48:00.294] |T| [close_file]: sceIoClose: Closing file fd: 0x12
[17:48:00.304] |I| [export_sceIoOpen]: Opening file: app0:/Data/Menu/FC_Line1.tex
[17:48:00.304] |T| [open_file]: sceIoOpen: Opening file app0:/Data/Menu/FC_Line1.tex (ux0:/app/PCSG00468/Data/Menu/FC_Line1.tex), fd: 0x13
[17:48:00.308] |T| [close_file]: sceIoClose: Closing file fd: 0x13
[17:48:00.309] |I| [export_sceIoOpen]: Opening file: app0:/Data/Menu/FC_Line2.tex
[17:48:00.310] |T| [open_file]: sceIoOpen: Opening file app0:/Data/Menu/FC_Line2.tex (ux0:/app/PCSG00468/Data/Menu/FC_Line2.tex), fd: 0x14
[17:48:00.313] |T| [close_file]: sceIoClose: Closing file fd: 0x14
[17:48:00.314] |I| [export_sceIoOpen]: Opening file: app0:/Data/Menu/FC_Line3.tex
[17:48:00.315] |T| [open_file]: sceIoOpen: Opening file app0:/Data/Menu/FC_Line3.tex (ux0:/app/PCSG00468/Data/Menu/FC_Line3.tex), fd: 0x15
[17:48:00.330] |T| [close_file]: sceIoClose: Closing file fd: 0x15
