[00:02:35.833] |I| [SDL_main]:  Vita3K v0.1 666-68330f2
[00:02:36.259] |I| [init]:  Swap interval = -1
[00:02:40.255] |I| [load_app_impl]:  Title: AccountSwitcher
[00:02:40.256] |I| [load_app_impl]:  Serial: PEND00000
[00:02:40.256] |I| [load_app_impl]:  Category: gd
[00:02:40.256] |D| [load_app_impl]:  Pre-load module at "sce_module/libc.suprx" not present
[00:02:40.256] |D| [load_app_impl]:  Pre-load module at "sce_module/libfios2.suprx" not present
[00:02:40.256] |D| [load_app_impl]:  Pre-load module at "sce_module/libult.suprx" not present
[00:02:40.282] |I| [load_self]:  Loading symbols for SELF: app0:eboot.bin
[00:02:40.283] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x65DAC
[00:02:40.283] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x65E08
[00:02:40.283] |I| [load_app_impl]:  Main executable AccountSwitcher.elf (eboot.bin) loaded
[00:02:40.302] |I| [export_sceIoOpen]:  Opening file: tty0:
[00:02:40.303] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[00:02:40.303] |I| [export_sceIoOpen]:  Opening file: tty0:
[00:02:40.303] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[00:02:40.303] |I| [export_sceIoOpen]:  Opening file: tty0:
[00:02:40.303] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[00:02:40.306] |W| [unimplemented_impl]:  Unimplemented sceNetCtlInit import called.
[00:02:40.314] |W| [unimplemented_impl]:  Unimplemented sceClibVsnprintf import called.
[00:02:40.314] |W| [unimplemented_impl]:  Unimplemented sceAppUtilInit import called.
[00:02:40.359] |I| [renderer::create]:  GL_VERSION = 4.1.0 NVIDIA 398.11
[00:02:40.360] |I| [renderer::create]:  GL_SHADING_LANGUAGE_VERSION = 4.10 NVIDIA via Cg compiler
[00:02:40.374] |I| [load_module]:  Loading module ID: 0xE
[00:02:40.374] |I| [load_self]:  Loading symbols for SELF: sys/external/libpgf.suprx
[00:02:40.375] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x2E73A64
[00:02:40.375] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x2E73810
[00:02:40.375] |W| [load_var_imports]:  	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x2E73C50, setting to stub value 0xDEADBEEF
[00:02:40.375] |I| [load_module]:  Module SceLibPgf (at "sys/external/libpgf.suprx") loaded
[00:02:40.377] |I| [export_sceIoOpen]:  Opening file: sa0:data/font/pgf/jpn0.pgf
[00:02:40.378] |T| [open_file]:  sceIoOpen: Opening file sa0:data/font/pgf/jpn0.pgf (sa0:data/font/pgf/jpn0.pgf)
[00:02:40.378] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x0, whence: SCE_SEEK_SET
[00:02:40.379] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 12
[00:02:40.379] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 380
[00:02:40.381] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x188, whence: SCE_SEEK_SET
[00:02:40.382] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x188, whence: SCE_SEEK_SET
[00:02:40.383] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 2040
[00:02:40.383] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 2040
[00:02:40.383] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 2040
[00:02:40.383] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 848
[00:02:40.384] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x1CC0, whence: SCE_SEEK_SET
[00:02:40.385] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 1020
[00:02:40.385] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 114632
[00:02:40.385] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 23224
[00:02:40.389] |I| [export_sceIoOpen]:  Opening file: ux0:/id.dat
[00:02:40.389] |T| [open_file]:  sceIoOpen: Opening file ux0:/id.dat (ux0:/id.dat)
[00:02:40.389] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x4 at offset: 0x0, whence: SCE_SEEK_END
[00:02:40.389] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x4 at offset: 0x0, whence: SCE_SEEK_SET
[00:02:40.389] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 0
[00:02:40.390] |T| [close_file]:  sceIoClose: Closing file: fd: 0x4
[00:02:40.390] |I| [export_sceIoOpen]:  Opening file: ux0:/id.dat
[00:02:40.390] |T| [open_file]:  sceIoOpen: Opening file ux0:/id.dat (ux0:/id.dat)
[00:02:40.391] |T| [close_dir]:  sceIoDclose: Closing dir fd: 0x5
[00:02:40.391] |W| [io_error_impl]:  close_dir (sceIoDclose) returned 0x80010051
[00:02:40.391] |I| [export_sceIoOpen]:  Opening file: ux0:/id.dat
[00:02:40.391] |T| [open_file]:  sceIoOpen: Opening file ux0:/id.dat (ux0:/id.dat)
[00:02:40.391] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x6 at offset: 0x0, whence: SCE_SEEK_END
