[05:19:59.542] |I| [SDL_main]:  Vita3K v0.1 666-68330f2
[05:19:59.965] |I| [init]:  Swap interval = -1
[05:20:02.883] |I| [load_app_impl]:  Title: BattleShipArena
[05:20:02.884] |I| [load_app_impl]:  Serial: BTLSHPARN
[05:20:02.884] |I| [load_app_impl]:  Category: gd
[05:20:02.884] |D| [load_app_impl]:  Pre-load module at "sce_module/libc.suprx" not present
[05:20:02.884] |D| [load_app_impl]:  Pre-load module at "sce_module/libfios2.suprx" not present
[05:20:02.884] |D| [load_app_impl]:  Pre-load module at "sce_module/libult.suprx" not present
[05:20:02.924] |I| [load_self]:  Loading symbols for SELF: app0:eboot.bin
[05:20:02.925] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x2D7A0
[05:20:02.925] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x2D7FC
[05:20:02.925] |I| [load_app_impl]:  Main executable BattleShipArena.elf (eboot.bin) loaded
[05:20:02.944] |I| [export_sceIoOpen]:  Opening file: tty0:
[05:20:02.945] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[05:20:02.945] |I| [export_sceIoOpen]:  Opening file: tty0:
[05:20:02.945] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[05:20:02.945] |I| [export_sceIoOpen]:  Opening file: tty0:
[05:20:02.945] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[05:20:02.987] |I| [renderer::create]:  GL_VERSION = 4.1.0 NVIDIA 398.11
[05:20:02.988] |I| [renderer::create]:  GL_SHADING_LANGUAGE_VERSION = 4.10 NVIDIA via Cg compiler
[05:20:03.000] |I| [load_module]:  Loading module ID: 0xE
[05:20:03.017] |I| [load_self]:  Loading symbols for SELF: sys/external/libpgf.suprx
[05:20:03.017] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x2E4AA64
[05:20:03.017] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x2E4A810
[05:20:03.018] |W| [load_var_imports]:  	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x2E4AC50, setting to stub value 0xDEADBEEF
[05:20:03.018] |I| [load_module]:  Module SceLibPgf (at "sys/external/libpgf.suprx") loaded
[05:20:03.111] |I| [export_sceIoOpen]:  Opening file: sa0:data/font/pgf/jpn0.pgf
[05:20:03.111] |T| [open_file]:  sceIoOpen: Opening file sa0:data/font/pgf/jpn0.pgf (sa0:data/font/pgf/jpn0.pgf)
[05:20:03.112] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x0, whence: SCE_SEEK_SET
[05:20:03.112] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 12
[05:20:03.112] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 380
