[01:44:05.662] |I| [SDL_main]:  Vita3K v0.1 666-68330f2
[01:44:06.099] |I| [init]:  Swap interval = -1
[01:44:11.561] |I| [load_app_impl]:  Title: Custom Themes Manager
[01:44:11.562] |I| [load_app_impl]:  Serial: CTMANAGER
[01:44:11.562] |I| [load_app_impl]:  Category: gd
[01:44:11.562] |D| [load_app_impl]:  Pre-load module at "sce_module/libc.suprx" not present
[01:44:11.562] |D| [load_app_impl]:  Pre-load module at "sce_module/libfios2.suprx" not present
[01:44:11.562] |D| [load_app_impl]:  Pre-load module at "sce_module/libult.suprx" not present
[01:44:11.641] |I| [load_self]:  Loading symbols for SELF: app0:eboot.bin
[01:44:11.642] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0xB39A0
[01:44:11.643] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0xB39FC
[01:44:11.643] |I| [load_app_impl]:  Main executable CTManager (eboot.bin) loaded
[01:44:11.673] |I| [export_sceIoOpen]:  Opening file: tty0:
[01:44:11.674] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[01:44:11.674] |I| [export_sceIoOpen]:  Opening file: tty0:
[01:44:11.675] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[01:44:11.675] |I| [export_sceIoOpen]:  Opening file: tty0:
[01:44:11.675] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[01:44:11.715] |I| [renderer::create]:  GL_VERSION = 4.1.0 NVIDIA 398.11
[01:44:11.716] |I| [renderer::create]:  GL_SHADING_LANGUAGE_VERSION = 4.10 NVIDIA via Cg compiler
[01:44:11.732] |I| [load_module]:  Loading module ID: 0xE
[01:44:11.733] |I| [load_self]:  Loading symbols for SELF: sys/external/libpgf.suprx
[01:44:11.733] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x3320A64
[01:44:11.733] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3320810
[01:44:11.734] |W| [load_var_imports]:  	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x3320C50, setting to stub value 0xDEADBEEF
[01:44:11.734] |I| [load_module]:  Module SceLibPgf (at "sys/external/libpgf.suprx") loaded
[01:44:11.737] |I| [export_sceIoOpen]:  Opening file: sa0:data/font/pgf/jpn0.pgf
[01:44:11.737] |T| [open_file]:  sceIoOpen: Opening file sa0:data/font/pgf/jpn0.pgf (sa0:data/font/pgf/jpn0.pgf)
[01:44:11.738] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x0, whence: SCE_SEEK_SET
[01:44:11.738] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 12
[01:44:11.738] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 380
[01:44:11.741] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x188, whence: SCE_SEEK_SET
[01:44:11.741] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x188, whence: SCE_SEEK_SET
[01:44:11.742] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 2040
