[03:24:28.667] |I| [SDL_main]:  Vita3K v0.1 666-68330f2
[03:24:29.083] |I| [init]:  Swap interval = -1
[03:24:30.968] |I| [load_app_impl]:  Title: Flyer Deathmatch
[03:24:30.969] |I| [load_app_impl]:  Serial: FLYERDMV1
[03:24:30.969] |I| [load_app_impl]:  Category: gd
[03:24:30.969] |D| [load_app_impl]:  Pre-load module at "sce_module/libc.suprx" not present
[03:24:30.969] |D| [load_app_impl]:  Pre-load module at "sce_module/libfios2.suprx" not present
[03:24:30.969] |D| [load_app_impl]:  Pre-load module at "sce_module/libult.suprx" not present
[03:24:31.031] |W| [relocate_entry]:  Unhandled relocation code 102.
[03:24:31.032] |W| [relocate_entry]:  Unhandled relocation code 102.
[03:24:31.032] |W| [relocate_entry]:  Unhandled relocation code 102.
[03:24:31.032] |W| [relocate_entry]:  Unhandled relocation code 102.
[03:24:31.033] |W| [relocate_entry]:  Unhandled relocation code 102.
[03:24:31.033] |I| [load_self]:  Loading symbols for SELF: app0:eboot.bin
[03:24:31.033] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x1D7DF0
[03:24:31.033] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x1D7E4C
[03:24:31.033] |I| [load_app_impl]:  Main executable ONEluaVita3R0 (eboot.bin) loaded
[03:24:31.132] |I| [export_sceIoOpen]:  Opening file: tty0:
[03:24:31.133] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[03:24:31.133] |I| [export_sceIoOpen]:  Opening file: tty0:
[03:24:31.133] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[03:24:31.133] |I| [export_sceIoOpen]:  Opening file: tty0:
[03:24:31.133] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[03:24:31.174] |I| [renderer::create]:  GL_VERSION = 4.1.0 NVIDIA 398.11
[03:24:31.175] |I| [renderer::create]:  GL_SHADING_LANGUAGE_VERSION = 4.10 NVIDIA via Cg compiler
[03:24:31.190] |I| [load_module]:  Loading module ID: 0xE
[03:24:31.191] |I| [load_self]:  Loading symbols for SELF: sys/external/libpgf.suprx
[03:24:31.191] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0xD2C7A64
[03:24:31.191] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0xD2C7810
[03:24:31.192] |W| [load_var_imports]:  	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0xD2C7C50, setting to stub value 0xDEADBEEF
[03:24:31.192] |I| [load_module]:  Module SceLibPgf (at "sys/external/libpgf.suprx") loaded
[03:24:31.194] |W| [unimplemented_impl]:  Unimplemented sceShellUtilInitEvents import called.
[03:24:31.195] |W| [unimplemented_impl]:  Unimplemented sceTouchSetSamplingState import called.
[03:24:31.195] |W| [unimplemented_impl]:  Unimplemented sceAppUtilInit import called.
[03:24:31.195] |W| [unimplemented_impl]:  Unimplemented sceAppUtilMusicMount import called.
[03:24:31.195] |W| [unimplemented_impl]:  Unimplemented sceAppUtilPhotoMount import called.
[03:24:31.195] |W| [unimplemented_impl]:  Unimplemented sceCommonDialogSetConfigParam import called.
[03:24:31.195] |W| [unimplemented_impl]:  Unimplemented vshMemoryCardGetCardInsertState import called.
[03:24:31.195] |E| [ret_error_impl]:  sceNetShowNetstat returned SCE_NET_ERROR_ENOTINIT (0x804101C8)
[03:24:31.196] |W| [unimplemented_impl]:  Unimplemented sceNetCtlInit import called.
[03:24:31.196] |W| [unimplemented_impl]:  Unimplemented sceHttpInit import called.
[03:24:31.197] |W| [unimplemented_impl]:  Unimplemented sceSslInit import called.
[03:24:31.197] |W| [unimplemented_impl]:  Unimplemented sceHttpsDisableOption import called.
[03:24:31.197] |W| [unimplemented_impl]:  Unimplemented sceNetGetMacAddress import called.
