[03:28:52.640] |I| [SDL_main]:  Vita3K v0.1 666-68330f2
[03:28:53.044] |I| [init]:  Swap interval = -1
[03:28:56.870] |I| [load_app_impl]:  Title: Galactic Federation
[03:28:56.871] |I| [load_app_impl]:  Serial: RPG100001
[03:28:56.871] |I| [load_app_impl]:  Category: gd
[03:28:56.872] |D| [load_app_impl]:  Pre-load module at "sce_module/libc.suprx" not present
[03:28:56.872] |D| [load_app_impl]:  Pre-load module at "sce_module/libfios2.suprx" not present
[03:28:56.872] |D| [load_app_impl]:  Pre-load module at "sce_module/libult.suprx" not present
[03:28:56.961] |I| [load_self]:  Loading symbols for SELF: app0:eboot.bin
[03:28:56.962] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x1C4830
[03:28:56.962] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x1C488C
[03:28:56.963] |I| [load_app_impl]:  Main executable lpp-vita.elf (eboot.bin) loaded
[03:28:57.047] |I| [export_sceIoOpen]:  Opening file: tty0:
[03:28:57.047] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[03:28:57.048] |I| [export_sceIoOpen]:  Opening file: tty0:
[03:28:57.048] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[03:28:57.048] |I| [export_sceIoOpen]:  Opening file: tty0:
[03:28:57.048] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[03:28:57.214] |W| [unimplemented_impl]:  Unimplemented sceTouchSetSamplingState import called.
[03:28:57.214] |W| [unimplemented_impl]:  Unimplemented sceAppUtilInit import called.
[03:28:57.214] |W| [unimplemented_impl]:  Unimplemented sceCommonDialogSetConfigParam import called.
[03:28:57.215] |W| [unimplemented_impl]:  Unimplemented sceAppUtilMusicMount import called.
[03:28:57.215] |W| [unimplemented_impl]:  Unimplemented sceAppUtilPhotoMount import called.
[03:28:57.243] |I| [renderer::create]:  GL_VERSION = 4.1.0 NVIDIA 398.11
[03:28:57.244] |I| [renderer::create]:  GL_SHADING_LANGUAGE_VERSION = 4.10 NVIDIA via Cg compiler
