[03:31:50.622] |I| [SDL_main]:  Vita3K v0.1 597-5b97fe1
[03:31:51.058] |I| [init]:  Swap interval = -1
[03:31:52.300] |I| [install_vpk]:  Extracting C:\Users\Hisham\AppData\Roaming\Vita3K\Vita3K\ux0/app/FRAN00003/background.png
[03:31:52.303] |I| [install_vpk]:  Extracting C:\Users\Hisham\AppData\Roaming\Vita3K\Vita3K\ux0/app/FRAN00003/eboot.bin
[03:31:52.346] |I| [install_vpk]:  Extracting C:\Users\Hisham\AppData\Roaming\Vita3K\Vita3K\ux0/app/FRAN00003/sce_sys/.DS_Store
[03:31:52.357] |I| [install_vpk]:  Extracting C:\Users\Hisham\AppData\Roaming\Vita3K\Vita3K\ux0/app/FRAN00003/__MACOSX/sce_sys/._.DS_Store
[03:31:52.362] |I| [install_vpk]:  Extracting C:\Users\Hisham\AppData\Roaming\Vita3K\Vita3K\ux0/app/FRAN00003/sce_sys/icon0.png
[03:31:52.365] |I| [install_vpk]:  Extracting C:\Users\Hisham\AppData\Roaming\Vita3K\Vita3K\ux0/app/FRAN00003/sce_sys/livearea/.DS_Store
[03:31:52.370] |I| [install_vpk]:  Extracting C:\Users\Hisham\AppData\Roaming\Vita3K\Vita3K\ux0/app/FRAN00003/__MACOSX/sce_sys/livearea/._.DS_Store
[03:31:52.371] |I| [install_vpk]:  Extracting C:\Users\Hisham\AppData\Roaming\Vita3K\Vita3K\ux0/app/FRAN00003/sce_sys/livearea/contents/.DS_Store
[03:31:52.372] |I| [install_vpk]:  Extracting C:\Users\Hisham\AppData\Roaming\Vita3K\Vita3K\ux0/app/FRAN00003/__MACOSX/sce_sys/livearea/contents/._.DS_Store
[03:31:52.373] |I| [install_vpk]:  Extracting C:\Users\Hisham\AppData\Roaming\Vita3K\Vita3K\ux0/app/FRAN00003/sce_sys/livearea/contents/bg0.png
[03:31:52.375] |I| [install_vpk]:  Extracting C:\Users\Hisham\AppData\Roaming\Vita3K\Vita3K\ux0/app/FRAN00003/sce_sys/livearea/contents/mov_icon.png
[03:31:52.397] |I| [install_vpk]:  Extracting C:\Users\Hisham\AppData\Roaming\Vita3K\Vita3K\ux0/app/FRAN00003/sce_sys/livearea/contents/startup.png
[03:31:52.399] |I| [install_vpk]:  Extracting C:\Users\Hisham\AppData\Roaming\Vita3K\Vita3K\ux0/app/FRAN00003/sce_sys/livearea/contents/template.xml
[03:31:52.404] |I| [install_vpk]:  Extracting C:\Users\Hisham\AppData\Roaming\Vita3K\Vita3K\ux0/app/FRAN00003/__MACOSX/sce_sys/livearea/contents/._template.xml
[03:31:52.408] |I| [install_vpk]:  Extracting C:\Users\Hisham\AppData\Roaming\Vita3K\Vita3K\ux0/app/FRAN00003/__MACOSX/sce_sys/livearea/._contents
[03:31:52.409] |I| [install_vpk]:  Extracting C:\Users\Hisham\AppData\Roaming\Vita3K\Vita3K\ux0/app/FRAN00003/__MACOSX/sce_sys/._livearea
[03:31:52.411] |I| [install_vpk]:  Extracting C:\Users\Hisham\AppData\Roaming\Vita3K\Vita3K\ux0/app/FRAN00003/sce_sys/param.sfo
[03:31:52.415] |I| [install_vpk]:  Extracting C:\Users\Hisham\AppData\Roaming\Vita3K\Vita3K\ux0/app/FRAN00003/sce_sys/pic0.png
[03:31:52.417] |I| [install_vpk]:  Extracting C:\Users\Hisham\AppData\Roaming\Vita3K\Vita3K\ux0/app/FRAN00003/__MACOSX/._sce_sys
[03:31:52.435] |I| [install_vpk]:  FRAN00003 installed succesfully!
[03:31:52.436] |I| [load_app_impl]:  Title: GenesisPlusGXVITA
[03:31:52.436] |I| [load_app_impl]:  Serial: FRAN00003
[03:31:52.437] |I| [load_app_impl]:  Category: gd
[03:31:52.437] |D| [load_app_impl]:  Pre-load module at "sce_module/libc.suprx" not present
[03:31:52.437] |D| [load_app_impl]:  Pre-load module at "sce_module/libfios2.suprx" not present
[03:31:52.438] |D| [load_app_impl]:  Pre-load module at "sce_module/libult.suprx" not present
[03:31:52.614] |I| [load_self]:  Loading symbols for SELF: app0:eboot.bin
[03:31:52.615] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x27AC9C
[03:31:52.616] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x27ACF8
[03:31:52.617] |I| [load_app_impl]:  Main executable gen_vita.elf (eboot.bin) loaded
[03:31:52.639] |I| [export_sceIoOpen]:  Opening file: tty0:
[03:31:52.640] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[03:31:52.641] |I| [export_sceIoOpen]:  Opening file: tty0:
[03:31:52.642] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[03:31:52.642] |I| [export_sceIoOpen]:  Opening file: tty0:
[03:31:52.643] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[03:31:52.646] |I| [export_sceIoOpen]:  Opening file: ux0:/temp/log.txt
[03:31:52.646] |T| [open_file]:  sceIoOpen: Opening file ux0:/temp/log.txt (ux0:/temp/log.txt)
[03:31:52.660] |T| [stat_file]:  sceIoGetstatByFd: Statting file ux0:/temp/log.txt (ux0:/temp/log.txt)
[03:31:52.668] |T| [write_file]:  sceIoWrite: Writing file: fd: 0x3, size: 67
[03:31:52.668] |T| [close_file]:  sceIoClose: Closing file: fd: 0x3
[03:31:52.692] |W| [unimplemented_impl]:  Unimplemented sceAudioOutSetVolume import called.
[03:31:52.726] |I| [renderer::create]:  GL_VERSION = 4.1.0 NVIDIA 398.11
[03:31:52.727] |I| [renderer::create]:  GL_SHADING_LANGUAGE_VERSION = 4.10 NVIDIA via Cg compiler
[03:31:52.767] |T| [stat_file]:  sceIoGetstat: Statting file ux0:/data/GenesisPlusGXVita/savedata/ (ux0:/data/GenesisPlusGXVita/savedata/)
[03:31:52.768] |W| [io_error_impl]:  stat_file (sceIoGetstat) returned 0xFFFFFFFF
[03:31:52.768] |T| [stat_file]:  sceIoGetstat: Statting file ux0:/data/GenesisPlusGXVita/savedata/ (ux0:/data/GenesisPlusGXVita/savedata/)
[03:31:52.769] |W| [io_error_impl]:  stat_file (sceIoGetstat) returned 0xFFFFFFFF
[03:31:52.769] |T| [stat_file]:  sceIoGetstat: Statting file ux0:/data/GenesisPlusGXVita/savedata (ux0:/data/GenesisPlusGXVita/savedata)
[03:31:52.770] |I| [export_sceIoOpen]:  Opening file: ux0:/data/GenesisPlusGXVita/smsplus.ini
[03:31:52.770] |T| [open_file]:  sceIoOpen: Opening file ux0:/data/GenesisPlusGXVita/smsplus.ini (ux0:/data/GenesisPlusGXVita/smsplus.ini)
[03:31:52.774] |I| [export_sceIoOpen]:  Opening file: app0:/background.png
[03:31:52.774] |T| [open_file]:  sceIoOpen: Opening file app0:/background.png (ux0:/app/FRAN00003//background.png)
[03:31:52.774] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 8
[03:31:52.777] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 8
[03:31:52.777] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 13
[03:31:52.778] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 4
[03:31:52.779] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 8
[03:31:52.779] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 4
[03:31:52.780] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 4
[03:31:52.781] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 8
[03:31:52.781] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 1
[03:31:52.781] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 4
[03:31:52.782] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 8
[03:31:52.783] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.783] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.784] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.784] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.784] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.785] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.785] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.785] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.786] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.788] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.788] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.788] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.789] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.789] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.789] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.790] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.790] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.790] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.790] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.791] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.791] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.791] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.792] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.792] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.792] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.793] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.793] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
[03:31:52.793] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 3
