[18:45:51.965] |I| [SDL_main]:  Vita3K v0.1 169-25dfe0c
[18:45:52.308] |I| [load_vpk]:  Path: C:\Users\Hisham\Downloads\Compressed\Vita3K--2018-04-23-25dfe0c5_win64\OpenJazz.vpk
[18:45:52.308] |I| [load_vpk]:  Title: OpenJazz
[18:45:52.309] |I| [load_vpk]:  Serial: OPENJAZZ1
[18:45:52.309] |I| [load_vpk]:  Category: gd
[18:45:52.314] |W| [relocate]:  Unhandled relocation code 102.
[18:45:52.315] |I| [load_self]:  *** Loading symbols for (S)ELF: app0:eboot.bin
[18:45:52.315] |D| [load_var_exports]:  	NID 0x6c2224ba (NID_MODULE_INFO) at 0xe3e60
[18:45:52.315] |D| [load_var_exports]:  	NID 0x70fba1e7 (SCE_PROC_PARAMS) at 0xe3ebc
[18:45:52.323] |W| [unimplemented]:  >>> sceKernelCreateLwMutex <<< Unimplemented import called.
[18:45:52.342] |W| [unimplemented]:  >>> sceKernelUnlockLwMutex <<< Unimplemented import called.
[18:45:52.346] |W| [unimplemented]:  >>> sceKernelLockLwMutex <<< Unimplemented import called.
[18:45:52.543] |W| [unimplemented]:  >>> sceKernelGetThreadInfo <<< Unimplemented import called.
[18:45:52.579] |W| [unimplemented]:  >>> sceKernelDelayThreadCB <<< Unimplemented import called.
[18:45:52.579] |W| [unimplemented]:  >>> sceKernelDeleteSema <<< Unimplemented import called.
[18:45:52.617] |I| [export_sceClibPrintf]:  sceGxmInitialize(): 0x%08X

[18:45:52.642] |I| [export_sceGxmCreateContext]:  GL_VERSION = 4.6.0 NVIDIA 390.77
[18:45:52.642] |I| [export_sceGxmCreateContext]:  GL_SHADING_LANGUAGE_VERSION = 4.60 NVIDIA
[18:45:52.643] |I| [export_sceClibPrintf]:  sceGxmCreateContext(): 0x%08X

[18:45:52.644] |I| [export_sceClibPrintf]:  sceGxmCreateRenderTarget(): 0x%08X

[18:45:52.660] |I| [export_sceClibPrintf]:  sceGxmShaderPatcherCreate(): 0x%08X

[18:45:52.660] |I| [export_sceClibPrintf]:  clear_v sceGxmProgramCheck(): 0x%08X

[18:45:52.660] |I| [export_sceClibPrintf]:  clear_f sceGxmProgramCheck(): 0x%08X

[18:45:52.661] |I| [export_sceClibPrintf]:  color_v sceGxmProgramCheck(): 0x%08X

[18:45:52.661] |I| [export_sceClibPrintf]:  color_f sceGxmProgramCheck(): 0x%08X

[18:45:52.662] |I| [export_sceClibPrintf]:  texture_v sceGxmProgramCheck(): 0x%08X

[18:45:52.662] |I| [export_sceClibPrintf]:  texture_f sceGxmProgramCheck(): 0x%08X

[18:45:52.662] |I| [export_sceClibPrintf]:  texture_tint_f sceGxmProgramCheck(): 0x%08X

[18:45:52.663] |I| [export_sceClibPrintf]:  clear_v sceGxmShaderPatcherRegisterProgram(): 0x%08X

[18:45:52.663] |I| [export_sceClibPrintf]:  clear_f sceGxmShaderPatcherRegisterProgram(): 0x%08X

[18:45:52.664] |I| [export_sceClibPrintf]:  color_v sceGxmShaderPatcherRegisterProgram(): 0x%08X

[18:45:52.664] |I| [export_sceClibPrintf]:  color_f sceGxmShaderPatcherRegisterProgram(): 0x%08X

[18:45:52.665] |I| [export_sceClibPrintf]:  texture_v sceGxmShaderPatcherRegisterProgram(): 0x%08X

[18:45:52.665] |I| [export_sceClibPrintf]:  texture_f sceGxmShaderPatcherRegisterProgram(): 0x%08X

[18:45:52.666] |I| [export_sceClibPrintf]:  texture_tint_f sceGxmShaderPatcherRegisterProgram(): 0x%08X

[18:45:52.666] |I| [export_sceClibPrintf]:  clear sceGxmShaderPatcherCreateVertexProgram(): 0x%08X

[18:45:52.667] |I| [export_sceClibPrintf]:  clear sceGxmShaderPatcherCreateFragmentProgram(): 0x%08X

[18:45:52.668] |I| [export_sceClibPrintf]:  aPosition sceGxmProgramFindParameterByName(): %p

[18:45:52.668] |I| [export_sceClibPrintf]:  aColor sceGxmProgramFindParameterByName(): %p

[18:45:52.669] |I| [export_sceClibPrintf]:  color sceGxmShaderPatcherCreateVertexProgram(): 0x%08X

[18:45:52.671] |I| [export_sceClibPrintf]:  color sceGxmShaderPatcherCreateFragmentProgram(): 0x%08X

[18:45:52.673] |I| [export_sceClibPrintf]:  aPosition sceGxmProgramFindParameterByName(): %p

[18:45:52.673] |I| [export_sceClibPrintf]:  aTexcoord sceGxmProgramFindParameterByName(): %p

[18:45:52.674] |E| [get_vertex_glsl]:  Missing vertex shader 33438e5f6fc58e843d1192a60c01625653173aae559a26f169d40d1185dc6c4b
[18:45:52.674] |D| [generate_vertex_glsl]:  Generating vertex shader
[18:45:52.675] |D| [output_glsl_parameters]:  Vertex attribute: name:aPosition category:0 type:0 component_count:4 container_index:0
[18:45:52.675] |D| [output_glsl_parameters]:  Vertex attribute: name:aTexcoord category:0 type:0 component_count:4 container_index:0
[18:45:52.676] |D| [output_glsl_parameters]:  Vertex attribute: name:wvp category:1 type:0 component_count:4 container_index:e
[18:45:52.676] |D| [dump_missing_shader]:  Dumping GXM and GLSL shaders: 33438e5f6fc58e843d1192a60c01625653173aae559a26f169d40d1185dc6c4b
[18:45:52.678] |I| [export_sceClibPrintf]:  texture sceGxmShaderPatcherCreateVertexProgram(): 0x%08X

[18:45:52.678] |I| [export_sceClibPrintf]:  texture sceGxmShaderPatcherCreateFragmentProgram(): 0x%08X

