[01:41:50.113] |I| [SDL_main]:  Vita3K v0.1 666-68330f2
[01:41:50.547] |I| [init]:  Swap interval = -1
[01:41:58.035] |I| [load_app_impl]:  Title: PSP Homebrew Browser
[01:41:58.036] |I| [load_app_impl]:  Serial: ARKSPSPHB
[01:41:58.036] |I| [load_app_impl]:  Category: gd
[01:41:58.036] |D| [load_app_impl]:  Pre-load module at "sce_module/libc.suprx" not present
[01:41:58.036] |D| [load_app_impl]:  Pre-load module at "sce_module/libfios2.suprx" not present
[01:41:58.036] |D| [load_app_impl]:  Pre-load module at "sce_module/libult.suprx" not present
[01:41:58.124] |W| [relocate_entry]:  Unhandled relocation code 102.
[01:41:58.125] |I| [load_self]:  Loading symbols for SELF: app0:eboot.bin
[01:41:58.125] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x1881E0
[01:41:58.126] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x18823C
[01:41:58.126] |I| [load_app_impl]:  Main executable /PSPhbb.elf (eboot.bin) loaded
[01:41:58.152] |I| [export_sceIoOpen]:  Opening file: tty0:
[01:41:58.152] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[01:41:58.153] |I| [export_sceIoOpen]:  Opening file: tty0:
[01:41:58.153] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[01:41:58.153] |I| [export_sceIoOpen]:  Opening file: tty0:
[01:41:58.153] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[01:41:58.185] |W| [unimplemented_impl]:  Unimplemented sceAppMgrUmount import called.
[01:41:58.185] |E| [ret_error_impl]:  sceNetShowNetstat returned SCE_NET_ERROR_ENOTINIT (0x804101C8)
[01:41:58.186] |W| [unimplemented_impl]:  Unimplemented sceNetCtlInit import called.
[01:41:58.194] |W| [unimplemented_impl]:  Unimplemented sceClibVsnprintf import called.
[01:41:58.229] |I| [renderer::create]:  GL_VERSION = 4.1.0 NVIDIA 398.11
[01:41:58.230] |I| [renderer::create]:  GL_SHADING_LANGUAGE_VERSION = 4.10 NVIDIA via Cg compiler
[01:41:58.244] |T| [create_dir]:  sceIoMkdir: Removing dir ux0:data/PSPHbBrowser/ (ux0:data/PSPHbBrowser/)
[01:41:58.245] |T| [create_dir]:  sceIoMkdir: Removing dir ux0:app/ARKSPSPHB/dta/dnld/ (ux0:app/ARKSPSPHB/dta/dnld/)
[01:41:58.245] |T| [create_dir]:  sceIoMkdir: Removing dir ux0:data/PSPHbBrowser/icons/ (ux0:data/PSPHbBrowser/icons/)
[01:41:58.245] |T| [create_dir]:  sceIoMkdir: Removing dir ux0:data/PSPHbBrowser/previews/ (ux0:data/PSPHbBrowser/previews/)
[01:41:58.246] |W| [unimplemented_impl]:  Unimplemented sceTouchSetSamplingState import called.
[01:41:58.248] |I| [export_sceIoOpen]:  Opening file: ux0:data/PSPHbBrowser/psphbb.config
[01:41:58.248] |T| [open_file]:  sceIoOpen: Opening file ux0:data/PSPHbBrowser/psphbb.config (ux0:data/PSPHbBrowser/psphbb.config)
[01:41:58.250] |I| [export_sceIoOpen]:  Opening file: ux0:data/PSPHbBrowser/psphbb.config
[01:41:58.250] |T| [open_file]:  sceIoOpen: Opening file ux0:data/PSPHbBrowser/psphbb.config (ux0:data/PSPHbBrowser/psphbb.config)
[01:41:58.251] |I| [export_sceIoOpen]:  Opening file: ux0:data/PSPHbBrowser/psphbb.config
[01:41:58.251] |T| [open_file]:  sceIoOpen: Opening file ux0:data/PSPHbBrowser/psphbb.config (ux0:data/PSPHbBrowser/psphbb.config)
[01:41:58.252] |I| [export_sceIoOpen]:  Opening file: ux0:data/PSPHbBrowser/psphbb.config
[01:41:58.252] |T| [open_file]:  sceIoOpen: Opening file ux0:data/PSPHbBrowser/psphbb.config (ux0:data/PSPHbBrowser/psphbb.config)
[01:41:58.260] |I| [export_sceIoOpen]:  Opening file: ux0:app/ARKSPSPHB/dta/res/spr/img_sett_bg.png
[01:41:58.261] |T| [open_file]:  sceIoOpen: Opening file ux0:app/ARKSPSPHB/dta/res/spr/img_sett_bg.png (ux0:app/ARKSPSPHB/dta/res/spr/img_sett_bg.png)
[01:41:58.261] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[01:41:58.264] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[01:41:58.265] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 13
[01:41:58.265] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 4
[01:41:58.266] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[01:41:58.267] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 4
[01:41:58.267] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 4
[01:41:58.268] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[01:41:58.269] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 3
[01:41:58.269] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 3
