[05:17:47.442] |I| [SDL_main]:  Vita3K v0.1 666-68330f2
[05:17:47.850] |I| [init]:  Swap interval = -1
[05:17:53.324] |I| [load_app_impl]:  Title: Sudorku
[05:17:53.324] |I| [load_app_impl]:  Serial: SUDORKU00
[05:17:53.324] |I| [load_app_impl]:  Category: gd
[05:17:53.324] |D| [load_app_impl]:  Pre-load module at "sce_module/libc.suprx" not present
[05:17:53.325] |D| [load_app_impl]:  Pre-load module at "sce_module/libfios2.suprx" not present
[05:17:53.325] |D| [load_app_impl]:  Pre-load module at "sce_module/libult.suprx" not present
[05:17:53.413] |W| [relocate_entry]:  Unhandled relocation code 102.
[05:17:53.414] |W| [relocate_entry]:  Unhandled relocation code 102.
[05:17:53.414] |W| [relocate_entry]:  Unhandled relocation code 102.
[05:17:53.415] |W| [relocate_entry]:  Unhandled relocation code 102.
[05:17:53.415] |W| [relocate_entry]:  Unhandled relocation code 102.
[05:17:53.415] |I| [load_self]:  Loading symbols for SELF: app0:eboot.bin
[05:17:53.416] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x27C4C0
[05:17:53.416] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x27C51C
[05:17:53.416] |I| [load_app_impl]:  Main executable ONEluaVita3R1 (eboot.bin) loaded
[05:17:53.504] |I| [export_sceIoOpen]:  Opening file: tty0:
[05:17:53.505] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[05:17:53.505] |I| [export_sceIoOpen]:  Opening file: tty0:
[05:17:53.505] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[05:17:53.505] |I| [export_sceIoOpen]:  Opening file: tty0:
[05:17:53.505] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[05:17:53.561] |I| [renderer::create]:  GL_VERSION = 4.1.0 NVIDIA 398.11
[05:17:53.561] |I| [renderer::create]:  GL_SHADING_LANGUAGE_VERSION = 4.10 NVIDIA via Cg compiler
[05:17:53.583] |I| [load_module]:  Loading module ID: 0xE
[05:17:53.590] |I| [load_self]:  Loading symbols for SELF: sys/external/libpgf.suprx
[05:17:53.590] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0xDCA2A64
[05:17:53.590] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0xDCA2810
[05:17:53.590] |W| [load_var_imports]:  	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0xDCA2C50, setting to stub value 0xDEADBEEF
[05:17:53.590] |I| [load_module]:  Module SceLibPgf (at "sys/external/libpgf.suprx") loaded
[05:17:53.593] |W| [unimplemented_impl]:  Unimplemented sceShellUtilInitEvents import called.
[05:17:53.593] |W| [unimplemented_impl]:  Unimplemented sceTouchSetSamplingState import called.
[05:17:53.594] |W| [unimplemented_impl]:  Unimplemented sceAppUtilInit import called.
[05:17:53.594] |W| [unimplemented_impl]:  Unimplemented sceAppUtilMusicMount import called.
[05:17:53.594] |W| [unimplemented_impl]:  Unimplemented sceAppUtilPhotoMount import called.
[05:17:53.594] |W| [unimplemented_impl]:  Unimplemented sceCommonDialogSetConfigParam import called.
[05:17:53.594] |W| [unimplemented_impl]:  Unimplemented vshMemoryCardGetCardInsertState import called.
[05:17:53.594] |E| [ret_error_impl]:  sceNetShowNetstat returned SCE_NET_ERROR_ENOTINIT (0x804101C8)
[05:17:53.595] |W| [unimplemented_impl]:  Unimplemented sceNetCtlInit import called.
[05:17:53.595] |W| [unimplemented_impl]:  Unimplemented sceHttpInit import called.
[05:17:53.596] |W| [unimplemented_impl]:  Unimplemented sceSslInit import called.
[05:17:53.596] |W| [unimplemented_impl]:  Unimplemented sceHttpsDisableOption import called.
[05:17:53.596] |W| [unimplemented_impl]:  Unimplemented sceNetGetMacAddress import called.
[05:17:53.597] |W| [unimplemented_impl]:  Unimplemented sceSysmoduleLoadModuleInternalWithArg import called.
[05:17:53.598] |W| [unimplemented_impl]:  Unimplemented sceSysmoduleLoadModuleInternal import called.
[05:17:53.598] |W| [stubbed_impl]:  Stubbed sceKernelGetProcessId import called. (pid: 0)
[05:17:53.598] |W| [unimplemented_impl]:  Unimplemented sceIoDevctl import called.
[05:17:53.598] |W| [unimplemented_impl]:  Unimplemented sceAppMgrUmount import called.
[05:17:53.604] |I| [export_sceIoOpen]:  Opening file: ur0:/shell/db/app.db
[05:17:53.604] |T| [open_file]:  sceIoOpen: Opening file ur0:/shell/db/app.db (ur0:/shell/db/app.db)
[05:17:53.604] |W| [io_error_impl]:  open_file (sceIoOpen) returned 0xFFFFFFFF
[05:17:53.605] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0xFFFFFFFF at offset: 0x0, whence: SCE_SEEK_SET
[05:17:53.605] |W| [io_error_impl]:  seek_file (sceIoLseek) returned 0x80010051
[05:17:53.605] |T| [read_file]:  sceIoRead: Reading file: fd: 0xFFFFFFFF, size: 100
[05:17:53.605] |W| [io_error_impl]:  read_file (sceIoRead) returned 0x80010051
[05:17:53.606] |T| [close_file]:  sceIoClose: Closing file: fd: 0xFFFFFFFF
[05:17:53.607] |W| [unimplemented_impl]:  Unimplemented sceShellUtilLock import called.
[05:17:53.655] |W| [unimplemented_impl]:  Unimplemented sceMotionStartSampling import called.
[05:17:53.656] |T| [stat_file]:  sceIoGetstat: Statting file ux0:/app//oneFont.pgf (ux0:/app//oneFont.pgf)
[05:17:53.657] |W| [io_error_impl]:  stat_file (sceIoGetstat) returned 0xFFFFFFFF
[05:17:53.660] |I| [export_sceIoOpen]:  Opening file: sa0:data/font/pgf/jpn0.pgf
[05:17:53.660] |T| [open_file]:  sceIoOpen: Opening file sa0:data/font/pgf/jpn0.pgf (sa0:data/font/pgf/jpn0.pgf)
[05:17:53.661] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x0, whence: SCE_SEEK_SET
[05:17:53.661] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 12
[05:17:53.668] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 380
[05:17:53.670] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x188, whence: SCE_SEEK_SET
[05:17:53.670] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x188, whence: SCE_SEEK_SET
[05:17:53.671] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 2040
[05:17:53.671] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 2040
[05:17:53.672] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 2040
[05:17:53.672] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 848
[05:17:53.673] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x1CC0, whence: SCE_SEEK_SET
[05:17:53.673] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 1020
[05:17:53.674] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 114632
[05:17:53.675] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 23224
[05:17:53.682] |W| [unimplemented_impl]:  Unimplemented sceRtcConvertUtcToLocalTime import called.
[05:17:53.692] |W| [unimplemented_impl]:  Unimplemented sceAppMgrAcquireBgmPort import called.
[05:17:53.695] |I| [export_sceIoOpen]:  Opening file: ux0:/app//script.lua
[05:17:53.695] |T| [open_file]:  sceIoOpen: Opening file ux0:/app//script.lua (ux0:/app//script.lua)
[05:17:53.697] |W| [unimplemented_impl]:  Unimplemented sceShellUtilUnlock import called.
[05:17:53.934] |I| [export_sceIoOpen]:  Opening file: cannot open ux0:/app//script.lua
[05:17:53.934] |C| [vfs::get_device]:  Unknown device cannot open ux0:/app//script.lua used. Report this to developers!
[05:17:53.934] |T| [open_file]:  sceIoOpen: Opening file cannot open ux0:/app//script.lua (cannot open ux0:/app//script.lua)
[05:17:53.935] |E| [open_file]:  Unimplemented device cannot open ux0:/app//script.lua used
[05:17:53.935] |W| [io_error_impl]:  open_file (sceIoOpen) returned 0xFFFFFFFF
[05:17:53.959] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x24FD4, whence: SCE_SEEK_SET
[05:17:53.971] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[05:17:53.972] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 72
[05:17:53.974] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x24FD4, whence: SCE_SEEK_SET
[05:17:53.974] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[05:17:53.976] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 72
[05:17:53.980] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x26D14, whence: SCE_SEEK_SET
[05:17:53.980] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[05:17:53.982] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 70
[05:17:53.984] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x26D14, whence: SCE_SEEK_SET
[05:17:53.984] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[05:17:53.986] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 70
[05:17:53.989] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x26A78, whence: SCE_SEEK_SET
[05:17:53.990] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[05:17:53.991] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 81
[05:17:53.994] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x26A78, whence: SCE_SEEK_SET
[05:17:53.994] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[05:17:53.995] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 81
[05:17:53.999] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x23B3C, whence: SCE_SEEK_SET
[05:17:53.999] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[05:17:54.000] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 4
[05:17:54.003] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x23B3C, whence: SCE_SEEK_SET
[05:17:54.003] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[05:17:54.004] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 4
[05:17:54.006] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x25984, whence: SCE_SEEK_SET
[05:17:54.007] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[05:17:54.008] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 109
[05:17:54.011] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x25984, whence: SCE_SEEK_SET
[05:17:54.011] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[05:17:54.013] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 109
