[03:00:51.798] |I| [SDL_main]:  Vita3K v0.1 666-68330f2
[03:00:52.239] |I| [init]:  Swap interval = -1
[03:01:18.079] |I| [load_app_impl]:  Title: Super Hero Chronicles
[03:01:18.080] |I| [load_app_impl]:  Serial: SHC100001
[03:01:18.080] |I| [load_app_impl]:  Category: gd
[03:01:18.080] |D| [load_app_impl]:  Pre-load module at "sce_module/libc.suprx" not present
[03:01:18.080] |D| [load_app_impl]:  Pre-load module at "sce_module/libfios2.suprx" not present
[03:01:18.080] |D| [load_app_impl]:  Pre-load module at "sce_module/libult.suprx" not present
[03:01:18.167] |I| [load_self]:  Loading symbols for SELF: app0:eboot.bin
[03:01:18.167] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x1C4830
[03:01:18.168] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x1C488C
[03:01:18.168] |I| [load_app_impl]:  Main executable lpp-vita.elf (eboot.bin) loaded
[03:01:18.259] |I| [export_sceIoOpen]:  Opening file: tty0:
[03:01:18.260] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[03:01:18.260] |I| [export_sceIoOpen]:  Opening file: tty0:
[03:01:18.260] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[03:01:18.260] |I| [export_sceIoOpen]:  Opening file: tty0:
[03:01:18.260] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[03:01:18.448] |W| [unimplemented_impl]:  Unimplemented sceTouchSetSamplingState import called.
[03:01:18.449] |W| [unimplemented_impl]:  Unimplemented sceAppUtilInit import called.
[03:01:18.449] |W| [unimplemented_impl]:  Unimplemented sceCommonDialogSetConfigParam import called.
[03:01:18.449] |W| [unimplemented_impl]:  Unimplemented sceAppUtilMusicMount import called.
[03:01:18.449] |W| [unimplemented_impl]:  Unimplemented sceAppUtilPhotoMount import called.
[03:01:18.485] |I| [renderer::create]:  GL_VERSION = 4.1.0 NVIDIA 398.11
[03:01:18.486] |I| [renderer::create]:  GL_SHADING_LANGUAGE_VERSION = 4.10 NVIDIA via Cg compiler
[03:01:18.500] |I| [load_module]:  Loading module ID: 0xE
[03:01:18.501] |I| [load_self]:  Loading symbols for SELF: sys/external/libpgf.suprx
[03:01:18.501] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0xD020A64
[03:01:18.501] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0xD020810
[03:01:18.501] |W| [load_var_imports]:  	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0xD020C50, setting to stub value 0xDEADBEEF
[03:01:18.502] |I| [load_module]:  Module SceLibPgf (at "sys/external/libpgf.suprx") loaded
[03:01:18.504] |I| [export_sceIoOpen]:  Opening file: sa0:data/font/pgf/jpn0.pgf
[03:01:18.504] |T| [open_file]:  sceIoOpen: Opening file sa0:data/font/pgf/jpn0.pgf (sa0:data/font/pgf/jpn0.pgf)
[03:01:18.505] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x0, whence: SCE_SEEK_SET
