[00:11:41.273] |I| [SDL_main]:  Vita3K v0.1 666-68330f2
[00:11:41.662] |I| [init]:  Swap interval = -1
[00:11:51.091] |I| [load_app_impl]:  Title: TEMA
[00:11:51.091] |I| [load_app_impl]:  Serial: TEMA00001
[00:11:51.092] |I| [load_app_impl]:  Category: gd
[00:11:51.092] |D| [load_app_impl]:  Pre-load module at "sce_module/libc.suprx" not present
[00:11:51.092] |D| [load_app_impl]:  Pre-load module at "sce_module/libfios2.suprx" not present
[00:11:51.092] |D| [load_app_impl]:  Pre-load module at "sce_module/libult.suprx" not present
[00:11:51.114] |I| [load_self]:  Loading symbols for SELF: app0:eboot.bin
[00:11:51.115] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7C6F0
[00:11:51.115] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x7C74C
[00:11:51.115] |I| [load_app_impl]:  Main executable TEMA.elf (eboot.bin) loaded
[00:11:51.138] |I| [export_sceIoOpen]:  Opening file: tty0:
[00:11:51.139] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[00:11:51.139] |I| [export_sceIoOpen]:  Opening file: tty0:
[00:11:51.139] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[00:11:51.139] |I| [export_sceIoOpen]:  Opening file: tty0:
[00:11:51.139] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[00:11:51.180] |I| [renderer::create]:  GL_VERSION = 4.1.0 NVIDIA 398.11
[00:11:51.181] |I| [renderer::create]:  GL_SHADING_LANGUAGE_VERSION = 4.10 NVIDIA via Cg compiler
[00:11:51.193] |I| [load_module]:  Loading module ID: 0xE
[00:11:51.194] |I| [load_self]:  Loading symbols for SELF: sys/external/libpgf.suprx
[00:11:51.194] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x2EC1A64
[00:11:51.195] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x2EC1810
[00:11:51.195] |W| [load_var_imports]:  	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x2EC1C50, setting to stub value 0xDEADBEEF
[00:11:51.195] |I| [load_module]:  Module SceLibPgf (at "sys/external/libpgf.suprx") loaded
[00:11:51.198] |I| [export_sceIoOpen]:  Opening file: sa0:data/font/pgf/kr0.pgf
[00:11:51.199] |T| [open_file]:  sceIoOpen: Opening file sa0:data/font/pgf/kr0.pgf (sa0:data/font/pgf/kr0.pgf)
[00:11:51.200] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x0, whence: SCE_SEEK_SET
[00:11:51.200] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 12
[00:11:51.200] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 400
[00:11:51.202] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x19C, whence: SCE_SEEK_SET
[00:11:51.203] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x19C, whence: SCE_SEEK_SET
[00:11:51.204] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 2040
[00:11:51.204] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 2040
[00:11:51.204] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 1128
[00:11:51.204] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 16
[00:11:51.205] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x1604, whence: SCE_SEEK_SET
[00:11:51.206] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 388
[00:11:51.206] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 20
[00:11:51.206] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[00:11:51.207] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 21060
[00:11:51.207] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 25156
[00:11:51.209] |I| [export_sceIoOpen]:  Opening file: sa0:data/font/pgf/ltn0.pgf
[00:11:51.210] |T| [open_file]:  sceIoOpen: Opening file sa0:data/font/pgf/ltn0.pgf (sa0:data/font/pgf/ltn0.pgf)
[00:11:51.210] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x4 at offset: 0x0, whence: SCE_SEEK_SET
[00:11:51.210] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 12
