[03:42:25.615] |I| [SDL_main]:  Vita3K v0.1 666-68330f2
[03:42:26.011] |I| [init]:  Swap interval = -1
[03:42:35.208] |I| [load_app_impl]:  Title: VitaPad
[03:42:35.209] |I| [load_app_impl]:  Serial: VPAD00001
[03:42:35.209] |I| [load_app_impl]:  Category: gd
[03:42:35.209] |D| [load_app_impl]:  Pre-load module at "sce_module/libc.suprx" not present
[03:42:35.209] |D| [load_app_impl]:  Pre-load module at "sce_module/libfios2.suprx" not present
[03:42:35.209] |D| [load_app_impl]:  Pre-load module at "sce_module/libult.suprx" not present
[03:42:35.213] |I| [load_self]:  Loading symbols for SELF: app0:eboot.bin
[03:42:35.214] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0xA318
[03:42:35.214] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0xA374
[03:42:35.214] |I| [load_app_impl]:  Main executable VitaPad.elf (eboot.bin) loaded
[03:42:35.233] |I| [export_sceIoOpen]:  Opening file: tty0:
[03:42:35.233] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[03:42:35.233] |I| [export_sceIoOpen]:  Opening file: tty0:
[03:42:35.234] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[03:42:35.234] |I| [export_sceIoOpen]:  Opening file: tty0:
[03:42:35.234] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[03:42:35.234] |W| [unimplemented_impl]:  Unimplemented sceTouchSetSamplingState import called.
[03:42:35.267] |I| [renderer::create]:  GL_VERSION = 4.1.0 NVIDIA 398.11
[03:42:35.268] |I| [renderer::create]:  GL_SHADING_LANGUAGE_VERSION = 4.10 NVIDIA via Cg compiler
[03:42:35.281] |I| [load_module]:  Loading module ID: 0xE
[03:42:35.282] |I| [load_self]:  Loading symbols for SELF: sys/external/libpgf.suprx
[03:42:35.282] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x2E16A64
[03:42:35.283] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x2E16810
[03:42:35.283] |W| [load_var_imports]:  	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x2E16C50, setting to stub value 0xDEADBEEF
[03:42:35.283] |I| [load_module]:  Module SceLibPgf (at "sys/external/libpgf.suprx") loaded
[03:42:35.285] |I| [export_sceIoOpen]:  Opening file: sa0:data/font/pgf/jpn0.pgf
[03:42:35.285] |T| [open_file]:  sceIoOpen: Opening file sa0:data/font/pgf/jpn0.pgf (sa0:data/font/pgf/jpn0.pgf)
[03:42:35.286] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x0, whence: SCE_SEEK_SET
[03:42:35.287] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 12
[03:42:35.287] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 380
[03:42:35.289] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x188, whence: SCE_SEEK_SET
[03:42:35.289] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x188, whence: SCE_SEEK_SET
[03:42:35.291] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 2040
[03:42:35.291] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 2040
[03:42:35.291] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 2040
[03:42:35.291] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 848
[03:42:35.292] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x1CC0, whence: SCE_SEEK_SET
[03:42:35.293] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 1020
[03:42:35.293] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 114632
[03:42:35.294] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 23224
[03:42:35.296] |E| [ret_error_impl]:  sceNetShowNetstat returned SCE_NET_ERROR_ENOTINIT (0x804101C8)
[03:42:35.297] |W| [unimplemented_impl]:  Unimplemented sceNetCtlInit import called.
[03:42:35.310] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x25BC0, whence: SCE_SEEK_SET
[03:42:35.311] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[03:42:35.312] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 93
[03:42:35.314] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x25BC0, whence: SCE_SEEK_SET
[03:42:35.314] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[03:42:35.316] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 93
[03:42:35.321] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x26690, whence: SCE_SEEK_SET
[03:42:35.321] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[03:42:35.323] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 35
[03:42:35.325] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x26690, whence: SCE_SEEK_SET
[03:42:35.325] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[03:42:35.327] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 35
[03:42:35.330] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x26D14, whence: SCE_SEEK_SET
[03:42:35.330] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[03:42:35.332] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 70
[03:42:35.334] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x26D14, whence: SCE_SEEK_SET
[03:42:35.335] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[03:42:35.336] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 70
[03:42:35.340] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x26128, whence: SCE_SEEK_SET
[03:42:35.340] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[03:42:35.342] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 76
[03:42:35.344] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x26128, whence: SCE_SEEK_SET
[03:42:35.345] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[03:42:35.346] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 76
[03:42:35.350] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x25700, whence: SCE_SEEK_SET
[03:42:35.350] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[03:42:35.352] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 85
[03:42:35.355] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x25700, whence: SCE_SEEK_SET
[03:42:35.355] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[03:42:35.356] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 85
[03:42:35.361] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x26330, whence: SCE_SEEK_SET
[03:42:35.361] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[03:42:35.362] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 79
[03:42:35.364] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x26330, whence: SCE_SEEK_SET
[03:42:35.365] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[03:42:35.366] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 79
[03:42:35.369] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x23B3C, whence: SCE_SEEK_SET
[03:42:35.369] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[03:42:35.370] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 4
[03:42:35.373] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x23B3C, whence: SCE_SEEK_SET
[03:42:35.373] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[03:42:35.374] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 4
[03:42:35.376] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x26E40, whence: SCE_SEEK_SET
[03:42:35.376] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[03:42:35.378] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 72
[03:42:35.380] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x26E40, whence: SCE_SEEK_SET
[03:42:35.381] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[03:42:35.382] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 72
[03:42:35.385] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x24148, whence: SCE_SEEK_SET
[03:42:35.385] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[03:42:35.387] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 30
[03:42:35.389] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x24148, whence: SCE_SEEK_SET
[03:42:35.390] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[03:42:35.391] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 30
[03:42:35.394] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x24288, whence: SCE_SEEK_SET
[03:42:35.394] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[03:42:35.396] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 37
[03:42:35.398] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x24288, whence: SCE_SEEK_SET
[03:42:35.398] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[03:42:35.400] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 37
