[03:53:04.701] |I| [SDL_main]:  Vita3K v0.1 666-68330f2
[03:53:05.116] |I| [init]:  Swap interval = -1
[03:53:12.439] |I| [load_app_impl]:  Title: VitaToolbox
[03:53:12.440] |I| [load_app_impl]:  Serial: VITATLBOX
[03:53:12.440] |I| [load_app_impl]:  Category: gd
[03:53:12.440] |D| [load_app_impl]:  Pre-load module at "sce_module/libc.suprx" not present
[03:53:12.440] |D| [load_app_impl]:  Pre-load module at "sce_module/libfios2.suprx" not present
[03:53:12.440] |D| [load_app_impl]:  Pre-load module at "sce_module/libult.suprx" not present
[03:53:12.451] |W| [relocate_entry]:  Unhandled relocation code 102.
[03:53:12.451] |I| [load_self]:  Loading symbols for SELF: app0:eboot.bin
[03:53:12.451] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x368BC
[03:53:12.452] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x36918
[03:53:12.452] |I| [load_app_impl]:  Main executable VitaToolbox.elf (eboot.bin) loaded
[03:53:12.470] |I| [export_sceIoOpen]:  Opening file: tty0:
[03:53:12.471] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[03:53:12.471] |I| [export_sceIoOpen]:  Opening file: tty0:
[03:53:12.471] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[03:53:12.471] |I| [export_sceIoOpen]:  Opening file: tty0:
[03:53:12.471] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[03:53:12.472] |I| [load_module]:  Loading module ID: 0xE
[03:53:12.473] |I| [load_self]:  Loading symbols for SELF: sys/external/libpgf.suprx
[03:53:12.473] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x2098A64
[03:53:12.473] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x2098810
[03:53:12.473] |W| [load_var_imports]:  	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x2098C50, setting to stub value 0xDEADBEEF
[03:53:12.474] |I| [load_module]:  Module SceLibPgf (at "sys/external/libpgf.suprx") loaded
[03:53:12.518] |I| [renderer::create]:  GL_VERSION = 4.1.0 NVIDIA 398.11
[03:53:12.519] |I| [renderer::create]:  GL_SHADING_LANGUAGE_VERSION = 4.10 NVIDIA via Cg compiler
[03:53:12.535] |I| [export_sceIoOpen]:  Opening file: sa0:data/font/pgf/jpn0.pgf
[03:53:12.535] |T| [open_file]:  sceIoOpen: Opening file sa0:data/font/pgf/jpn0.pgf (sa0:data/font/pgf/jpn0.pgf)
[03:53:12.536] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x0, whence: SCE_SEEK_SET
[03:53:12.536] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 12
[03:53:12.536] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 380
[03:53:12.539] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x188, whence: SCE_SEEK_SET
[03:53:12.539] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x188, whence: SCE_SEEK_SET
[03:53:12.540] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 2040
[03:53:12.540] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 2040
[03:53:12.541] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 2040
[03:53:12.541] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 848
[03:53:12.542] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x1CC0, whence: SCE_SEEK_SET
[03:53:12.542] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 1020
[03:53:12.543] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 114632
[03:53:12.543] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 23224
[03:53:12.546] |I| [export_sceIoOpen]:  Opening file: app0:sce_sys/background/image.png
[03:53:12.546] |T| [open_file]:  sceIoOpen: Opening file app0:sce_sys/background/image.png (ux0:/app/VITATLBOX/sce_sys/background/image.png)
[03:53:12.547] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 8
[03:53:12.549] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 8
[03:53:12.549] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 13
[03:53:12.550] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 4
[03:53:12.551] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 8
[03:53:12.551] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 9
[03:53:12.551] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 4
[03:53:12.551] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 8
[03:53:12.552] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 81
[03:53:12.557] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 1024
[03:53:12.562] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 1024
[03:53:12.563] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 1024
[03:53:12.563] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 1024
[03:53:12.563] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 1024
[03:53:12.563] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 1024
[03:53:12.563] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 1024
[03:53:12.564] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 1024
[03:53:12.564] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 1024
