[23:43:07.339] |I| [SDL_main]:  Vita3K v0.1 666-68330f2
[23:43:07.764] |I| [init]:  Swap interval = -1
[23:43:21.087] |I| [load_app_impl]:  Title: Vita Activator
[23:43:21.088] |I| [load_app_impl]:  Serial: ACTI00000
[23:43:21.088] |I| [load_app_impl]:  Category: gd
[23:43:21.088] |D| [load_app_impl]:  Pre-load module at "sce_module/libc.suprx" not present
[23:43:21.088] |D| [load_app_impl]:  Pre-load module at "sce_module/libfios2.suprx" not present
[23:43:21.088] |D| [load_app_impl]:  Pre-load module at "sce_module/libult.suprx" not present
[23:43:21.094] |I| [load_self]:  Loading symbols for SELF: app0:eboot.bin
[23:43:21.094] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x15C6C
[23:43:21.095] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x15CC8
[23:43:21.095] |I| [load_app_impl]:  Main executable out/vita-activator.elf (eboot.bin) loaded
[23:43:21.114] |I| [export_sceIoOpen]:  Opening file: tty0:
[23:43:21.114] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[23:43:21.114] |I| [export_sceIoOpen]:  Opening file: tty0:
[23:43:21.115] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[23:43:21.115] |I| [export_sceIoOpen]:  Opening file: tty0:
[23:43:21.115] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[23:43:21.115] |W| [unimplemented_impl]:  Unimplemented sceAppUtilInit import called.
[23:43:21.115] |W| [unimplemented_impl]:  Unimplemented sceCommonDialogSetConfigParam import called.
[23:43:21.160] |I| [renderer::create]:  GL_VERSION = 4.1.0 NVIDIA 398.11
[23:43:21.160] |I| [renderer::create]:  GL_SHADING_LANGUAGE_VERSION = 4.10 NVIDIA via Cg compiler
[23:43:21.175] |I| [load_module]:  Loading module ID: 0xE
[23:43:21.176] |I| [load_self]:  Loading symbols for SELF: sys/external/libpgf.suprx
