[22:43:25.805] |I| [SDL_main]:  Vita3K v0.1 666-68330f2
[22:43:26.210] |I| [init]:  Swap interval = -1
[22:43:30.041] |I| [load_app_impl]:  Title: Yakzee
[22:43:30.041] |I| [load_app_impl]:  Serial: YAKZEE000
[22:43:30.041] |I| [load_app_impl]:  Category: gd
[22:43:30.042] |D| [load_app_impl]:  Pre-load module at "sce_module/libc.suprx" not present
[22:43:30.042] |D| [load_app_impl]:  Pre-load module at "sce_module/libfios2.suprx" not present
[22:43:30.042] |D| [load_app_impl]:  Pre-load module at "sce_module/libult.suprx" not present
[22:43:30.125] |W| [relocate_entry]:  Unhandled relocation code 102.
[22:43:30.125] |W| [relocate_entry]:  Unhandled relocation code 102.
[22:43:30.126] |W| [relocate_entry]:  Unhandled relocation code 102.
[22:43:30.126] |W| [relocate_entry]:  Unhandled relocation code 102.
[22:43:30.127] |W| [relocate_entry]:  Unhandled relocation code 102.
[22:43:30.127] |I| [load_self]:  Loading symbols for SELF: app0:eboot.bin
[22:43:30.127] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x27C4C0
[22:43:30.127] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x27C51C
[22:43:30.127] |I| [load_app_impl]:  Main executable ONEluaVita3R1 (eboot.bin) loaded
[22:43:30.255] |I| [export_sceIoOpen]:  Opening file: tty0:
[22:43:30.255] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[22:43:30.255] |I| [export_sceIoOpen]:  Opening file: tty0:
[22:43:30.255] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[22:43:30.255] |I| [export_sceIoOpen]:  Opening file: tty0:
[22:43:30.256] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[22:43:30.294] |I| [renderer::create]:  GL_VERSION = 4.1.0 NVIDIA 398.11
[22:43:30.294] |I| [renderer::create]:  GL_SHADING_LANGUAGE_VERSION = 4.10 NVIDIA via Cg compiler
[22:43:30.315] |I| [load_module]:  Loading module ID: 0xE
[22:43:30.317] |I| [load_self]:  Loading symbols for SELF: sys/external/libpgf.suprx
[22:43:30.317] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0xDCA2A64
[22:43:30.317] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0xDCA2810
[22:43:30.317] |W| [load_var_imports]:  	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0xDCA2C50, setting to stub value 0xDEADBEEF
[22:43:30.317] |I| [load_module]:  Module SceLibPgf (at "sys/external/libpgf.suprx") loaded
[22:43:30.320] |W| [unimplemented_impl]:  Unimplemented sceShellUtilInitEvents import called.
