[03:31:11.205] |I| [SDL_main]:  Vita3K v0.1 666-68330f2
[03:31:11.664] |I| [init]:  Swap interval = -1
[03:31:18.396] |I| [load_app_impl]:  Title: Zsokoban
[03:31:18.396] |I| [load_app_impl]:  Serial: ZSOKOBAN1
[03:31:18.396] |I| [load_app_impl]:  Category: gd
[03:31:18.397] |D| [load_app_impl]:  Pre-load module at "sce_module/libc.suprx" not present
[03:31:18.397] |D| [load_app_impl]:  Pre-load module at "sce_module/libfios2.suprx" not present
[03:31:18.397] |D| [load_app_impl]:  Pre-load module at "sce_module/libult.suprx" not present
[03:31:18.452] |W| [relocate_entry]:  Unhandled relocation code 102.
[03:31:18.453] |W| [relocate_entry]:  Unhandled relocation code 102.
[03:31:18.454] |W| [relocate_entry]:  Unhandled relocation code 102.
[03:31:18.454] |W| [relocate_entry]:  Unhandled relocation code 102.
[03:31:18.454] |W| [relocate_entry]:  Unhandled relocation code 102.
[03:31:18.454] |W| [relocate_entry]:  Unhandled relocation code 102.
[03:31:18.454] |W| [relocate_entry]:  Unhandled relocation code 102.
[03:31:18.454] |W| [relocate_entry]:  Unhandled relocation code 102.
[03:31:18.454] |W| [relocate_entry]:  Unhandled relocation code 102.
[03:31:18.455] |W| [relocate_entry]:  Unhandled relocation code 102.
[03:31:18.455] |W| [relocate_entry]:  Unhandled relocation code 102.
[03:31:18.455] |I| [load_self]:  Loading symbols for SELF: app0:eboot.bin
[03:31:18.455] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x18DB80
[03:31:18.455] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x18DBDC
[03:31:18.455] |I| [load_app_impl]:  Main executable ONEluaVita2R1 (eboot.bin) loaded
[03:31:18.574] |I| [export_sceIoOpen]:  Opening file: tty0:
[03:31:18.575] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[03:31:18.575] |I| [export_sceIoOpen]:  Opening file: tty0:
[03:31:18.575] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[03:31:18.575] |I| [export_sceIoOpen]:  Opening file: tty0:
[03:31:18.575] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[03:31:18.629] |I| [renderer::create]:  GL_VERSION = 4.1.0 NVIDIA 398.11
[03:31:18.629] |I| [renderer::create]:  GL_SHADING_LANGUAGE_VERSION = 4.10 NVIDIA via Cg compiler
[03:31:18.643] |I| [load_module]:  Loading module ID: 0xE
[03:31:18.644] |I| [load_self]:  Loading symbols for SELF: sys/external/libpgf.suprx
[03:31:18.644] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0xD07DA64
[03:31:18.644] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0xD07D810
[03:31:18.644] |W| [load_var_imports]:  	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0xD07DC50, setting to stub value 0xDEADBEEF
[03:31:18.645] |I| [load_module]:  Module SceLibPgf (at "sys/external/libpgf.suprx") loaded
[03:31:18.645] |W| [unimplemented_impl]:  Unimplemented sceShellUtilInitEvents import called.
[03:31:18.646] |W| [unimplemented_impl]:  Unimplemented sceTouchSetSamplingState import called.
[03:31:18.646] |W| [unimplemented_impl]:  Unimplemented sceAppUtilInit import called.
[03:31:18.646] |W| [unimplemented_impl]:  Unimplemented sceAppUtilMusicMount import called.
[03:31:18.646] |W| [unimplemented_impl]:  Unimplemented sceAppUtilPhotoMount import called.
[03:31:18.646] |W| [unimplemented_impl]:  Unimplemented sceCommonDialogSetConfigParam import called.
[03:31:18.647] |E| [ret_error_impl]:  sceNetShowNetstat returned SCE_NET_ERROR_ENOTINIT (0x804101C8)
[03:31:18.648] |W| [unimplemented_impl]:  Unimplemented sceNetCtlInit import called.
[03:31:18.648] |W| [unimplemented_impl]:  Unimplemented sceHttpInit import called.
[03:31:18.648] |W| [unimplemented_impl]:  Unimplemented sceSslInit import called.
[03:31:18.649] |W| [unimplemented_impl]:  Unimplemented sceHttpsDisableOption import called.
[03:31:18.649] |W| [unimplemented_impl]:  Unimplemented sceNetGetMacAddress import called.
[03:31:18.651] |W| [stubbed_impl]:  Stubbed sceKernelGetProcessId import called. (pid: 0)
[03:31:18.651] |W| [unimplemented_impl]:  Unimplemented sceIoDevctl import called.
[03:31:18.651] |W| [unimplemented_impl]:  Unimplemented sceAppMgrUmount import called.
[03:31:18.657] |I| [export_sceIoOpen]:  Opening file: ur0:/shell/db/app.db
[03:31:18.657] |T| [open_file]:  sceIoOpen: Opening file ur0:/shell/db/app.db (ur0:/shell/db/app.db)
[03:31:18.657] |W| [io_error_impl]:  open_file (sceIoOpen) returned 0xFFFFFFFF
[03:31:18.658] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0xFFFFFFFF at offset: 0x0, whence: SCE_SEEK_SET
[03:31:18.658] |W| [io_error_impl]:  seek_file (sceIoLseek) returned 0x80010051
[03:31:18.658] |T| [read_file]:  sceIoRead: Reading file: fd: 0xFFFFFFFF, size: 100
[03:31:18.658] |W| [io_error_impl]:  read_file (sceIoRead) returned 0x80010051
[03:31:18.659] |T| [close_file]:  sceIoClose: Closing file: fd: 0xFFFFFFFF
[03:31:18.660] |W| [unimplemented_impl]:  Unimplemented sceShellUtilLock import called.
[03:31:18.703] |W| [unimplemented_impl]:  Unimplemented sceAppMgrAcquireBgmPort import called.
[03:31:18.712] |W| [unimplemented_impl]:  Unimplemented sceMotionStartSampling import called.
[03:31:18.712] |T| [stat_file]:  sceIoGetstat: Statting file ux0:/app//oneFont.pgf (ux0:/app//oneFont.pgf)
[03:31:18.713] |W| [io_error_impl]:  stat_file (sceIoGetstat) returned 0xFFFFFFFF
[03:31:18.717] |I| [export_sceIoOpen]:  Opening file: sa0:data/font/pgf/jpn0.pgf
