[01:32:49.423] |I| [SDL_main]:  Vita3K v0.1 666-68330f2
[01:32:49.826] |I| [init]:  Swap interval = -1
[01:32:59.266] |I| [load_app_impl]:  Title: ePSP Bubble Installer 
[01:32:59.266] |I| [load_app_impl]:  Serial: EPSPINSTA
[01:32:59.266] |I| [load_app_impl]:  Category: gd
[01:32:59.267] |D| [load_app_impl]:  Pre-load module at "sce_module/libc.suprx" not present
[01:32:59.267] |D| [load_app_impl]:  Pre-load module at "sce_module/libfios2.suprx" not present
[01:32:59.267] |D| [load_app_impl]:  Pre-load module at "sce_module/libult.suprx" not present
[01:32:59.352] |I| [load_self]:  Loading symbols for SELF: app0:eboot.bin
[01:32:59.353] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x1C4830
[01:32:59.354] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x1C488C
[01:32:59.354] |I| [load_app_impl]:  Main executable lpp-vita.elf (eboot.bin) loaded
[01:32:59.444] |I| [export_sceIoOpen]:  Opening file: tty0:
[01:32:59.445] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[01:32:59.445] |I| [export_sceIoOpen]:  Opening file: tty0:
[01:32:59.445] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[01:32:59.445] |I| [export_sceIoOpen]:  Opening file: tty0:
[01:32:59.445] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[01:32:59.619] |W| [unimplemented_impl]:  Unimplemented sceTouchSetSamplingState import called.
[01:32:59.619] |W| [unimplemented_impl]:  Unimplemented sceAppUtilInit import called.
[01:32:59.619] |W| [unimplemented_impl]:  Unimplemented sceCommonDialogSetConfigParam import called.
[01:32:59.619] |W| [unimplemented_impl]:  Unimplemented sceAppUtilMusicMount import called.
[01:32:59.620] |W| [unimplemented_impl]:  Unimplemented sceAppUtilPhotoMount import called.
[01:32:59.653] |I| [renderer::create]:  GL_VERSION = 4.1.0 NVIDIA 398.11
[01:32:59.654] |I| [renderer::create]:  GL_SHADING_LANGUAGE_VERSION = 4.10 NVIDIA via Cg compiler
[01:32:59.668] |I| [load_module]:  Loading module ID: 0xE
[01:32:59.669] |I| [load_self]:  Loading symbols for SELF: sys/external/libpgf.suprx
[01:32:59.669] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0xD020A64
[01:32:59.669] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0xD020810
[01:32:59.669] |W| [load_var_imports]:  	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0xD020C50, setting to stub value 0xDEADBEEF
[01:32:59.669] |I| [load_module]:  Module SceLibPgf (at "sys/external/libpgf.suprx") loaded
[01:32:59.671] |I| [export_sceIoOpen]:  Opening file: sa0:data/font/pgf/jpn0.pgf
[01:32:59.672] |T| [open_file]:  sceIoOpen: Opening file sa0:data/font/pgf/jpn0.pgf (sa0:data/font/pgf/jpn0.pgf)
[01:32:59.673] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x0, whence: SCE_SEEK_SET
[01:32:59.673] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 12
[01:32:59.673] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 380
[01:32:59.676] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x188, whence: SCE_SEEK_SET
[01:32:59.676] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x188, whence: SCE_SEEK_SET
[01:32:59.677] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 2040
[01:32:59.677] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 2040
[01:32:59.677] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 2040
[01:32:59.678] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 848
[01:32:59.678] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x1CC0, whence: SCE_SEEK_SET
[01:32:59.679] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 1020
[01:32:59.679] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 114632
[01:32:59.680] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 23224
[01:32:59.682] |I| [export_sceIoOpen]:  Opening file: app0:/index.lua
[01:32:59.682] |T| [open_file]:  sceIoOpen: Opening file app0:/index.lua (ux0:/app/EPSPINSTA//index.lua)
[01:32:59.683] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x4 at offset: 0x0, whence: SCE_SEEK_END
[01:32:59.683] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x4 at offset: 0x0, whence: SCE_SEEK_SET
[01:32:59.683] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 6803
[01:32:59.683] |T| [close_file]:  sceIoClose: Closing file: fd: 0x4
[01:32:59.729] |I| [export_sceIoOpen]:  Opening file: app0:gekihen-splash-screen-by-windvern.png
[01:32:59.730] |T| [open_file]:  sceIoOpen: Opening file app0:gekihen-splash-screen-by-windvern.png (ux0:/app/EPSPINSTA/gekihen-splash-screen-by-windvern.png)
[01:32:59.730] |T| [read_file]:  sceIoRead: Reading file: fd: 0x5, size: 2
[01:32:59.731] |T| [close_file]:  sceIoClose: Closing file: fd: 0x5
[01:32:59.731] |I| [export_sceIoOpen]:  Opening file: app0:gekihen-splash-screen-by-windvern.png
[01:32:59.731] |T| [open_file]:  sceIoOpen: Opening file app0:gekihen-splash-screen-by-windvern.png (ux0:/app/EPSPINSTA/gekihen-splash-screen-by-windvern.png)
[01:32:59.731] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 8
[01:32:59.733] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 8
[01:32:59.734] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 13
[01:32:59.734] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 4
[01:32:59.735] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 8
[01:32:59.736] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 4
[01:32:59.736] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 4
[01:32:59.736] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 8
[01:32:59.736] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 1
[01:32:59.737] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 4
[01:32:59.737] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 8
[01:32:59.738] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.738] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.738] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.738] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.738] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.738] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.738] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.738] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.738] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.739] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.740] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.740] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.740] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.740] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.740] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.740] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.740] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.740] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.741] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.741] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.741] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.741] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.741] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.741] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.741] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.741] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.741] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.741] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.742] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.742] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.742] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.742] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.742] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.742] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.742] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.742] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.742] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.742] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.743] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.743] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.743] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.743] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.743] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.743] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.743] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.743] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.743] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.744] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.744] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.744] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.744] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.744] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.744] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.744] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.744] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.744] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.744] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.744] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.745] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.745] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.745] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.745] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.745] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.745] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.745] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.745] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.745] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.745] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
[01:32:59.746] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 3
