[02:11:56.293] |I| [config::init]: log-level: 0
[02:11:56.294] |I| [config::init]: log-imports: false
[02:11:56.294] |I| [config::init]: log-exports: false
[02:11:56.295] |I| [config::init]: log-active-shaders: false
[02:11:56.295] |I| [config::init]: log-uniforms: false
[02:11:56.297] |I| [SDL_main]: Vita3K v0.1 790-be6ba6b
[02:11:56.875] |I| [init]: Swap interval = -1
[02:12:16.381] |I| [load_app_impl]: Title: sdlpal
[02:12:16.381] |I| [load_app_impl]: Serial: SDLPAL001
[02:12:16.381] |I| [load_app_impl]: Category: gd
[02:12:16.382] |D| [load_app_impl]: Pre-load module at "sce_module/libc.suprx" not present
[02:12:16.382] |D| [load_app_impl]: Pre-load module at "sce_module/libfios2.suprx" not present
[02:12:16.382] |D| [load_app_impl]: Pre-load module at "sce_module/libult.suprx" not present
[02:12:16.447] |W| [relocate_entry]: Unhandled relocation code 102.
[02:12:16.448] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[02:12:16.448] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x293EF0
[02:12:16.448] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x293F4C
[02:12:16.448] |I| [load_app_impl]: Main executable sdlpal.elf (eboot.bin) loaded
[02:12:16.509] |I| [export_sceIoOpen]: Opening file: tty0:
[02:12:16.510] |T| [open_file]: sceIoOpen: Opening file tty0: (tty0:)
[02:12:16.510] |I| [export_sceIoOpen]: Opening file: tty0:
[02:12:16.510] |T| [open_file]: sceIoOpen: Opening file tty0: (tty0:)
[02:12:16.510] |I| [export_sceIoOpen]: Opening file: tty0:
[02:12:16.510] |T| [open_file]: sceIoOpen: Opening file tty0: (tty0:)
[02:12:16.519] |T| [stat_file]: sceIoGetstat: Statting file ux0:data/sdlpal/sdlpal.cfg (ux0:data/sdlpal/sdlpal.cfg)
[02:12:16.520] |I| [export_sceIoOpen]: Opening file: ux0:data/sdlpal/sdlpal.cfg
[02:12:16.520] |T| [open_file]: sceIoOpen: Opening file ux0:data/sdlpal/sdlpal.cfg (ux0:data/sdlpal/sdlpal.cfg)
[02:12:16.521] |T| [stat_file]: sceIoGetstatByFd: Statting file ux0:data/sdlpal/sdlpal.cfg (ux0:data/sdlpal/sdlpal.cfg)
[02:12:16.522] |T| [read_file]: sceIoRead: Reading file: fd: 0x3, size: 1024
[02:12:16.525] |T| [read_file]: sceIoRead: Reading file: fd: 0x3, size: 1024
[02:12:16.526] |T| [close_file]: sceIoClose: Closing file: fd: 0x3
[02:12:16.531] |W| [unimplemented_impl]: Unimplemented sceKernelCreateCallback import called.
[02:12:16.531] |W| [unimplemented_impl]: Unimplemented scePowerRegisterCallback import called.
[02:12:16.532] |W| [stubbed_impl]: Stubbed sceKernelDelayThreadCB import called. (no CB, bad accuracy)
[02:12:16.535] |W| [unimplemented_impl]: Unimplemented sceTouchEnableTouchForce import called.
[02:12:16.536] |W| [unimplemented_impl]: Unimplemented sceHidKeyboardEnumerate import called.
[02:12:16.536] |W| [unimplemented_impl]: Unimplemented sceHidMouseEnumerate import called.
[02:12:16.540] |T| [stat_file]: sceIoGetstat: Statting file ux0:data/sdlpal/fbp.mkf (ux0:data/sdlpal/fbp.mkf)
[02:12:16.540] |I| [export_sceIoOpen]: Opening file: ux0:data/sdlpal/fbp.mkf
[02:12:16.540] |T| [open_file]: sceIoOpen: Opening file ux0:data/sdlpal/fbp.mkf (ux0:data/sdlpal/fbp.mkf)
[02:12:16.541] |T| [stat_file]: sceIoGetstat: Statting file ux0:data/sdlpal/mgo.mkf (ux0:data/sdlpal/mgo.mkf)
[02:12:16.541] |I| [export_sceIoOpen]: Opening file: ux0:data/sdlpal/mgo.mkf
[02:12:16.541] |T| [open_file]: sceIoOpen: Opening file ux0:data/sdlpal/mgo.mkf (ux0:data/sdlpal/mgo.mkf)
[02:12:16.542] |T| [stat_file]: sceIoGetstat: Statting file ux0:data/sdlpal/ball.mkf (ux0:data/sdlpal/ball.mkf)
[02:12:16.542] |I| [export_sceIoOpen]: Opening file: ux0:data/sdlpal/ball.mkf
[02:12:16.542] |T| [open_file]: sceIoOpen: Opening file ux0:data/sdlpal/ball.mkf (ux0:data/sdlpal/ball.mkf)
[02:12:16.543] |T| [stat_file]: sceIoGetstat: Statting file ux0:data/sdlpal/data.mkf (ux0:data/sdlpal/data.mkf)
[02:12:16.543] |I| [export_sceIoOpen]: Opening file: ux0:data/sdlpal/data.mkf
[02:12:16.543] |T| [open_file]: sceIoOpen: Opening file ux0:data/sdlpal/data.mkf (ux0:data/sdlpal/data.mkf)
[02:12:16.544] |T| [stat_file]: sceIoGetstat: Statting file ux0:data/sdlpal/f.mkf (ux0:data/sdlpal/f.mkf)
[02:12:16.544] |I| [export_sceIoOpen]: Opening file: ux0:data/sdlpal/f.mkf
[02:12:16.544] |T| [open_file]: sceIoOpen: Opening file ux0:data/sdlpal/f.mkf (ux0:data/sdlpal/f.mkf)
[02:12:16.545] |T| [stat_file]: sceIoGetstat: Statting file ux0:data/sdlpal/fire.mkf (ux0:data/sdlpal/fire.mkf)
[02:12:16.545] |I| [export_sceIoOpen]: Opening file: ux0:data/sdlpal/fire.mkf
[02:12:16.545] |T| [open_file]: sceIoOpen: Opening file ux0:data/sdlpal/fire.mkf (ux0:data/sdlpal/fire.mkf)
[02:12:16.546] |T| [stat_file]: sceIoGetstat: Statting file ux0:data/sdlpal/rgm.mkf (ux0:data/sdlpal/rgm.mkf)
[02:12:16.546] |I| [export_sceIoOpen]: Opening file: ux0:data/sdlpal/rgm.mkf
[02:12:16.546] |T| [open_file]: sceIoOpen: Opening file ux0:data/sdlpal/rgm.mkf (ux0:data/sdlpal/rgm.mkf)
[02:12:16.547] |T| [stat_file]: sceIoGetstat: Statting file ux0:data/sdlpal/sss.mkf (ux0:data/sdlpal/sss.mkf)
