[12:02:51.383] |I| [config::init_config]: backend-renderer: OpenGL
[12:02:51.383] |I| [config::init_config]: log-level: 0
[12:02:51.468] |I| [SDL_main]: Vita3K v0.1 1734-aebc9fb0
[12:02:51.813] |I| [renderer::gl::create]: Swap interval = -1
[12:02:51.815] |I| [renderer::gl::create]: GPU = AMD Radeon RX 5700 XT
[12:02:51.815] |I| [renderer::gl::create]: GL_VERSION = 4.5.14736 Core Profile Context 20.11.1 27.20.12033.2007
[12:02:51.815] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[12:02:51.815] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[12:02:51.816] |W| [renderer::gl::create]: Consider updating to GPU that has shader interlock.
[12:03:01.103] |I| [load_app_impl]: ngs experimental state: false
[12:03:01.103] |I| [load_app_impl]: Title: vOpenTiryan
[12:03:01.103] |I| [load_app_impl]: Serial: VOPTIRYAN
[12:03:01.103] |I| [load_app_impl]: Version: 00.00
[12:03:01.104] |I| [load_app_impl]: Category: gd
[12:03:01.117] |C| [load_self]: Unknown segment type 0x6FFFFF01
[12:03:01.117] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x000558A4 / 0x81000000] (size: 0x000518A4) of module vs0:sys/external/libc.suprx
[12:03:01.117] |I| [load_self]: Loaded module segment 1 @ [0x00056000 - 0x000588A0 / 0x81052000] (size: 0x000028A0) of module vs0:sys/external/libc.suprx
[12:03:01.118] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libc.suprx
[12:03:01.118] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4B314
[12:03:01.118] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x404DC
[12:03:01.118] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x4463C, setting to stub value 0xDEADBEEF
[12:03:01.119] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x461D0, setting to stub value 0xDEADBEEF
[12:03:01.119] |I| [pre_load_module]: Pre-load module SceLibc (at "sys/external/libc.suprx") loaded
[12:03:01.126] |C| [load_self]: Unknown segment type 0x6FFFFF01
[12:03:01.126] |I| [load_self]: Loaded module segment 0 @ [0x0005B000 - 0x00087CBF / 0x81000000] (size: 0x0002CCBF) of module vs0:sys/external/libfios2.suprx
[12:03:01.127] |I| [load_self]: Loaded module segment 1 @ [0x00088000 - 0x0008D255 / 0x8102D000] (size: 0x00005255) of module vs0:sys/external/libfios2.suprx
[12:03:01.127] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libfios2.suprx
