[03:56:38.999] |I| [SDL_main]:  Vita3K v0.1 666-68330f2
[03:56:39.412] |I| [init]:  Swap interval = -1
[03:56:46.994] |I| [load_app_impl]:  Title: vitaWanted
[03:56:46.995] |I| [load_app_impl]:  Serial: WNTD00001
[03:56:46.995] |I| [load_app_impl]:  Category: gd
[03:56:46.995] |D| [load_app_impl]:  Pre-load module at "sce_module/libc.suprx" not present
[03:56:46.995] |D| [load_app_impl]:  Pre-load module at "sce_module/libfios2.suprx" not present
[03:56:46.995] |D| [load_app_impl]:  Pre-load module at "sce_module/libult.suprx" not present
[03:56:47.081] |I| [load_self]:  Loading symbols for SELF: app0:eboot.bin
[03:56:47.081] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x1C3680
[03:56:47.082] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x1C36DC
[03:56:47.082] |I| [load_app_impl]:  Main executable lpp-vita.elf (eboot.bin) loaded
[03:56:47.165] |I| [export_sceIoOpen]:  Opening file: tty0:
[03:56:47.166] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[03:56:47.166] |I| [export_sceIoOpen]:  Opening file: tty0:
[03:56:47.166] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[03:56:47.166] |I| [export_sceIoOpen]:  Opening file: tty0:
[03:56:47.166] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[03:56:47.338] |W| [unimplemented_impl]:  Unimplemented sceTouchSetSamplingState import called.
[03:56:47.339] |W| [unimplemented_impl]:  Unimplemented sceAppUtilInit import called.
[03:56:47.339] |W| [unimplemented_impl]:  Unimplemented sceAppUtilMusicMount import called.
[03:56:47.339] |W| [unimplemented_impl]:  Unimplemented sceAppUtilPhotoMount import called.
[03:56:47.376] |I| [renderer::create]:  GL_VERSION = 4.1.0 NVIDIA 398.11
[03:56:47.376] |I| [renderer::create]:  GL_SHADING_LANGUAGE_VERSION = 4.10 NVIDIA via Cg compiler
[03:56:47.390] |I| [load_module]:  Loading module ID: 0xE
[03:56:47.391] |I| [load_self]:  Loading symbols for SELF: sys/external/libpgf.suprx
[03:56:47.391] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0xD01FA64
[03:56:47.391] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0xD01F810
[03:56:47.392] |W| [load_var_imports]:  	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0xD01FC50, setting to stub value 0xDEADBEEF
[03:56:47.392] |I| [load_module]:  Module SceLibPgf (at "sys/external/libpgf.suprx") loaded
[03:56:47.394] |I| [export_sceIoOpen]:  Opening file: sa0:data/font/pgf/jpn0.pgf
[03:56:47.394] |T| [open_file]:  sceIoOpen: Opening file sa0:data/font/pgf/jpn0.pgf (sa0:data/font/pgf/jpn0.pgf)
[03:56:47.394] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x0, whence: SCE_SEEK_SET
[03:56:47.395] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 12
[03:56:47.395] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 380
[03:56:47.398] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x188, whence: SCE_SEEK_SET
[03:56:47.398] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x188, whence: SCE_SEEK_SET
[03:56:47.399] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 2040
[03:56:47.399] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 2040
[03:56:47.399] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 2040
[03:56:47.399] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 848
[03:56:47.400] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x1CC0, whence: SCE_SEEK_SET
[03:56:47.401] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 1020
[03:56:47.401] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 114632
[03:56:47.401] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 23224
[03:56:47.403] |I| [export_sceIoOpen]:  Opening file: app0:/index.lua
[03:56:47.404] |T| [open_file]:  sceIoOpen: Opening file app0:/index.lua (ux0:/app/WNTD00001//index.lua)
[03:56:47.405] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x4 at offset: 0x0, whence: SCE_SEEK_END
[03:56:47.405] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x4 at offset: 0x0, whence: SCE_SEEK_SET
[03:56:47.405] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 5650
[03:56:47.405] |T| [close_file]:  sceIoClose: Closing file: fd: 0x4
[03:56:47.459] |W| [unimplemented_impl]:  Unimplemented sceAudioOutSetConfig import called.
[03:56:47.459] |W| [unimplemented_impl]:  Unimplemented sceAudioOutSetVolume import called.
[03:56:47.489] |I| [export_sceIoOpen]:  Opening file: app0:/sfx/clap.ogg
[03:56:47.489] |T| [open_file]:  sceIoOpen: Opening file app0:/sfx/clap.ogg (ux0:/app/WNTD00001//sfx/clap.ogg)
[03:56:47.490] |T| [stat_file]:  sceIoGetstatByFd: Statting file app0:/sfx/clap.ogg (ux0:/app/WNTD00001//sfx/clap.ogg)
[03:56:47.491] |T| [read_file]:  sceIoRead: Reading file: fd: 0x5, size: 1024
[03:56:47.492] |T| [seek_file]:  sceIoLseek32: Seeking file: fd: 0x5 at offset: 0x0, whence: SCE_SEEK_CUR
[03:56:47.492] |I| [export_sceIoOpen]:  Opening file: app0:/sfx/boo.ogg
[03:56:47.492] |T| [open_file]:  sceIoOpen: Opening file app0:/sfx/boo.ogg (ux0:/app/WNTD00001//sfx/boo.ogg)
[03:56:47.493] |T| [stat_file]:  sceIoGetstatByFd: Statting file app0:/sfx/boo.ogg (ux0:/app/WNTD00001//sfx/boo.ogg)
[03:56:47.493] |T| [read_file]:  sceIoRead: Reading file: fd: 0x6, size: 1024
[03:56:47.493] |T| [seek_file]:  sceIoLseek32: Seeking file: fd: 0x6 at offset: 0x0, whence: SCE_SEEK_CUR
[03:56:47.493] |I| [export_sceIoOpen]:  Opening file: app0:/sfx/bgm.ogg
[03:56:47.493] |T| [open_file]:  sceIoOpen: Opening file app0:/sfx/bgm.ogg (ux0:/app/WNTD00001//sfx/bgm.ogg)
[03:56:47.493] |T| [stat_file]:  sceIoGetstatByFd: Statting file app0:/sfx/bgm.ogg (ux0:/app/WNTD00001//sfx/bgm.ogg)
[03:56:47.494] |T| [read_file]:  sceIoRead: Reading file: fd: 0x7, size: 1024
[03:56:47.494] |T| [seek_file]:  sceIoLseek32: Seeking file: fd: 0x7 at offset: 0x0, whence: SCE_SEEK_CUR
[03:56:47.495] |I| [export_sceIoOpen]:  Opening file: app0:/faces/face1.png
[03:56:47.495] |T| [open_file]:  sceIoOpen: Opening file app0:/faces/face1.png (ux0:/app/WNTD00001//faces/face1.png)
[03:56:47.495] |T| [read_file]:  sceIoRead: Reading file: fd: 0x8, size: 2
[03:56:47.495] |T| [close_file]:  sceIoClose: Closing file: fd: 0x8
[03:56:47.496] |I| [export_sceIoOpen]:  Opening file: app0:/faces/face1.png
[03:56:47.496] |T| [open_file]:  sceIoOpen: Opening file app0:/faces/face1.png (ux0:/app/WNTD00001//faces/face1.png)
[03:56:47.496] |T| [read_file]:  sceIoRead: Reading file: fd: 0x9, size: 8
[03:56:47.498] |T| [read_file]:  sceIoRead: Reading file: fd: 0x9, size: 8
[03:56:47.498] |T| [read_file]:  sceIoRead: Reading file: fd: 0x9, size: 13
[03:56:47.499] |T| [seek_file]:  sceIoLseek32: Seeking file: fd: 0x7 at offset: 0x0, whence: SCE_SEEK_SET
[03:56:47.500] |T| [read_file]:  sceIoRead: Reading file: fd: 0x9, size: 4
[03:56:47.500] |T| [seek_file]:  sceIoLseek32: Seeking file: fd: 0x7 at offset: 0x0, whence: SCE_SEEK_SET
[03:56:47.500] |T| [read_file]:  sceIoRead: Reading file: fd: 0x9, size: 8
[03:56:47.501] |T| [read_file]:  sceIoRead: Reading file: fd: 0x9, size: 9
[03:56:47.501] |T| [read_file]:  sceIoRead: Reading file: fd: 0x9, size: 4
[03:56:47.501] |T| [read_file]:  sceIoRead: Reading file: fd: 0x9, size: 8
[03:56:47.501] |T| [read_file]:  sceIoRead: Reading file: fd: 0x9, size: 32
[03:56:47.501] |T| [read_file]:  sceIoRead: Reading file: fd: 0x7, size: 1024
[03:56:47.502] |T| [read_file]:  sceIoRead: Reading file: fd: 0x9, size: 4
[03:56:47.502] |T| [read_file]:  sceIoRead: Reading file: fd: 0x7, size: 1024
[03:56:47.504] |T| [read_file]:  sceIoRead: Reading file: fd: 0x9, size: 8
[03:56:47.505] |T| [read_file]:  sceIoRead: Reading file: fd: 0x7, size: 1024
[03:56:47.507] |T| [read_file]:  sceIoRead: Reading file: fd: 0x7, size: 1024
